"Daily Weather Observations for Armidale, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2004.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from the Armidale Tree Group Nursery site in Mann Street, but some from Armidale Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Armidale (Tree Group Nursery) {station 056037}"
"Wind and pressure observations are from Armidale Airport AWS {station 056238}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,9.1,20.4,19.8,2.6,,WNW,50,13:55,9.9,96,8,NNE,13,1010.5,,,,NW,28,1003.2
,2021-10-2,3.3,14.8,5.4,2.4,,W,39,11:39,12.9,76,8,W,26,1005.2,,,,NW,22,1003.0
,2021-10-3,6.5,20.5,1.2,1.8,,WNW,48,11:42,12.2,81,1,WNW,22,1005.9,,,,WNW,31,1004.1
,2021-10-4,5.7,22.1,0,5.0,,W,61,13:37,19.6,52,1,NW,31,1002.7,,,,WNW,39,1002.8
,2021-10-5,7.9,18.0,0,6.4,,W,70,13:26,12.0,65,0,W,30,1010.0,,,,W,39,1008.6
,2021-10-6,-0.4,21.4,0,4.8,,W,31,12:57,9.9,67,0,SW,15,1015.0,,,,W,17,1013.2
,2021-10-7,-1.1,21.0,0,4.4,,NW,41,12:54,11.7,60,8,WNW,13,1014.1,,,,WNW,24,1012.8
,2021-10-8,4.9,23.4,0,3.0,,W,30,12:12,14.9,70,1,NW,4,1016.7,,,,WSW,9,1015.5
,2021-10-9,3.8,24.2,0,4.0,,W,33,12:29,15.0,75,0,NW,13,1018.8,,,,WSW,11,1016.2
,2021-10-10,6.0,25.6,0,4.0,,WSW,65,18:40,20.2,68,2,NNW,30,1015.1,,,,NW,31,1011.1
,2021-10-11,13.0,18.5,10.6,4.6,,ENE,35,20:16,14.2,97,8,W,15,1011.2,,,,SW,17,1010.0
,2021-10-12,8.7,12.2,9.6,2.0,,E,44,12:56,9.6,99,8,ESE,17,1011.9,,,,E,30,1009.3
,2021-10-13,9.4,19.6,7.2,0.6,,N,39,15:11,12.2,97,7,E,24,1012.3,,,,ENE,20,1009.2
,2021-10-14,11.2,23.2,4.0,1.8,,WNW,59,21:59,15.1,95,6,NE,19,1010.1,,,,NNW,30,1007.0
,2021-10-15,7.2,16.9,12.4,3.4,,WNW,81,07:13,14.0,65,7,WNW,41,1005.9,,,,NW,39,1002.7
,2021-10-16,4.7,15.2,5.2,6.4,,W,65,09:55,9.5,81,5,W,37,1007.6,,,,WNW,37,1006.6
,2021-10-17,0.6,19.9,0,3.4,,W,33,10:11,11.0,72,1,WSW,20,1014.4,,,,WSW,13,1012.3
,2021-10-18,4.9,20.5,0,3.4,,NW,30,09:47,13.6,72,7,WNW,11,1016.7,,,,WSW,19,1013.7
,2021-10-19,2.6,22.0,0.8,2.8,,SE,46,21:26,13.6,78,1,WSW,9,1016.6,,,,SW,20,1013.7
,2021-10-20,4.4,21.9,0.4,3.8,,WNW,52,11:17,13.3,80,1,NE,15,1013.7,,,,WNW,28,1010.3
,2021-10-21,8.0,19.5,0.2,4.4,,ENE,39,23:07,12.2,83,7,ENE,20,1013.8,,,,ENE,9,1011.5
,2021-10-22,7.5,24.4,0,2.2,,E,28,21:40,15.8,77,2,NW,6,1015.7,,,,WSW,17,1013.8
,2021-10-23,8.4,28.9,0,3.4,,NW,48,08:03,20.5,79,1,NW,31,1016.1,,,,N,15,1012.6
,2021-10-24,12.1,22.3,0,5.2,,W,46,09:03,16.5,83,6,W,24,1015.0,,,,W,26,1013.4
,2021-10-25,2.2,20.4,0,5.4,,WSW,48,11:45,14.1,51,1,WNW,17,1015.5,,,,W,31,1013.7
,2021-10-26,-0.8,,0,5.4,,,,,12.6,67,1,ESE,17,1017.9,,,,NW,17,1015.5
