"Daily Weather Observations for Badgerys Creek, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2005.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Badgerys Creek AWS {station 067108}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,16.3,21.7,0,,,S,24,12:48,19.3,72,,SW,9,1021.9,20.1,65,,ESE,13,1020.4
,2021-01-2,15.8,22.1,2.6,,,SW,22,08:54,17.3,84,,SW,11,1017.0,21.9,72,,SSW,2,1013.2
,2021-01-3,17.2,27.5,2.2,,,N,19,11:22,19.6,100,, ,Calm,1009.9,25.0,70,,NNE,11,1006.8
,2021-01-4,17.8,28.6,1.8,,,W,63,14:48,21.8,100,, ,Calm,1006.6,25.3,72,,N,9,1004.8
,2021-01-5,16.9,29.3,11.8,,,SW,35,16:25,22.2,84,,W,6,1008.9,23.9,80,,NE,2,1007.5
,2021-01-6,18.3,25.4,12.8,,,SSE,39,15:50,20.8,77,,SSW,7,1014.8,24.1,61,,SE,20,1014.0
,2021-01-7,16.8,24.0,0.2,,,SSE,39,13:01,20.6,66,,S,9,1021.0,21.4,70,,SE,13,1020.8
,2021-01-8,14.5,24.1,4.2,,,SE,31,10:06,18.6,77,,SSW,11,1023.9,22.5,53,,ESE,17,1022.5
,2021-01-9,13.6,26.5,0,,,ESE,26,15:22,21.0,67,,S,13,1023.0,25.8,50,,ENE,11,1020.4
,2021-01-10,12.9,29.6,0,,,ENE,30,16:21,20.4,74,,SSE,2,1021.1,28.4,47,,NE,9,1018.5
,2021-01-11,14.1,30.3,0,,,E,31,17:10,21.1,77,,NNW,6,1019.3,29.7,41,,NE,9,1015.5
,2021-01-12,14.4,33.9,0,,,ESE,28,16:55,21.7,76,, ,Calm,1015.4,31.6,44,,NNE,7,1012.5
,2021-01-13,17.8,31.5,0,,,ENE,31,16:22,24.3,65,,NE,9,1018.1,30.6,38,,NE,11,1014.5
,2021-01-14,18.0,37.7,0,,,SSE,41,17:48,22.0,83,,WSW,4,1010.7,36.5,36,,N,6,1005.4
,2021-01-15,16.2,34.6,0,,,SW,54,21:25,22.2,73,,SSW,6,1008.4,30.4,47,,NE,17,1001.2
,2021-01-16,14.9,28.9,0,,,SW,52,23:25,19.0,34,,SW,22,1009.8,27.3,19,,W,15,1007.3
,2021-01-17,10.5,29.0,0,,,ENE,35,14:08,21.2,44,,SW,11,1014.1,27.1,44,,E,20,1012.6
,2021-01-18,14.4,32.8,0,,,ESE,35,17:20,22.7,66,,N,11,1014.8,31.6,32,,NNE,11,1009.5
,2021-01-19,15.4,25.2,0,,,,,,24.1,66,,SSE,9,1015.8,22.6,54,,SE,17,1018.1
,2021-01-20,15.5,22.5,0.4,,,SE,17,11:52,17.8,76,,SW,11,1023.8,21.6,53,,SSE,6,1021.9
,2021-01-21,11.2,30.0,0,,,E,37,16:25,19.7,66,,ENE,6,1020.2,28.7,34,,NNE,11,1014.3
,2021-01-22,13.6,37.2,0,,,NNE,35,17:32,21.4,70,,E,2,1011.7,36.0,29,,NNW,6,1006.6
,2021-01-23,17.7,37.3,0,,,NNE,46,16:33,26.2,61,, ,Calm,1012.6,36.2,36,,NE,15,1009.6
,2021-01-24,19.7,40.5,0,,,WNW,46,15:54,26.5,70,,NNE,9,1012.5,39.6,23,,ENE,19,1008.1
,2021-01-25,21.3,39.4,0,,,ENE,33,14:52,25.9,63,, ,Calm,1009.5,38.4,18,,NNE,9,1004.6
,2021-01-26,17.7,40.6,0,,,WNW,48,16:49,26.6,62,,NNE,6,1002.6,38.8,22,,W,20,999.4
,2021-01-27,21.8,22.8,0.2,,,S,35,06:16,22.0,75,,S,15,1012.0,21.6,71,,S,15,1014.6
,2021-01-28,17.8,23.6,2.6,,,SSE,35,13:37,20.1,83,,S,7,1020.7,21.3,67,,SE,13,1020.4
,2021-01-29,16.9,21.8,8.0,,,E,28,10:18,18.9,99,, ,Calm,1018.5,20.7,99,,E,15,1015.2
,2021-01-30,18.8,29.9,18.6,,,N,30,13:34,21.6,100,, ,Calm,1012.1,27.4,72,,NNE,22,1009.9
,2021-01-31,19.3,24.2,1.6,,,SSE,30,13:46,21.9,82,,SSE,11,1015.8,23.3,76,,SE,15,1016.5
