"Daily Weather Observations for Badgerys Creek, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2005.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Badgerys Creek AWS {station 067108}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,18.4,34.9,0,,,W,35,17:09,22.6,88,,SSE,2,1010.6,32.9,42,,NNE,13,1005.3
,2021-03-2,15.1,25.8,0,,,SE,39,13:21,21.3,75,,S,7,1011.8,23.0,54,,ESE,17,1011.2
,2021-03-3,14.9,25.5,0,,,SE,30,17:05,16.9,71,,SSW,9,1016.4,22.8,49,,NE,15,1014.4
,2021-03-4,14.0,29.2,0,,,,,,19.5,66,,S,6,1015.1,27.5,40,,NNE,11,1009.0
,2021-03-5,12.2,26.3,0,,,ESE,33,11:57,21.5,54,,SSW,9,1007.8,22.7,52,,E,15,1008.1
,2021-03-6,15.9,25.8,0,,,ESE,26,17:18,18.1,66,,SW,11,1013.2,23.9,43,,NE,7,1011.6
,2021-03-7,12.8,28.3,0,,,N,28,10:46,19.6,66,,WSW,4,1015.6,27.4,44,,NE,17,1011.5
,2021-03-8,15.1,29.9,0,,,,,15:45,18.9,90,,NE,2,1012.0,27.6,57,,NNE,6,1008.0
,2021-03-9,14.8,33.1,0,,,,,,21.5,78,,NW,7,1011.7,29.8,50,,ESE,19,1010.9
,2021-03-10,17.7,28.0,0,,,E,37,15:00,21.7,72,,SE,7,1020.7,25.3,56,,ESE,17,1019.0
,2021-03-11,18.4,27.2,2.0,,,ENE,30,16:29,21.1,84,,N,4,1022.1,26.5,59,,NE,17,1019.1
,2021-03-12,19.1,25.8,6.0,,,N,20,21:14,21.1,100,, ,Calm,1018.5,25.0,75,, ,Calm,1015.4
,2021-03-13,18.5,32.5,3.4,,,N,28,15:41,20.1,100,,NNW,2,1015.0,30.6,59,,NNE,13,1009.9
,2021-03-14,17.9,18.6,17.4,,,S,41,13:06,18.5,97,,SSW,13,1013.0,15.4,90,,S,15,1016.6
,2021-03-15,11.1,24.5,9.0,,,ESE,24,17:36,15.7,72,,SW,15,1022.3,23.6,46,,SE,4,1021.0
,2021-03-16,11.5,20.5,0,,,S,31,10:32,16.8,80,,S,7,1025.6,18.2,88,, ,Calm,1024.2
,2021-03-17,14.1,23.0,4.2,,,E,39,14:44,17.8,84,,SSW,11,1025.7,21.7,64,,ESE,19,1023.7
,2021-03-18,16.2,20.1,11.4,,,E,28,22:51,18.3,99,,SW,9,1024.7,19.0,100,,E,6,1024.0
,2021-03-19,16.6,23.8,51.2,,,ESE,37,14:01,19.3,98,,S,4,1025.8,22.2,70,,ESE,17,1025.0
,2021-03-20,17.5,20.2,28.0,,,ENE,56,18:36,18.7,100,,SSE,15,1023.3,18.9,100,,ESE,13,1020.6
,2021-03-21,18.4,19.1,109.2,,,E,37,05:24,18.8,100,,E,15,1024.1,17.5,98,,E,6,1024.4
,2021-03-22,16.7,19.3,60.2,,,NE,30,14:41,17.8,100,, ,Calm,1023.1,18.9,100,,NNE,4,1019.3
,2021-03-23,16.8,20.9,48.0,,,ENE,22,08:40,18.0,100,,E,4,1008.3,19.4,100,,NE,9,1000.7
,2021-03-24,14.6,29.3,21.6,,,WSW,41,14:03,20.2,92,,NW,9,999.4,26.8,43,,W,22,998.0
,2021-03-25,14.0,28.1,0.2,,,WSW,37,16:37,18.9,77,, ,Calm,1003.2,26.4,56,,WNW,11,1003.2
,2021-03-26,11.1,25.7,0,,,ESE,22,15:27,16.2,82,, ,Calm,1014.0,24.7,41,,NNE,7,1011.1
,2021-03-27,12.2,27.6,0,,,SW,22,11:16,17.4,93,, ,Calm,1014.0,27.2,41,,SSW,4,1010.9
,2021-03-28,12.5,26.4,0,,,ESE,22,16:54,17.6,77,,SSW,6,1017.8,25.4,36,,ESE,6,1014.9
,2021-03-29,11.7,26.2,0,,,S,30,13:55,16.9,85,,ESE,6,1020.3,25.4,38,,S,19,1018.2
,2021-03-30,13.0,23.7,0,,,ESE,24,15:21,16.4,70,,SSW,15,1024.0,22.3,45,,ESE,4,1021.9
,2021-03-31,10.4,25.5,0,,,E,31,15:43,16.0,81,,SW,13,1024.6,24.3,48,,ENE,11,1022.4
