"Daily Weather Observations for Badgerys Creek, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2005.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Badgerys Creek AWS {station 067108}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,6.9,23.7,0,,,WSW,50,13:26,15.3,64,,N,7,1006.8,19.5,52,,WSW,19,1009.0
,2021-08-2,2.1,19.4,0,,,ENE,28,15:22,9.3,83,,SW,4,1021.4,17.8,47,,NE,17,1017.0
,2021-08-3,8.4,19.8,1.4,,,WSW,52,13:45,13.1,100,,NW,4,1009.8,18.0,35,,WNW,28,1007.6
,2021-08-4,5.6,15.7,0,,,WSW,59,13:37,12.3,49,,WNW,9,1013.1,14.7,38,,WSW,30,1012.3
,2021-08-5,3.3,19.4,0,,,WSW,43,14:32,12.6,60,,NNW,2,1017.2,17.4,41,,WSW,26,1016.8
,2021-08-6,0.7,21.0,0,,,WSW,30,10:49,10.5,75,, ,Calm,1022.5,20.4,36,,SW,9,1019.7
,2021-08-7,1.3,19.2,0,,,SW,41,17:56,10.0,74,,WSW,6,1026.2,18.8,40,,SW,15,1021.6
,2021-08-8,5.9,15.4,0,,,SSE,26,12:32,12.1,70,,SW,11,1032.3,15.2,54,,ESE,9,1030.7
,2021-08-9,5.0,18.9,0.8,,,NNE,28,12:03,10.4,100,, ,Calm,1031.7,18.3,48,,NE,15,1026.3
,2021-08-10,3.0,21.8,0,,,WNW,22,15:58,10.6,99,,NNW,6,1028.4,20.6,41,,NNW,9,1023.8
,2021-08-11,3.3,25.0,0,,,WNW,43,14:09,13.5,74,,N,13,1025.0,22.9,35,,NW,24,1019.2
,2021-08-12,11.1,20.3,0,,,SW,39,02:07,15.8,50,,W,13,1024.9,19.5,25,,SW,15,1024.3
,2021-08-13,1.4,19.6,0,,,WSW,31,10:36,11.0,64,,WSW,4,1028.2,19.3,36,,SSW,9,1024.1
,2021-08-14,1.8,20.1,0,,,NNE,19,13:24,11.3,75,,WSW,2,1029.6,19.1,35,,NNE,7,1025.6
,2021-08-15,2.4,20.9,0,,,SW,30,13:00,11.9,68,,SW,7,1026.3,20.6,26,,SW,11,1021.0
,2021-08-16,3.0,23.0,0,,,WSW,52,19:32,12.4,54,,WNW,9,1020.7,21.9,23,,WSW,26,1017.3
,2021-08-17,7.1,19.2,0,,,SW,41,02:08,13.3,48,,SW,4,1022.4,18.5,30,,NE,7,1019.3
,2021-08-18,2.5,19.4,0,,,N,26,13:28,11.0,65,,WSW,9,1026.6,18.7,41,,NE,11,1022.4
,2021-08-19,2.2,21.6,0,,,NE,20,12:53,10.6,87,, ,Calm,1024.9,20.8,35,,ENE,6,1020.2
,2021-08-20,3.6,23.8,0,,,WNW,41,14:16,12.4,82,, ,Calm,1021.6,23.0,28,,NW,22,1016.7
,2021-08-21,8.2,23.9,0,,,NNE,24,13:14,12.4,75,,WSW,4,1020.3,22.7,36,,NE,4,1015.9
,2021-08-22,4.1,27.7,0,,,NNE,33,14:49,15.0,65,, ,Calm,1021.2,26.6,25,,NNE,22,1015.1
,2021-08-23,6.1,27.1,0,,,NNW,63,13:21,16.5,64,,N,6,1013.7,18.8,67,,N,11,1009.3
,2021-08-24,8.4,10.9,26.0,,,SW,69,19:29,8.4,95,,WSW,24,1008.1,9.1,94,,W,22,1004.2
,2021-08-25,8.1,17.2,21.6,,,SW,61,00:42,10.8,55,,WSW,28,1011.6,15.9,45,,WSW,33,1011.6
,2021-08-26,3.7,19.5,0,,,WSW,30,09:39,13.1,56,,WSW,7,1018.4,18.5,42,,SE,11,1015.6
,2021-08-27,3.8,20.8,0,,,WSW,43,16:42,12.6,68,,SW,2,1017.1,17.6,33,,SW,24,1013.5
,2021-08-28,7.9,19.3,0,,,SW,41,09:30,14.5,48,,SW,22,1017.0,17.7,50,,WSW,11,1015.9
,2021-08-29,2.5,16.5,0,,,ENE,28,10:38,9.4,83,,NNW,7,1016.0,15.6,44,, ,Calm,1011.3
,2021-08-30,1.7,20.3,0,,,NNE,19,15:26,12.7,72,, ,Calm,1019.1,19.8,38,,NNE,9,1016.7
,2021-08-31,2.5,22.6,0,,,N,28,14:02,12.5,69,,SSE,4,1023.4,22.2,32,,N,15,1019.5
