"Daily Weather Observations for Badgerys Creek, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2005.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Badgerys Creek AWS {station 067108}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,4.1,25.7,0,,,E,22,16:09,14.7,65,,WSW,6,1027.7,25.1,29,,ESE,11,1025.7
,2021-09-2,7.4,23.6,0,,,ENE,26,16:35,16.6,74,,S,2,1030.5,21.6,64,,NE,19,1025.3
,2021-09-3,8.6,26.0,0,,,NNE,33,16:28,14.4,100,,E,7,1026.4,24.8,46,,NNE,22,1019.4
,2021-09-4,8.9,21.4,0,,,NNE,31,16:55,14.4,91,,NNE,4,1019.2,16.6,91,,W,13,1016.2
,2021-09-5,11.3,18.9,9.6,,,WNW,56,12:01,15.3,53,,W,13,1014.6,15.9,44,,WSW,22,1014.1
,2021-09-6,4.1,20.1,0.2,,,WSW,50,11:19,14.5,49,,WSW,19,1023.8,18.8,35,,SSE,11,1023.6
,2021-09-7,0.0,23.8,0,,,WSW,43,17:03,10.8,75,,NNE,7,1026.4,22.8,26,,SW,26,1023.4
,2021-09-8,4.1,23.0,0,,,NNE,17,15:47,13.4,65,,SSW,2,1031.8,22.4,38,,NNE,7,1026.6
,2021-09-9,3.3,27.3,0,,,N,30,19:53,13.4,61,,NNW,4,1027.0,26.6,21,,N,6,1021.1
,2021-09-10,10.0,26.3,0,,,WNW,35,01:40,22.1,32,,NNW,15,1021.6,21.0,56,,ESE,19,1020.2
,2021-09-11,6.4,29.0,0,,,WNW,52,14:08,14.1,92,,E,4,1018.0,28.3,19,,WNW,30,1010.9
,2021-09-12,9.1,29.7,0,,,WNW,70,15:44,19.8,43,,NE,7,1006.5,28.5,15,,WNW,39,1002.5
,2021-09-13,6.4,18.2,0,,,S,37,14:01,14.3,54,,SSW,9,1014.6,13.0,72,,SSE,9,1015.5
,2021-09-14,7.8,17.1,4.8,,,SW,41,08:25,12.4,63,,SSW,22,1023.3,16.4,49,,S,22,1021.9
,2021-09-15,5.8,19.3,0,,,SW,33,09:22,13.4,56,,SW,20,1025.1,18.5,48,,SSE,13,1021.9
,2021-09-16,6.1,19.2,0,,,ENE,33,15:04,14.7,63,,SSW,13,1024.9,18.3,50,,E,15,1021.1
,2021-09-17,4.0,22.6,0,,,NNE,30,11:25,14.0,73,,ENE,6,1022.9,22.4,37,,NNE,17,1017.4
,2021-09-18,11.9,24.3,0,,,W,61,13:30,18.3,59,,NNE,11,1013.5,20.6,61,,WNW,20,1013.5
,2021-09-19,7.4,23.8,0,,,WSW,46,12:12,17.5,40,,NNW,7,1022.5,23.3,26,,WNW,15,1017.4
,2021-09-20,6.7,26.4,0,,,W,67,14:49,19.5,40,,NE,15,1013.9,25.0,20,,WNW,37,1008.0
,2021-09-21,7.9,17.9,0,,,SSW,67,14:38,12.0,42,,SW,26,1016.7,14.3,36,,SSW,28,1018.3
,2021-09-22,4.0,21.7,0,,,W,31,14:20,14.9,46,,WSW,13,1024.1,20.5,36,,S,9,1021.0
,2021-09-23,3.5,27.1,0,,,SW,28,18:33,17.0,53,,SSW,6,1020.6,26.3,31,,NNE,13,1014.8
,2021-09-24,6.7,27.1,0,,,WNW,50,14:10,21.4,45,,WNW,7,1014.5,26.3,28,,W,24,1009.2
,2021-09-25,6.1,22.5,0,,,ESE,39,13:48,19.4,31,,SW,20,1015.2,17.4,57,,SE,22,1016.5
,2021-09-26,8.7,15.5,0.2,,,SSE,24,12:01,14.2,59,,S,15,1026.8,15.0,49,,SSE,15,1025.7
,2021-09-27,3.9,20.6,0,,,ENE,30,16:04,14.2,67,,SSW,4,1026.5,19.0,43,,NE,15,1021.1
,2021-09-28,5.9,24.1,0,,,ENE,30,15:32,16.4,64,,ENE,6,1021.9,21.3,49,,ENE,9,1016.3
,2021-09-29,10.7,20.9,0,,,NE,22,23:56,17.5,76,,NE,6,1017.9,16.9,83,,NE,13,1014.0
,2021-09-30,12.1,23.4,3.4,,,E,20,16:05,14.7,99,,NW,7,1012.6,22.6,57,,E,4,1008.6
