"Daily Weather Observations for Balranald, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2007.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Balranald (RSL) {station 049002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,7.0,23.0,0,,,,,,14.9,54,1,S,4,,,,,,,
,2020-10-2,10.1,31.6,0,,,,,,22.0,39,0,N,11,,,,,,,
,2020-10-3,16.4,33.1,0,,,,,,24.5,27,2,N,9,,,,,,,
,2020-10-4,21.5,35.7,0,,,,,,24.0,24,7,N,11,,,,,,,
,2020-10-5,11.4,20.3,1.2,,,,,,11.5,86,8,S,6,,,,,,,
,2020-10-6,9.3,16.4,0,,,,,,10.4,70,8,S,7,,,,,,,
,2020-10-7,10.4,19.5,0.2,,,,,,12.6,76,8,SE,4,,,,,,,
,2020-10-8,11.4,18.1,10.4,,,,,,13.0,67,3,NW,7,,,,,,,
,2020-10-9,8.6,19.9,0,,,,,,11.2,81,7,WNW,4,,,,,,,
,2020-10-10,5.1,26.9,0,,,,,,14.5,66,0, ,Calm,,,,,,,
,2020-10-11,7.4,23.5,0,,,,,,13.1,70,1,S,6,,,,,,,
,2020-10-12,7.6,29.6,0,,,,,,15.5,65,1,E,4,,,,,,,
,2020-10-13,10.7,32.4,0,,,,,,20.9,41,0, ,Calm,,,,,,,
,2020-10-14,12.6,32.5,0,,,,,,18.5,62,0,SE,4,,,,,,,
,2020-10-15,14.9,34.1,0,,,,,,26.0,27,2,N,7,,,,,,,
,2020-10-16,15.1,22.9,0,,,,,,18.0,71,4,,6,,,,,,,
,2020-10-17,15.6,20.1,14.6,,,,,,17.6,93,7, ,Calm,,,,,,,
,2020-10-18,7.8,20.0,0,,,,,,12.4,70,2,SE,9,,,,,,,
,2020-10-19,5.1,22.4,0,,,,,,12.5,69,0,S,4,,,,,,,
,2020-10-20,8.9,24.7,0,,,,,,15.0,62,0,E,4,,,,,,,
,2020-10-21,9.5,,0,,,,,,18.5,50,1,E,4,,,,,,,
,2020-10-22,,31.1,0,,,,,,,,,,,,,,,,,
,2020-10-23,11.5,25.3,0,,,,,,23.9,34,8,N,11,,,,,,,
,2020-10-24,16.8,19.4,15.0,,,,,,17.3,91,,SSW,6,,,,,,,
,2020-10-25,6.4,17.2,1.0,,,,,,10.9,65,1,S,9,,,,,,,
,2020-10-26,9.4,16.1,1.6,,,,,,11.9,79,8,SE,6,,,,,,,
,2020-10-27,11.6,20.6,1.4,,,,,,13.1,83,8,E,6,,,,,,,
,2020-10-28,10.7,25.0,0,,,,,,16.4,70,1,SE,4,,,,,,,
,2020-10-29,9.6,26.4,0,,,,,,19.4,66,6, ,Calm,,,,,,,
,2020-10-30,12.4,22.3,17.0,,,,,,13.5,94,8,S,4,,,,,,,
,2020-10-31,12.6,,14.2,,,,,,15.2,71,7,SW,6,,,,,,,
