"Daily Weather Observations for Balranald, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2007.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Balranald (RSL) {station 049002}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,7.0,30.0,0,,,,,,17.5,43,0, ,Calm,,,,,,,
,2021-09-2,17.0,32.1,0,,,,,,21.5,34,0,NE,9,,,,,,,
,2021-09-3,19.0,28.5,0,,,,,,23.5,38,7,N,13,,,,,,,
,2021-09-4,9.1,17.0,13.8,,,,,,10.0,92,8,W,6,,,,,,,
,2021-09-5,5.4,15.6,0,,,,,,10.0,74,0,SW,6,,,,,,,
,2021-09-6,6.4,18.2,0,,,,,,11.0,86,1,S,6,,,,,,,
,2021-09-7,5.5,17.6,0,,,,,,10.6,82,8,SW,6,,,,,,,
,2021-09-8,2.4,22.2,0,,,,,,12.5,71,0, ,Calm,,,,,,,
,2021-09-9,8.4,27.4,0,,,,,,17.1,51,1,N,7,,,,,,,
,2021-09-10,5.3,29.0,0,,,,,,14.4,57,0, ,Calm,,,,,,,
,2021-09-11,8.2,31.0,0,,,,,,22.9,21,0,NNW,7,,,,,,,
,2021-09-12,11.9,18.1,0,,,,,,13.5,61,8,W,4,,,,,,,
,2021-09-13,5.7,17.9,0,,,,,,10.0,67,1,S,11,,,,,,,
,2021-09-14,3.0,17.4,0,,,,,,10.9,63,0,SSE,6,,,,,,,
,2021-09-15,3.4,19.8,0,,,,,,13.0,45,1, ,Calm,,,,,,,
,2021-09-16,6.5,21.9,0,,,,,,13.5,59,0,SE,4,,,,,,,
,2021-09-17,10.5,23.9,0,,,,,,16.0,50,7,NNE,6,,,,,,,
,2021-09-18,11.4,19.7,1.0,,,,,,14.0,62,2,SW,6,,,,,,,
,2021-09-19,3.2,23.0,0,,,,,,15.5,45,0,N,7,,,,,,,
,2021-09-20,10.0,17.0,0.2,,,,,,11.5,77,8,NW,4,,,,,,,
,2021-09-21,3.0,16.5,0.6,,,,,,9.4,61,0,,6,,,,,,,
,2021-09-22,5.6,20.4,0,,,,,,10.4,84,8,SW,4,,,,,,,
,2021-09-23,5.6,25.1,0,,,,,,11.4,83,0,S,4,,,,,,,
,2021-09-24,6.9,25.7,0,,,,,,19.5,35,0,WNW,6,,,,,,,
,2021-09-25,5.3,18.8,0,,,,,,11.9,77,2,SSW,6,,,,,,,
,2021-09-26,3.1,20.5,0,,,,,,11.6,46,0,SE,7,,,,,,,
,2021-09-27,8.5,23.5,0,,,,,,15.0,52,5,NE,6,,,,,,,
,2021-09-28,10.5,,0,,,,,,18.4,50,5,E,6,,,,,,,
,2021-09-29,13.5,18.5,9.0,,,,,,14.0,92,8,SE,2,,,,,,,
,2021-09-30,13.4,23.4,2.6,,,,,,15.0,88,8,NW,6,,,,,,,
