"Daily Weather Observations for Bankstown, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2008.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,13.4,25.5,1.4,,,SE,41,16:43,19.4,58,,W,9,1014.8,24.9,22,,SW,19,1014.2
,2020-10-2,8.1,28.6,0,,,NE,28,17:16,17.5,62,,WNW,7,1024.7,27.7,20,,NNW,9,1021.7
,2020-10-3,9.5,31.2,0,,,NE,37,15:18,19.8,50,,ENE,2,1026.9,28.0,33,,ENE,26,1020.7
,2020-10-4,11.8,32.6,0,,,ENE,35,15:21,18.6,71,,WNW,6,1021.4,32.0,21,,NNE,9,1016.5
,2020-10-5,11.9,33.9,0,,,SSE,39,21:03,21.4,59,,S,2,1017.3,33.1,20,,WNW,19,1013.6
,2020-10-6,16.3,20.5,0,,,SSE,33,23:03,16.9,77,8,SW,13,1022.7,19.7,69,8,SE,17,1020.6
,2020-10-7,16.7,21.5,0,,,E,26,16:31,19.0,79,8,SW,2,1020.7,20.8,77,7,SE,7,1018.0
,2020-10-8,15.1,28.5,0.8,,,WNW,48,16:09,18.9,84,8,NNW,7,1011.8,25.5,49,8,W,20,1008.8
,2020-10-9,9.8,23.4,0,,,WNW,56,14:22,17.9,49,,WNW,4,1014.9,22.9,28,,WNW,24,1012.6
,2020-10-10,11.8,26.8,0,,,WSW,44,16:38,17.6,43,,W,11,1019.6,25.7,19,,WSW,19,1016.3
,2020-10-11,9.2,28.4,0,,,ESE,31,15:28,17.3,48,,W,6,1021.7,26.6,21,8,WSW,7,1017.9
,2020-10-12,15.3,25.4,0,,,SE,35,14:14,19.0,73,6,WSW,9,1024.5,24.8,49,,ESE,20,1020.5
,2020-10-13,11.7,30.6,0,,,SSE,52,19:06,18.5,67,,WNW,9,1022.6,29.6,16,,SE,7,1019.8
,2020-10-14,14.4,23.0,0,,,SE,35,15:49,18.2,72,3,SW,11,1027.7,21.6,49,8,ESE,20,1024.5
,2020-10-15,12.4,30.4,0,,,NE,33,16:15,20.7,70,,NW,9,1021.0,27.5,44,,E,20,1014.0
,2020-10-16,15.7,20.3,0,,,S,43,07:08,17.9,74,8,S,20,1019.0,18.9,60,8,SSE,24,1019.4
,2020-10-17,15.3,29.9,0,,,NNE,31,11:00,18.4,73,8,N,9,1014.8,28.5,46,4,ESE,19,1007.4
,2020-10-18,16.8,26.3,1.8,,,SE,46,14:13,19.1,81,1, ,Calm,1010.4,22.9,56,7,ESE,30,1009.3
,2020-10-19,14.8,21.7,3.2,,,ESE,35,12:12,17.1,72,8,SE,22,1017.2,20.5,56,2,ESE,24,1016.2
,2020-10-20,15.3,22.8,0,,,ESE,33,14:28,18.1,62,8,ESE,13,1019.7,21.7,51,6,E,13,1017.3
,2020-10-21,11.5,25.7,0,,,E,39,13:27,19.1,65,,NNE,11,1017.9,24.7,50,,ENE,26,1013.4
,2020-10-22,14.8,25.1,0,,,ESE,46,14:22,17.1,87,8,SW,6,1015.9,24.5,58,2,ESE,20,1013.1
,2020-10-23,14.8,29.5,0,,,NE,41,16:18,20.4,76,1,NW,6,1014.5,25.8,53,1,ENE,26,1009.4
,2020-10-24,18.9,26.4,4.0,,,SSE,44,22:31,22.4,78,8,N,13,1005.8,21.1,92,8,NNW,9,1003.0
,2020-10-25,13.5,16.0,22.6,,,S,48,21:44,14.5,77,8,S,22,1013.5,14.1,76,8,S,17,1014.4
,2020-10-26,12.5,16.8,15.8,,,SSE,61,01:27,14.9,80,8,S,33,1018.1,14.1,83,8,S,37,1017.9
,2020-10-27,12.4,20.8,11.4,,,SSE,37,11:31,15.2,82,8,SSW,13,1020.8,19.4,57,8,SE,22,1018.4
,2020-10-28,11.8,21.2,0,,,SE,33,14:32,16.1,75,7,W,9,1020.1,20.3,64,8,SE,20,1015.9
,2020-10-29,14.6,22.4,4.0,,,SE,30,14:56,15.2,92,7,W,7,1013.8,21.2,55,8,ESE,15,1010.0
,2020-10-30,11.0,23.3,0.4,,,ESE,33,15:26,17.6,71,,SW,4,1011.4,22.0,56,7,SE,24,1009.5
,2020-10-31,16.1,24.5,2.4,,,SW,48,11:56,18.4,89,8,ENE,15,1006.9,20.5,69,8,SSW,24,1007.6
