"Daily Weather Observations for Bankstown, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2008.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,18.4,32.5,0,,,WSW,57,17:23,21.4,68,8,N,13,1013.5,30.3,49,,ENE,20,1006.2
,2020-12-2,18.6,24.4,2.2,,,ESE,35,12:44,21.2,68,7,SSE,24,1018.7,22.5,58,8,SE,24,1019.4
,2020-12-3,17.1,24.2,0.4,,,NNE,33,13:50,20.4,69,8,ENE,6,1023.0,21.6,71,8,NNE,19,1019.5
,2020-12-4,18.8,35.1,0,,,WSW,39,12:02,24.0,61,,SW,9,1015.0,34.5,13,,WNW,15,1010.0
,2020-12-5,16.8,26.1,0,,,NNE,41,20:31,20.2,71,8,SW,4,1013.3,24.0,65,8,N,11,1006.3
,2020-12-6,20.2,30.7,7.0,,,NW,46,11:21,24.9,40,,WNW,19,1002.1,30.0,22,,WNW,20,1000.9
,2020-12-7,13.9,31.0,0,,,WNW,48,14:56,24.4,28,,NNW,17,1005.2,29.5,19,,W,28,1002.6
,2020-12-8,15.2,23.8,0,,,SW,56,23:02,18.8,38,,SW,20,1013.1,22.3,39,,ESE,26,1013.4
,2020-12-9,13.0,27.6,0,,,NE,39,16:05,19.6,53,,NW,11,1020.2,27.0,37,,ESE,22,1015.9
,2020-12-10,15.5,28.6,0,,,SSE,61,13:19,22.4,53,,SSW,6,1017.8,22.0,62,,SSE,41,1019.4
,2020-12-11,16.7,23.4,0,,,SE,43,10:26,19.6,42,,SSE,26,1028.7,21.1,47,8,SE,28,1027.6
,2020-12-12,15.9,24.9,0,,,SE,48,14:37,18.7,68,8,WSW,9,1030.6,23.4,44,2,ESE,31,1028.0
,2020-12-13,14.6,24.7,3.6,,,E,35,14:17,21.7,60,,SE,9,1026.0,23.5,46,7,ESE,22,1023.3
,2020-12-14,17.8,24.8,0.8,,,E,35,10:36,21.1,77,7,ESE,11,1021.1,23.4,60,8,ENE,20,1019.1
,2020-12-15,18.9,25.7,7.4,,,ENE,39,16:12,20.8,94,8,ESE,11,1017.1,24.4,75,8,NE,24,1014.2
,2020-12-16,20.6,30.3,7.0,,,ENE,41,14:09,24.6,85,8,ENE,15,1012.0,27.2,68,,ENE,30,1008.3
,2020-12-17,21.7,33.9,1.8,,,NE,41,16:21,25.6,73,8,NW,7,1006.7,32.8,43,2,NNE,6,1003.4
,2020-12-18,21.3,32.9,8.2,,,SSE,46,16:04,27.4,68,8,W,7,1005.4,32.3,42,7,W,11,1005.2
,2020-12-19,18.9,20.6,0.4,,,SSE,35,00:17,19.3,72,8,S,17,1017.5,19.3,77,8,SSE,15,1017.2
,2020-12-20,17.7,24.4,,,,E,28,14:22,18.6,95,7,WSW,7,1013.7,23.8,65,1,E,11,1011.3
,2020-12-21,18.0,24.4,,,,ENE,28,14:02,21.3,84,7, ,Calm,1012.9,22.2,83,8,ENE,17,1009.6
,2020-12-22,17.7,28.3,,,,W,48,13:21,19.9,90,,NW,9,1001.6,26.6,41,3,WNW,19,1002.6
,2020-12-23,15.5,25.9,,,,SE,41,13:12,21.2,47,,WSW,17,1013.8,24.7,47,,SSE,28,1014.7
,2020-12-24,15.7,29.2,0,,,ENE,37,14:58,21.6,61,6,N,13,1017.0,28.3,46,,NE,19,1012.5
,2020-12-25,17.9,21.1,0,,,S,37,03:39,19.0,74,8,S,19,1019.7,21.1,66,8,SSE,24,1019.7
,2020-12-26,16.6,25.6,1.2,,,NE,43,16:29,18.9,87,8,SE,6,1020.5,24.1,58,8,ENE,24,1016.7
,2020-12-27,16.2,32.8,3.2,,,ENE,35,15:44,20.3,78,,NNW,11,1013.6,32.5,28,,N,11,1008.2
,2020-12-28,19.7,31.0,0.2,,,SSE,59,12:54,24.6,70,4,E,6,1007.2,21.9,68,8,SE,30,1009.2
,2020-12-29,16.6,21.4,16.8,,,SSE,31,17:22,17.2,92,8,NNW,4,1014.8,19.6,81,7,S,15,1014.2
,2020-12-30,17.1,23.9,2.8,,,SE,35,08:10,19.8,88,8,SSE,19,1018.9,22.9,55,8,SE,22,1018.6
,2020-12-31,16.6,24.2,0,,,SE,35,16:33,22.0,63,8,SSE,20,1020.3,22.8,64,8,SE,22,1019.6
