"Daily Weather Observations for Bankstown, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2008.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,4.8,19.7,0,,,WNW,13,09:21,9.5,89,,W,6,1024.1,18.3,45,,NW,6,1020.5
,2021-06-2,5.9,22.1,0,,,WNW,13,12:45,11.6,69,,WNW,9,1022.0,21.7,31,,NE,9,1017.6
,2021-06-3,8.0,13.2,0,,,WNW,17,09:32,10.9,88,8,N,7,1015.4,12.8,98,8,N,7,1011.1
,2021-06-4,7.4,20.0,9.6,,,W,35,12:03,13.1,85,, ,Calm,1011.0,17.9,48,8,W,13,1011.0
,2021-06-5,4.6,16.9,0,,,SSW,19,00:48,10.0,70,,SW,9,1023.3,16.6,37,,W,6,1020.3
,2021-06-6,3.9,20.2,0,,,WSW,26,10:14,11.5,58,,W,9,1024.2,19.3,39,,SSE,4,1022.9
,2021-06-7,3.7,19.6,0.2,,,W,15,12:06,9.6,88,,WNW,6,1024.2,18.8,46,,E,4,1018.7
,2021-06-8,4.8,19.5,0,,,ENE,43,20:19,7.8,96,7, ,Calm,1013.7,18.2,50,6,NNE,17,1008.3
,2021-06-9,7.8,15.4,6.2,,,WNW,35,13:47,10.6,81,,WNW,11,1005.2,13.9,46,8,NW,19,1001.9
,2021-06-10,2.1,9.6,0,,,ENE,24,11:22,5.6,96,8, ,Calm,1006.0,9.4,88,8,NW,7,1005.5
,2021-06-11,3.3,15.5,8.6,,,WNW,28,12:37,4.8,99,8,WNW,6,1011.3,15.1,59,8,WNW,13,1009.8
,2021-06-12,3.5,17.6,0.2,,,WNW,31,11:31,12.6,66,,NNW,11,1016.1,17.3,39,,NW,15,1013.8
,2021-06-13,2.5,18.4,0,,,W,30,13:00,9.6,76,,NW,7,1017.7,17.8,41,,W,17,1014.4
,2021-06-14,6.8,17.5,0,,,W,15,10:41,10.1,72,8,NW,6,1017.1,17.3,60,8, ,Calm,1014.8
,2021-06-15,9.5,17.1,0,,,WNW,15,10:36,12.9,81,8,WNW,7,1018.1,16.8,66,8, ,Calm,1015.8
,2021-06-16,6.0,19.2,0.2,,,WSW,28,22:12,9.0,99,8,WNW,7,1018.1,18.7,50,8,SW,6,1013.4
,2021-06-17,8.0,17.7,5.8,,,WSW,39,01:04,12.7,60,,WNW,9,1009.7,16.7,40,2,WNW,20,1007.5
,2021-06-18,5.0,18.4,0,,,WSW,44,13:31,12.3,69,,NNW,6,1007.6,17.2,45,4,W,22,1005.0
,2021-06-19,10.7,15.6,2.6,,,SSW,56,14:47,14.8,50,7,WSW,24,1012.6,14.6,70,8,SSW,33,1014.9
,2021-06-20,11.4,16.1,0.8,,,SSW,39,00:01,12.1,73,2,SW,9,1023.5,13.0,90,8,SW,13,1023.4
,2021-06-21,10.0,16.5,3.0,,,SSE,28,11:10,11.7,84,8,W,7,1027.7,15.5,67,8,SE,15,1026.2
,2021-06-22,7.5,16.9,0,,,NNE,13,07:12,11.1,84,8, ,Calm,1032.0,16.5,69,8,ENE,7,1029.7
,2021-06-23,7.2,18.8,0.2,,,N,26,12:17,10.2,99,1,ENE,2,1027.7,18.1,54,2,N,9,1022.7
,2021-06-24,9.6,22.8,0,,,NW,48,14:44,15.9,69,8,NNE,13,1015.7,21.0,50,1,NNW,19,1010.4
,2021-06-25,8.4,19.0,1.4,,,WNW,43,13:21,14.1,74,,WNW,7,1015.8,18.9,38,,WNW,19,1013.7
,2021-06-26,4.8,18.3,0.2,,,WNW,41,13:15,11.7,75,,NW,9,1019.3,17.6,39,1,W,22,1018.2
,2021-06-27,2.6,19.3,0,,,WNW,20,10:56,9.8,76,, ,Calm,1025.7,18.6,28,,SW,11,1024.7
,2021-06-28,5.3,17.0,0,,,S,31,14:51,10.2,77,,WNW,2,1032.4,16.2,61,8,S,20,1030.6
,2021-06-29,5.6,17.2,0,,,S,19,15:05,10.1,88,7,NW,4,1034.5,17.2,77,7,NW,9,1031.6
,2021-06-30,9.3,19.3,9.0,,,SE,22,15:24,12.3,96,5,NNW,6,1031.7,17.8,66,8,NNE,6,1027.5
