"Daily Weather Observations for Bankstown, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2008.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Bankstown Airport AWS {station 066137}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,5.5,25.3,0,,,ESE,28,14:20,14.2,64,,WNW,7,1027.4,23.5,26,,SE,19,1025.9
,2021-09-2,10.2,22.8,0,,,ENE,39,13:24,16.0,77,8, ,Calm,1030.4,22.0,61,1,ENE,26,1025.6
,2021-09-3,9.2,25.9,0,,,NE,39,16:07,16.6,74,,W,6,1026.3,23.7,48,1,E,26,1019.6
,2021-09-4,10.4,22.5,0,,,N,37,12:10,16.3,73,1, ,Calm,1019.2,17.6,79,8,N,13,1016.3
,2021-09-5,13.1,18.7,10.2,,,W,52,11:30,16.0,49,,NW,15,1014.5,16.9,38,8,WSW,26,1013.9
,2021-09-6,7.1,19.9,0,,,SW,41,10:11,14.6,49,,WSW,19,1023.8,17.7,37,,SE,26,1023.8
,2021-09-7,3.3,23.8,0,,,SW,46,11:40,13.8,58,,NNW,9,1026.2,23.5,23,,W,20,1022.9
,2021-09-8,6.3,23.4,0,,,WNW,22,12:47,14.2,57,,W,11,1031.9,22.7,27,,NNE,6,1026.6
,2021-09-9,6.1,27.6,0,,,NW,31,20:02,15.2,49,,NW,11,1026.8,27.3,14,,NW,11,1020.8
,2021-09-10,10.4,25.3,0,,,SE,39,13:47,21.4,32,,WNW,13,1021.4,19.4,63,1,ESE,24,1020.5
,2021-09-11,9.3,29.8,0,,,WNW,41,14:58,16.6,65,,WNW,9,1017.9,29.1,13,,WNW,24,1010.8
,2021-09-12,9.7,30.3,0,,,WNW,72,15:16,23.7,31,,N,11,1006.3,29.5,9,,WNW,35,1002.2
,2021-09-13,10.7,17.9,0,,,S,43,12:51,14.7,51,5,WSW,13,1014.4,14.8,57,8,SSE,28,1015.4
,2021-09-14,8.8,17.1,7.0,,,S,44,15:11,13.7,64,8,SW,20,1022.9,14.4,65,8,SSE,30,1022.3
,2021-09-15,5.2,19.4,0.2,,,S,41,17:05,13.9,60,,WSW,15,1024.8,17.2,53,2,SSE,28,1022.1
,2021-09-16,6.5,18.5,0,,,SE,33,12:36,14.0,63,4,SSW,7,1024.8,16.7,58,6,ESE,20,1021.6
,2021-09-17,6.7,22.6,0,,,NNE,35,12:08,14.7,69,,WNW,7,1023.1,21.1,46,,NE,20,1017.5
,2021-09-18,11.4,24.5,0,,,W,43,14:00,21.9,39,,N,17,1013.2,22.0,50,7,WNW,22,1013.0
,2021-09-19,5.7,23.9,0,,,WNW,35,11:06,17.2,36,,NW,13,1022.5,23.3,25,,NW,17,1017.1
,2021-09-20,7.3,26.8,0,,,WNW,56,14:03,20.9,31,,N,13,1013.9,26.1,19,,WNW,24,1007.5
,2021-09-21,9.1,18.3,0,,,SE,54,13:57,12.7,40,1,WSW,22,1016.4,14.7,39,2,S,35,1018.1
,2021-09-22,6.1,20.1,0,,,WSW,30,08:04,14.6,46,,WSW,15,1024.0,18.4,48,,SE,20,1021.4
,2021-09-23,6.5,27.6,0,,,WNW,22,09:37,17.3,50,,WSW,11,1020.6,26.8,24,,W,7,1014.6
,2021-09-24,8.0,27.5,0,,,W,44,16:46,21.1,44,,NW,13,1014.4,26.8,22,,W,22,1008.8
,2021-09-25,8.7,21.9,0,,,SE,46,11:59,19.6,29,,SW,22,1015.0,16.9,58,2,SE,33,1016.7
,2021-09-26,10.2,17.2,0.2,,,S,41,09:03,13.9,57,8,S,22,1026.6,15.6,50,8,SE,26,1025.7
,2021-09-27,7.3,19.3,0.2,,,ENE,31,14:35,14.4,66,8,NNE,2,1026.5,17.9,48,8,ENE,19,1021.6
,2021-09-28,7.1,23.6,0,,,NE,39,16:57,17.3,61,,WNW,7,1022.0,20.8,56,8,NE,24,1016.8
,2021-09-29,12.0,21.0,0,,,NE,20,14:11,17.9,74,8,NNE,7,1018.0,18.1,85,7,NE,9,1014.2
,2021-09-30,13.1,23.5,3.0,,,ENE,37,16:34,18.8,69,4,NNW,9,1012.4,22.4,55,1,E,19,1008.5
