"Daily Weather Observations for Batemans Bay, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2011.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Batemans Bay (Catalina Country Club) {station 069134}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,13.8,29.2,0,,,,,,22.7,72,0,NE,2,,,,,,,
,2020-12-2,16.3,20.0,0.4,,,,,,17.7,87,,SE,4,,,,,,,
,2020-12-3,15.5,25.2,0,,,,,,18.3,80,8,NW,2,,,,,,,
,2020-12-4,13.1,29.2,0,,,,,,24.0,77,0,SE,4,,,,,,,
,2020-12-5,15.2,28.7,0,,,,,,20.6,76,1,N,6,,,,,,,
,2020-12-6,19.1,,2.2,,,,,,23.4,48,0,SW,4,,,,,,,
,2020-12-7,,28.2,,,,,,,,,,,,,,,,,,
,2020-12-8,9.1,,0.4,,,,,,18.0,56,1,SW,2,,,,,,,
,2020-12-9,,,,,,,,,,,,,,,,,,,,
,2020-12-10,,,,,,,,,,,,,,,,,,,,
,2020-12-11,,21.5,,,,,,,,,,,,,,,,,,
,2020-12-12,11.0,21.6,,,,,,,18.4,88,7,,,,,,,,,
,2020-12-13,11.8,21.6,2.0,,,,,,16.6,94,7,,,,,,,,,
,2020-12-14,11.8,26.7,2.0,,,,,,16.6,94,7, ,Calm,,,,,,,
,2020-12-15,,27.2,0.1,,,,,,22.2,79,8, ,Calm,,,,,,,
,2020-12-16,20.9,23.6,30.0,,,,,,22.4,99,8,,,,,,,,,
,2020-12-17,19.9,,24.2,,,,,,23.2,91,5,,,,,,,,,
,2020-12-18,,30.2,,,,,,,,,,,,,,,,,,
,2020-12-19,15.5,19.5,2.2,,,,,,17.5,83,8,,,,,,,,,
,2020-12-20,15.8,24.5,0.2,,,,,,19.5,88,6,WSW,2,,,,,,,
,2020-12-21,16.2,,0.2,,,,,,22.1,80,8,,,,,,,,,
,2020-12-22,,29.1,,,,,,,,,,,,,,,,,,
,2020-12-23,11.8,,8.0,,,,,,21.3,70,7,,,,,,,,,
,2020-12-24,,,,,,,,,,,,,,,,,,,,
,2020-12-25,,24.4,,,,,,,,,,,,,,,,,,
,2020-12-26,14.8,24.2,5.8,,,,,,16.6,99,8,,,,,,,,,
,2020-12-27,14.1,,12.2,,,,,,20.1,89,0,SW,2,,,,,,,
,2020-12-28,,26.2,,,,,,,,,,,,,,,,,,
,2020-12-29,13.2,20.8,2.0,,,,,,15.7,90,8,S,2,,,,,,,
,2020-12-30,15.3,,0.2,,,,,,19.8,82,8,,,,,,,,,
