"Daily Weather Observations for Batemans Bay, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2011.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Batemans Bay (Catalina Country Club) {station 069134}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,7.2,23.2,0,,,,,,16.4,90,0,,,,,,,,,
,2021-05-2,10.2,,0,,,,,,16.1,99,7,,,,,,,,,
,2021-05-3,,,,,,,,,,,,,,,,,,,,
,2021-05-4,,,,,,,,,,,,,,,,,,,,
,2021-05-5,,25.3,,,,,,,,,,,,,,,,,,
,2021-05-6,9.6,20.5,53.0,,,,,,16.3,98,8,SW,4,,,,,,,
,2021-05-7,15.5,20.2,13.2,,,,,,17.2,100,8,,,,,,,,,
,2021-05-8,10.8,23.5,8.6,,,,,,17.1,100,4,,,,,,,,,
,2021-05-9,12.6,,0,,,,,,18.1,89,1, ,Calm,,,,,,,
,2021-05-10,,24.0,,,,,,,,,,,,,,,,,,
,2021-05-11,9.4,20.0,2.0,,,,,,15.3,99,6,,,,,,,,,
,2021-05-12,10.4,21.0,0,,,,,,17.7,87,2,,,,,,,,,
,2021-05-13,8.1,22.2,0,,,,,,16.0,90,0, ,Calm,,,,,,,
,2021-05-14,6.9,19.8,0,,,,,,13.9,85,0, ,Calm,,,,,,,
,2021-05-15,5.1,19.6,0,,,,,,14.9,97,3,W,4,,,,,,,
,2021-05-16,2.1,,0,,,,,,11.1,86,0,NE,2,,,,,,,
,2021-05-17,,,0,,,,,,,,,,,,,,,,,
,2021-05-18,,18.4,0,,,,,,,,,,,,,,,,,
,2021-05-19,1.8,,0,,,,,,11.6,85,0,,,,,,,,,
,2021-05-20,,,0,,,,,,,,,,,,,,,,,
,2021-05-21,,19.8,0,,,,,,,,,,,,,,,,,
,2021-05-22,1.9,19.8,0,,,,,,10.1,99,0,W,2,,,,,,,
,2021-05-23,4.3,,0,,,,,,9.9,99,7,,,,,,,,,
,2021-05-24,,,0,,,,,,,,,,,,,,,,,
,2021-05-25,,22.4,0,,,,,,,,,,,,,,,,,
,2021-05-26,1.8,,0,,,,,,10.2,95,0, ,Calm,,,,,,,
,2021-05-27,,19.4,,,,,,,,,,,,,,,,,,
,2021-05-28,3.6,16.0,2.6,,,,,,14.2,80,5,SW,4,,,,,,,
,2021-05-29,3.9,15.6,0,,,,,,11.6,85,0,SW,13,,,,,,,
,2021-05-30,9.9,15.4,0,,,,,,10.6,90,4,SW,2,,,,,,,
,2021-05-31,0.8,15.4,0,,,,,,11.9,84,0, ,Calm,,,,,,,
