"Daily Weather Observations for Batemans Bay, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2011.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Batemans Bay (Catalina Country Club) {station 069134}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,8.2,15.8,0,,,,,,13.8,97,8, ,Calm,,,,,,,
,2021-08-2,0.6,16.5,4.0,,,,,,14.5,97,0, ,Calm,,,,,,,
,2021-08-3,6.3,,0,,,,,,14.8,86,3, ,Calm,,,,,,,
,2021-08-4,,18.8,0,,,,,,,,,,,,,,,,,
,2021-08-5,4.8,19.2,0,,,,,,14.8,81,2, ,Calm,,,,,,,
,2021-08-6,1.8,19.4,0,,,,,,10.1,99,0, ,Calm,,,,,,,
,2021-08-7,6.4,,0,,,,,,11.6,77,4,WSW,4,,,,,,,
,2021-08-8,,18.0,,,,,,,,,,,,,,,,,,
,2021-08-9,2.9,,1.0,,,,,,9.2,93,7, ,Calm,,,,,,,
,2021-08-10,,22.3,0,,,,,,,,,,,,,,,,,
,2021-08-11,4.6,24.7,0,,,,,,19.4,57,0,NNW,13,,,,,,,
,2021-08-12,7.8,20.7,0,,,,,,15.4,58,0, ,Calm,,,,,,,
,2021-08-13,2.3,18.2,0,,,,,,12.7,73,1, ,Calm,,,,,,,
,2021-08-14,1.1,,0,,,,,,8.1,94,0, ,Calm,,,,,,,
,2021-08-15,,19.0,0,,,,,,,,,,,,,,,,,
,2021-08-16,3.6,21.3,0,,,,,,15.3,61,0, ,Calm,,,,,,,
,2021-08-17,2.0,18.5,0,,,,,,11.3,74,0, ,Calm,,,,,,,
,2021-08-18,1.7,18.6,0,,,,,,11.9,73,0, ,Calm,,,,,,,
,2021-08-19,1.1,,0,,,,,,9.3,96,7, ,Calm,,,,,,,
,2021-08-20,,21.5,,,,,,,,,,,,,,,,,,
,2021-08-21,2.4,23.8,0.8,,,,,,15.6,73,2, ,Calm,,,,,,,
,2021-08-22,5.2,,0,,,,,,14.0,83,0, ,Calm,,,,,,,
,2021-08-23,,27.2,,,,,,,,,,,,,,,,,,
,2021-08-24,5.1,,32.2,,,,,,9.0,96,8,W,6,,,,,,,
,2021-08-25,,16.3,,,,,,,,,,,,,,,,,,
,2021-08-26,3.9,17.7,8.0,,,,,,14.0,65,6,SW,19,,,,,,,
,2021-08-27,10.0,13.5,2.4,,,,,,11.7,97,8, ,Calm,,,,,,,
,2021-08-28,8.5,17.2,29.2,,,,,,12.4,95,8, ,Calm,,,,,,,
,2021-08-29,7.1,,0.4,,,,,,10.0,100,8, ,Calm,,,,,,,
