"Daily Weather Observations for Bathurst, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2012.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bathurst, but some from Bathurst Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Bathurst Agricultural Station {station 063005}"
"Wind and pressure observations are from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,9.9,30.8,0,5.2,,W,54,13:34,16.2,88,0, ,Calm,1010.9,29.0,28,1,W,26,1008.4
,2021-03-2,7.0,25.6,0,6.0,,WSW,30,11:14,15.1,60,0,SSW,11,1011.6,,,,WSW,20,1010.0
,2021-03-3,9.7,24.4,0,6.8,,SE,37,16:56,12.8,89,6, ,Calm,1013.4,,,,SSE,7,1011.9
,2021-03-4,7.3,25.0,0,4.0,,WNW,39,14:37,11.8,91,0, ,Calm,1014.4,24.5,33,1,W,22,1010.3
,2021-03-5,6.8,26.5,0,6.0,,WSW,33,16:05,15.0,64,0,WSW,7,1007.8,,,,SW,9,1005.8
,2021-03-6,9.2,25.0,0,6.0,,ENE,30,20:11,13.5,83,1,N,2,1010.7,23.5,37,3,NW,11,1009.2
,2021-03-7,8.0,27.2,0,5.2,,N,31,11:35,12.5,94,1, ,Calm,1013.9,26.0,34,6,NNW,20,1010.7
,2021-03-8,12.2,28.5,0,6.2,,WNW,46,13:30,16.4,83,7, ,Calm,1012.4,22.7,63,7,NNE,15,1009.2
,2021-03-9,11.0,28.8,0.2,4.2,,SW,48,16:00,17.8,64,0,N,7,1013.8,27.8,25,5,WSW,30,1012.8
,2021-03-10,8.5,28.8,0,4.0,,ENE,37,17:46,15.2,88,0, ,Calm,1018.9,26.5,39,3,NE,9,1016.7
,2021-03-11,14.2,26.5,0,6.0,,N,43,12:17,19.5,75,7,NNE,6,1020.6,21.6,68,8,NNE,22,1016.8
,2021-03-12,16.0,24.2,15.0,3.4,,NNW,20,08:17,17.0,98,8,WNW,9,1018.1,21.6,70,6,S,15,1015.7
,2021-03-13,13.0,28.5,20.0,0.8,,WNW,48,21:42,16.7,96,6,SW,6,1015.7,23.5,64,6,NNW,22,1011.9
,2021-03-14,16.0,19.5,20.0,1.4,,SW,37,14:01,17.2,93,8,W,2,1012.2,15.2,93,8,SW,28,1012.7
,2021-03-15,7.8,23.0,1.0,1.4,,ESE,24,23:29,10.8,83,0,E,4,1020.3,,,,SSE,6,1019.0
,2021-03-16,9.0,19.2,0,4.0,,NE,37,10:25,14.1,75,8,ENE,17,1023.9,17.5,76,3,E,15,1021.9
,2021-03-17,13.0,18.5,0,2.0,,ESE,46,09:06,15.0,69,8,ESE,20,1022.7,17.5,65,8,ESE,28,1021.2
,2021-03-18,14.0,21.8,0,2.4,,ENE,56,13:02,16.5,85,7,SE,19,1020.8,20.6,54,7,E,19,1020.8
,2021-03-19,14.5,22.0,1.0,3.2,,E,50,12:11,16.0,82,5,ESE,20,1023.5,20.0,61,8,SE,24,1022.9
,2021-03-20,14.5,23.2,1.2,3.2,,E,48,21:07,17.5,80,8,SE,24,1020.6,21.6,70,7,ESE,19,1017.9
,2021-03-21,17.1,19.2,0.2,2.6,,NE,46,03:09,19.0,80,8,ENE,22,1021.2,17.5,78,7,ESE,22,1020.0
,2021-03-22,13.5,17.0,19.0,1.8,,NE,46,09:09,15.0,98,8,E,20,1019.0,16.0,90,8,ENE,20,1015.5
,2021-03-23,14.0,21.8,40.2,0.0,,NE,39,00:42,14.9,98,8,ENE,2,1004.9,20.0,91,8,N,26,999.5
,2021-03-24,14.0,20.7,17.4,17.6,,W,41,11:13,16.5,87,6,WNW,15,1002.0,19.8,64,6,WNW,26,1001.0
,2021-03-25,13.8,20.4,0,3.0,,WSW,44,12:25,17.0,80,7,N,7,1005.5,19.8,56,3,SSW,26,1005.8
,2021-03-26,6.3,20.9,0,2.4,,WSW,24,16:13,9.2,100,8, ,Calm,1013.8,19.0,48,5,WNW,4,1011.0
,2021-03-27,6.5,21.8,0,2.8,,W,35,13:30,11.5,90,5,NNE,6,1014.3,20.5,42,4,W,19,1011.8
,2021-03-28,7.0,21.7,0,1.0,,SW,31,15:31,10.2,97,3, ,Calm,1017.1,20.0,42,4,SSW,13,1015.4
,2021-03-29,5.0,21.8,0,5.0,,SSW,30,14:05,10.5,82,1, ,Calm,1019.9,20.5,39,1,SSW,13,1017.9
,2021-03-30,4.8,23.0,0,4.0,,SSW,26,16:29,12.5,88,0,S,9,1022.1,21.5,37,0,WSW,7,1019.7
,2021-03-31,5.0,23.1,0,5.0,,SE,22,18:50,11.5,82,0,SSW,7,1023.5,22.0,44,1,SSW,11,1020.9
