"Daily Weather Observations for Bathurst, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2012.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bathurst, but some from Bathurst Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Bathurst Agricultural Station {station 063005}"
"Wind and pressure observations are from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,5.0,23.5,0,4.0,,SSE,19,01:29,11.0,88,0,S,11,1024.4,22.5,46,2,SSE,7,1023.0
,2021-04-2,5.5,25.8,0,4.0,,SE,35,13:48,9.1,95,0, ,Calm,1027.2,,,,SSE,20,1024.9
,2021-04-3,8.8,26.7,0,4.0,,N,20,13:55,14.1,88,0,SW,6,1026.4,25.0,38,5,N,11,1022.3
,2021-04-4,6.5,26.8,0,3.0,,SW,22,16:58,14.5,84,1,WNW,4,1022.7,,,,S,13,1018.0
,2021-04-5,8.5,27.5,0,4.0,,S,31,13:22,14.7,82,0,W,7,1020.3,25.8,51,2,SSE,19,1017.7
,2021-04-6,11.3,24.8,0,4.0,,ENE,31,13:08,17.0,81,4,SSE,11,1022.6,,,,SE,19,1019.5
,2021-04-7,12.5,24.2,0,4.0,,ESE,28,18:57,19.2,72,2,SE,15,1020.0,21.0,59,4,ESE,13,1015.7
,2021-04-8,10.5,25.2,0,,,NNE,24,12:32,19.0,71,2,SW,6,1014.9,21.2,63,3,WNW,11,1009.9
,2021-04-9,8.2,24.8,0,2.8,,W,57,15:14,14.0,91,6,N,13,1008.9,24.2,27,4,W,35,1005.4
,2021-04-10,6.3,16.8,0.4,3.4,,W,48,13:29,13.2,63,4,WSW,19,1008.7,14.5,54,3,SW,31,1007.3
,2021-04-11,6.0,11.7,0.6,2.6,,WSW,54,10:51,8.5,67,8,W,24,1011.8,10.0,47,6,WSW,35,1012.7
,2021-04-12,-1.2,17.2,0,3.2,,SW,22,14:32,7.1,83,0,S,9,1019.5,16.7,34,0,SW,11,1017.4
,2021-04-13,-2.0,20.2,0,3.0,,NNW,30,11:40,8.0,75,0,WSW,4,1022.1,19.3,27,0,WNW,15,1018.0
,2021-04-14,2.3,22.5,0,3.0,,W,48,13:34,15.5,46,2,NNW,17,1017.9,20.5,29,6,WNW,28,1014.9
,2021-04-15,3.0,20.0,0,3.2,,SW,35,11:49,15.0,58,0, ,Calm,1017.5,19.5,42,5,SW,17,1014.5
,2021-04-16,5.5,20.2,0,6.0,,S,41,02:17,12.5,61,5,S,13,1021.1,19.5,34,5,SW,9,1018.9
,2021-04-17,8.8,18.6,0,4.0,,S,33,15:54,11.5,86,7,S,2,1022.8,18.0,55,6,NNW,9,1019.4
,2021-04-18,5.5,19.5,0,2.0,,WNW,19,14:03,9.5,93,0,SW,4,1022.4,19.0,41,1,SSW,7,1018.5
,2021-04-19,-1.2,20.2,0,2.2,,NW,30,14:40,6.0,78,0, ,Calm,1019.8,19.0,27,0,NW,19,1015.6
,2021-04-20,-0.6,18.0,0,2.2,,NW,35,12:54,8.0,76,0,NNE,7,1017.1,16.8,43,6,WNW,19,1012.2
,2021-04-21,5.8,16.5,0,3.2,,SW,33,06:00,9.1,67,6,SW,19,1014.2,15.0,43,1,SE,9,1012.6
,2021-04-22,-2.8,12.9,0,3.4,,W,41,13:39,7.8,77,0,NNW,6,1014.2,11.3,43,2,WSW,24,1013.2
,2021-04-23,-2.0,15.5,0,2.8,,SW,35,11:39,10.1,62,0,NNW,6,1018.6,15.0,42,0,SW,19,1017.3
,2021-04-24,-2.0,17.0,0,2.8,,WSW,26,13:48,6.5,86,0,WNW,2,1023.1,16.0,43,1,W,19,1020.4
,2021-04-25,-2.0,19.5,0,2.6,,SW,24,16:02,6.5,86,0,SW,7,1024.2,18.5,39,3,SSW,11,1021.4
,2021-04-26,-1.2,20.3,0,3.2,,W,17,11:42,6.5,83,0, ,Calm,1025.8,19.8,35,1,SSW,2,1023.0
,2021-04-27,-0.5,21.5,0,2.8,,SE,19,19:01,7.1,85,0, ,Calm,1028.1,20.2,39,1,SW,2,1024.4
,2021-04-28,2.5,21.3,0,2.6,,ENE,19,00:26,10.5,85,0,WSW,6,1026.3,19.8,38,3,SSW,6,1022.7
,2021-04-29,1.0,21.0,0,2.6,,S,20,12:55,9.1,85,0,SW,7,1025.2,20.0,36,4,SW,9,1022.5
,2021-04-30,1.5,21.4,0,2.0,,NNW,28,13:02,9.5,81,0,SSW,2,1028.8,,,,NE,13,1026.0
