"Daily Weather Observations for Bathurst, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2012.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Bathurst, but some from Bathurst Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Bathurst Agricultural Station {station 063005}"
"Wind and pressure observations are from Bathurst Airport AWS {station 063291}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,6.5,16.4,0,1.2,,W,50,12:27,14.5,69,7,N,30,1010.7,11.3,78,8,NW,15,1013.1
,2021-08-2,1.2,14.2,1.6,3.0,,NNE,39,12:24,6.0,89,1,SW,7,1020.3,13.5,74,3,NE,19,1016.6
,2021-08-3,5.7,12.0,7.2,1.0,,W,57,23:53,9.0,84,7,WNW,13,1012.9,9.5,53,7,WNW,30,1012.1
,2021-08-4,2.5,7.8,7.4,0.0,,WSW,56,16:02,4.0,84,8,WSW,24,1016.6,6.5,76,5,W,31,1016.8
,2021-08-5,,9.5,2.4,0.0,,WSW,43,14:12,7.5,70,7,WSW,22,1020.8,8.3,76,7,WSW,28,1020.9
,2021-08-6,7.0,11.5,0.2,1.2,,SW,37,00:03,7.0,86,8,SW,24,1025.5,9.4,65,7,SW,20,1024.3
,2021-08-7,5.0,10.2,0,1.0,,WSW,35,13:21,6.5,72,8,SSW,17,1027.9,7.5,73,7,WSW,24,1025.8
,2021-08-8,-1.5,14.0,0,1.4,,NE,33,10:56,8.5,74,1,S,9,1031.5,11.8,66,7,E,17,1029.7
,2021-08-9,3.8,15.6,0.2,1.4,,N,37,12:08,9.0,80,4,W,4,1031.4,14.0,53,6,NNW,17,1026.9
,2021-08-10,0.0,16.7,0,2.0,,NNW,39,13:12,5.5,95,3, ,Calm,1029.9,14.8,49,4,NNW,22,1026.1
,2021-08-11,-0.2,17.5,0,2.0,,NNW,44,12:50,6.0,85,6, ,Calm,1027.8,15.5,65,7,NNW,31,1022.8
,2021-08-12,5.5,13.5,12.6,1.8,,WSW,50,01:39,8.0,88,0,WSW,13,1027.1,12.5,51,0,SW,17,1026.8
,2021-08-13,-2.5,12.5,0,1.2,,SW,28,13:24,3.3,95,0,SW,7,1030.2,12.5,51,0,W,15,1026.8
,2021-08-14,-3.8,16.5,0,0.0,,N,19,12:48,2.0,91,0,SSW,6,1030.2,15.5,42,0,WSW,9,1026.7
,2021-08-15,-3.5,14.9,0,,,WSW,33,16:38,3.0,84,0, ,Calm,1028.2,14.0,30,0,WSW,17,1024.0
,2021-08-16,-1.5,13.2,0,1.0,,WSW,44,15:17,7.0,66,0,SW,4,1026.2,12.3,53,2,WSW,33,1023.2
,2021-08-17,4.3,12.0,0,1.4,,WSW,31,14:48,7.6,75,4,SSW,9,1024.3,9.5,59,2,WSW,22,1021.9
,2021-08-18,-3.3,15.7,0,1.0,,N,20,12:37,4.7,83,0,SW,7,1027.0,,,,WNW,11,1023.4
,2021-08-19,-2.0,16.1,0,1.2,,N,28,14:19,3.5,89,6, ,Calm,1025.7,15.4,47,4,W,15,1022.2
,2021-08-20,-1.2,16.9,0,1.8,,NW,39,13:01,6.8,80,0, ,Calm,1023.6,16.3,51,6,NW,22,1019.7
,2021-08-21,4.5,18.5,0.6,2.0,,W,46,12:45,9.0,69,6,N,11,1022.7,18.0,38,5,NW,24,1019.6
,2021-08-22,1.0,21.0,0,1.8,,NNW,39,12:51,10.5,72,0,WSW,9,1023.9,20.5,25,4,NNW,22,1018.9
,2021-08-23,7.9,19.0,0,4.0,,N,63,11:51,16.0,62,2,N,31,1015.6,12.5,92,8,N,20,1012.6
,2021-08-24,4.8,,41.4,0.4,,SW,56,21:22,5.0,97,8,SE,15,1009.7,4.5,92,8,WSW,26,1010.0
,2021-08-25,2.5,10.2,9.2,0.0,,SW,39,00:10,4.6,91,7,WSW,19,1015.6,9.0,63,4,WSW,24,1015.4
,2021-08-26,-1.5,13.7,0,1.2,,WNW,24,13:51,3.0,100,8,SE,2,1019.9,12.5,51,6,W,4,1017.1
,2021-08-27,3.5,10.3,0,2.0,,NW,39,11:27,6.5,87,6,W,4,1018.9,8.7,63,6,WSW,17,1017.0
,2021-08-28,-2.1,12.8,0,2.0,,WSW,35,12:25,7.0,71,0,WSW,2,1020.1,12.5,51,2,WSW,13,1017.6
,2021-08-29,-2.0,14.5,0,1.8,,N,50,13:26,3.6,90,6,ENE,9,1015.9,14.0,44,6,SE,7,1011.7
,2021-08-30,-0.8,15.0,2.0,2.0,,NW,24,14:54,6.5,84,7,SSE,7,1019.9,14.5,46,8,NW,15,1018.8
,2021-08-31,-2.0,18.2,0,1.0,,N,30,14:31,5.0,86,0, ,Calm,1024.9,17.6,40,0,NNW,17,1022.4
