"Daily Weather Observations for Bourke, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2016.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Bourke Airport AWS {station 048245}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,24.0,32.5,0,,,SE,52,13:55,25.1,62,,E,24,1013.0,25.7,65,,SE,37,1010.5
,2021-01-2,20.8,36.4,1.4,,,SSW,85,19:40,24.6,63,,ESE,20,1009.2,34.5,29,,N,11,1003.9
,2021-01-3,20.7,32.0,23.0,,,E,39,23:09,22.9,84,,NE,11,1006.6,29.0,55,,SE,11,1004.5
,2021-01-4,22.2,35.9,0,,,SSW,50,14:35,25.2,59,,NNW,13,1005.5,35.0,30,,NNW,22,1001.9
,2021-01-5,19.1,34.8,2.2,,,SW,35,15:56,24.4,75,,SSW,13,1008.5,33.3,29,,S,13,1007.2
,2021-01-6,20.9,32.0,0.2,,,S,33,10:49,22.8,55,,SW,9,1012.8,29.7,30,,S,19,1010.5
,2021-01-7,19.7,32.3,0,,,E,44,18:03,26.1,49,,E,15,1014.0,29.8,36,,ESE,24,1012.4
,2021-01-8,19.8,30.6,0,,,E,39,07:32,22.3,56,,ESE,30,1018.0,29.7,29,,ESE,22,1015.0
,2021-01-9,19.7,31.5,0,,,SE,39,15:48,21.9,56,,ESE,19,1017.7,29.2,33,,ESE,17,1014.9
,2021-01-10,20.1,33.2,0,,,ENE,43,15:26,24.4,52,,E,17,1016.6,32.6,29,,E,17,1013.6
,2021-01-11,21.3,35.1,0,,,NNE,35,08:30,26.3,43,,NE,20,1014.8,34.4,22,,E,17,1011.3
,2021-01-12,20.6,37.4,0,,,E,37,15:01,29.3,32,,N,11,1013.0,35.7,17,,ESE,17,1010.7
,2021-01-13,21.5,39.2,0,,,E,41,14:31,29.4,31,,NNE,9,1013.5,37.5,14,,ESE,17,1010.8
,2021-01-14,22.0,42.2,0,,,WSW,41,14:55,31.4,26,,N,9,1011.1,40.2,12,,NW,13,1007.1
,2021-01-15,25.4,36.9,0,,,WSW,52,17:43,28.3,21,,SSE,24,1008.1,34.9,13,,SW,26,1005.5
,2021-01-16,18.3,29.9,0,,,S,48,01:11,19.9,24,,SSE,24,1013.9,27.3,14,,W,13,1012.4
,2021-01-17,15.9,31.9,0,,,SE,30,07:45,23.3,27,,SE,19,1015.3,30.4,16,,S,17,1012.9
,2021-01-18,22.2,35.0,0,,,SSW,43,17:34,26.3,24,,SE,19,1014.0,33.5,15,,SSW,13,1011.9
,2021-01-19,17.2,37.0,0,,,SW,50,14:38,25.4,23,,SSE,15,1015.6,35.0,11,,SSE,17,1012.5
,2021-01-20,16.5,38.5,0,,,SW,31,13:29,27.0,30,,ESE,17,1015.7,37.2,10,,E,13,1012.3
,2021-01-21,22.0,39.0,0,,,E,52,20:06,29.3,32,,NE,20,1012.3,33.1,25,,S,26,1007.8
,2021-01-22,21.8,37.7,0.2,,,N,52,12:05,25.5,57,,ENE,31,1010.8,36.4,28,,NNE,17,1007.0
,2021-01-23,22.2,39.9,0,,,E,41,18:12,28.5,44,,N,11,1011.6,37.8,15,,E,11,1008.9
,2021-01-24,22.3,40.1,0,,,,,,31.3,27,,NNE,22,1011.3,38.6,15,,E,17,1007.6
,2021-01-25,20.0,40.0,0.2,,,N,56,11:23,29.7,29,,NNE,28,1008.5,38.1,12,,N,24,1003.7
,2021-01-26,29.5,37.5,0,,,WNW,43,16:51,31.4,29,,NNE,19,1002.0,36.7,19,,W,15,1000.7
,2021-01-27,24.0,41.7,0.6,,,E,30,08:18,30.2,53,,E,19,1005.7,39.3,20,,ENE,11,1003.6
,2021-01-28,29.0,40.6,0,,,NE,63,16:28,32.0,38,,ENE,30,1008.9,39.4,24,,ENE,28,1006.1
,2021-01-29,25.9,35.0,0,,,ENE,50,07:02,26.5,48,,NE,31,1009.7,34.7,27,,E,19,1006.9
,2021-01-30,22.9,39.6,1.4,,,NNE,30,09:27,29.0,43,,E,17,1008.6,37.5,22,,E,9,1006.0
,2021-01-31,24.6,40.1,0,,,E,44,19:26,30.8,34,,ENE,19,1010.2,39.1,18,,NNW,11,1007.1
