"Daily Weather Observations for Braidwood, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2018.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Braidwood Racecourse AWS {station 069132}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,7.6,17.5,6.2,,,WNW,52,11:47,13.6,58,,WNW,19,1014.6,16.4,40,,NW,20,1014.7
,2020-10-2,1.6,22.0,0,,,NW,24,14:10,14.4,59,,NNW,6,1023.9,21.8,44,,NNW,11,1022.6
,2020-10-3,3.6,25.1,0,,,NW,35,14:04,20.9,48,,N,4,1026.3,23.9,24,,NW,17,1022.2
,2020-10-4,8.8,26.4,0,,,NW,39,09:49,19.5,49,,N,2,1021.3,26.2,39,,NNW,11,1017.7
,2020-10-5,7.7,24.3,0,,,NW,52,11:57,18.6,52,,NNW,9,1017.0,22.9,47,,NW,17,1015.7
,2020-10-6,9.4,14.2,19.0,,,E,24,00:33,10.4,94,,S,2,1022.8,13.9,84,, ,Calm,1021.0
,2020-10-7,10.3,15.3,3.4,,,NNE,15,21:25,12.8,95,,S,2,1021.2,14.8,93,, ,Calm,1018.9
,2020-10-8,12.7,17.9,8.2,,,NW,72,15:04,15.3,88,,N,9,1010.4,17.3,57,,NW,35,1007.5
,2020-10-9,9.3,15.6,2.2,,,WNW,48,15:00,12.6,61,,WNW,15,1012.4,14.9,60,,WNW,20,1012.6
,2020-10-10,3.3,18.6,0,,,W,44,13:09,12.9,64,,NNW,6,1018.5,18.1,35,,WNW,31,1016.2
,2020-10-11,5.6,21.0,0,,,WNW,35,10:06,13.9,67,,N,7,1020.7,20.5,41,,NW,13,1019.1
,2020-10-12,10.4,22.2,0,,,NW,31,12:25,13.3,83,,N,6,1024.6,21.2,38,,NW,11,1020.5
,2020-10-13,2.8,24.2,0,,,SE,39,15:36,14.4,72,,NNW,2,1023.2,23.5,32,,NW,4,1021.9
,2020-10-14,9.5,17.2,1.8,,,ESE,24,16:22,10.4,96,,S,7,1028.0,15.1,80,,E,13,1024.4
,2020-10-15,9.6,24.7,0,,,NW,48,10:29,17.1,78,,NNE,6,1019.6,24.3,43,,NW,17,1014.7
,2020-10-16,10.6,11.7,4.4,,,ESE,26,13:15,10.6,94,,ESE,15,1019.6,10.1,90,,SE,15,1019.3
,2020-10-17,8.7,21.2,1.2,,,NW,43,11:51,11.4,96,,WNW,9,1013.5,19.8,57,,NW,17,1008.7
,2020-10-18,11.1,19.6,0.8,,,WNW,31,23:08,15.7,66,,NW,11,1010.7,13.9,87,,ESE,20,1010.2
,2020-10-19,8.6,16.9,11.2,,,ESE,28,16:53,10.1,88,,NE,6,1017.0,16.0,63,,NE,6,1015.9
,2020-10-20,8.8,20.4,0,,,E,26,16:39,11.0,87,,NE,6,1019.4,18.4,56,,N,6,1016.5
,2020-10-21,11.0,23.4,0,,,NW,30,13:58,13.7,84,,NNW,6,1016.6,21.9,43,,WNW,17,1013.0
,2020-10-22,11.5,24.2,0,,,SSE,28,15:51,14.4,94,, ,Calm,1016.2,23.6,48,,NNW,7,1012.9
,2020-10-23,9.6,26.4,0,,,NW,28,11:49,14.8,93,,NNE,6,1014.1,25.4,45,,NNW,9,1009.5
,2020-10-24,13.4,20.3,2.4,,,NW,44,09:16,19.1,80,,NW,11,1004.4,20.2,73,,WNW,17,1002.1
,2020-10-25,6.7,9.5,13.0,,,SSE,39,21:39,7.2,94,,S,19,1014.0,8.8,93,,S,24,1015.1
,2020-10-26,6.5,10.9,10.8,,,SSE,50,13:29,6.6,93,,S,26,1020.7,9.9,82,,SE,28,1019.6
,2020-10-27,6.0,13.9,9.4,,,S,31,09:42,8.6,94,,S,19,1022.0,13.1,79,,ESE,17,1019.3
,2020-10-28,8.3,17.6,0.4,,,ESE,30,15:45,10.9,87,,S,11,1020.1,17.2,68,,ENE,9,1015.9
,2020-10-29,7.3,17.6,0.2,,,SE,31,14:11,13.0,79,,E,9,1014.0,11.9,84,,SE,17,1010.6
,2020-10-30,9.1,17.7,1.6,,,ESE,35,15:06,14.6,75,,S,2,1011.3,16.9,75,,ESE,20,1009.5
,2020-10-31,11.3,12.9,2.4,,,SE,30,16:30,12.6,93,,SW,6,1010.4,12.1,86,,SW,11,1009.9
