"Daily Weather Observations for Braidwood, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2018.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Braidwood Racecourse AWS {station 069132}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,-4.0,16.4,0.2,,,WNW,26,12:16,6.3,92,,NNE,2,1022.6,14.2,51,,NNW,7,1022.0
,2021-06-2,3.6,18.0,0,,,NNW,22,13:54,7.9,85,,S,2,1022.5,15.0,54,,NNE,2,1019.3
,2021-06-3,5.7,10.6,3.8,,,WSW,15,23:35,7.8,96,, ,Calm,1017.0,9.8,96,,SSE,4,1012.1
,2021-06-4,5.5,13.9,15.2,,,SSW,31,15:45,10.5,75,,WNW,9,1012.8,13.1,61,,WNW,15,1011.9
,2021-06-5,-4.8,10.9,1.0,,,NW,26,13:48,1.7,82,, ,Calm,1022.6,9.9,63,,NNW,11,1019.9
,2021-06-6,-2.2,14.9,0,,,WNW,28,01:19,4.3,85,, ,Calm,1025.4,13.9,53,,N,7,1023.5
,2021-06-7,-0.9,14.2,0,,,WNW,30,15:14,6.3,99,,N,6,1023.6,12.9,61,,NW,15,1019.0
,2021-06-8,3.2,14.8,0.2,,,NW,44,11:34,7.4,76,,NNW,11,1011.6,14.1,50,,NNW,13,1007.3
,2021-06-9,-1.9,11.2,0.2,,,SSW,37,15:45,1.7,94,,SE,9,1004.5,10.0,62,,NNW,6,1000.4
,2021-06-10,0.8,7.3,4.8,,,SE,30,12:19,3.6,98,,SSE,11,1005.5,6.0,93,,SE,11,1006.0
,2021-06-11,3.4,11.7,32.8,,,NW,26,23:07,7.3,96,,SW,9,1010.8,10.3,81,,S,9,1010.6
,2021-06-12,5.4,10.1,1.0,,,WNW,43,19:11,7.0,81,,NW,15,1014.5,7.4,82,,NNW,7,1014.6
,2021-06-13,2.3,13.8,0.4,,,NW,30,00:38,7.9,78,,NW,6,1017.4,13.1,62,,WNW,11,1015.4
,2021-06-14,6.0,13.9,1.0,,,WSW,15,14:42,7.3,96,, ,Calm,1018.2,11.6,78,,W,11,1016.1
,2021-06-15,4.4,13.5,0.8,,,E,15,15:16,7.0,99,, ,Calm,1019.4,11.6,77,,E,9,1016.9
,2021-06-16,1.1,15.0,0.2,,,NW,30,13:58,4.8,99,, ,Calm,1017.8,11.9,69,,NW,15,1013.7
,2021-06-17,4.7,10.2,21.8,,,WNW,48,12:37,7.4,73,,W,17,1009.3,9.7,67,,NW,17,1006.9
,2021-06-18,1.6,10.5,0.2,,,SSW,41,22:07,7.1,78,,NW,7,1008.5,7.5,89,,W,9,1007.4
,2021-06-19,6.7,11.7,5.6,,,S,48,11:44,8.8,67,,SSW,19,1016.7,10.9,64,,S,24,1019.0
,2021-06-20,4.2,11.6,0,,,S,39,09:46,7.3,77,,S,22,1026.1,9.7,71,,SSE,13,1025.6
,2021-06-21,2.9,11.6,0,,,S,19,12:09,7.1,89,,SSW,7,1029.5,10.3,73,,S,9,1027.6
,2021-06-22,-0.1,13.9,0,,,NNE,22,14:00,6.1,92,, ,Calm,1032.8,11.5,66,,NNE,6,1029.9
,2021-06-23,4.2,11.5,0,,,NW,31,23:52,5.4,97,,N,2,1027.1,11.1,78,,NNW,9,1021.7
,2021-06-24,5.4,12.1,1.2,,,NNW,41,10:37,11.4,91,,NNW,15,1013.6,11.3,95,,NW,9,1010.4
,2021-06-25,6.7,12.6,17.8,,,NW,44,10:52,8.6,84,,NW,19,1014.3,10.8,67,,NW,19,1013.8
,2021-06-26,4.0,12.0,0,,,WNW,31,10:43,7.5,80,,NW,13,1018.6,11.1,59,,WNW,20,1018.2
,2021-06-27,0.6,13.6,0.2,,,WNW,26,15:34,6.2,80,,NNW,6,1026.3,13.3,54,,WNW,13,1026.2
,2021-06-28,-1.7,12.4,0,,,E,15,15:15,2.1,99,, ,Calm,1033.8,10.4,71,,E,11,1032.0
,2021-06-29,-3.8,12.7,0.2,,,ENE,11,15:44,1.3,99,, ,Calm,1036.0,11.1,73,,E,2,1033.6
,2021-06-30,1.3,15.3,0.4,,,NNW,13,11:11,8.7,98,, ,Calm,1032.5,14.7,64,,N,6,1028.4
