"Daily Weather Observations for Brewarrina, New South Wales for July 2021"
"Prepared at 13:00 UTC on Sunday 17 October 2021   IDCJDW2019.202107"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Brewarrina Hospital {station 048015}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-07-1,12.6,17.5,23.0,0.0,,,,,13.4,100,7, ,Calm,,,,,,,
,2021-07-2,5.0,19.1,3.0,1.1,,,,,10.0,100,8, ,Calm,,,,,,,
,2021-07-3,7.2,18.8,0,1.0,,,,,12.2,79,1, ,Calm,,,,,,,
,2021-07-4,1.0,15.3,0,2.4,,,,,7.4,83,0, ,Calm,,,,,,,
,2021-07-5,1.8,15.0,0,1.4,,,,,7.8,82,1, ,Calm,,,,,,,
,2021-07-6,1.9,15.5,0,0.6,,,,,6.2,97,1, ,Calm,,,,,,,
,2021-07-7,-0.4,14.8,0,1.4,,,,,6.0,85,0, ,Calm,,,,,,,
,2021-07-8,2.0,20.0,0,1.7,,,,,9.2,71,6,E,4,,,,,,,
,2021-07-9,8.6,18.9,0,1.8,,,,,14.4,83,1,SW,9,,,,,,,
,2021-07-10,2.5,17.7,0,3.0,,,,,7.0,68,0,SW,7,,,,,,,
,2021-07-11,1.9,,0,2.4,,,,,6.5,89,4,S,4,,,,,,,
,2021-07-12,,,0,,,,,,,,,,,,,,,,,
,2021-07-13,,21.5,0,3.0,,,,,11.2,73,2, ,Calm,,,,,,,
,2021-07-14,10.2,21.8,0,2.2,,,,,,,7,W,9,,,,,,,
,2021-07-15,9.3,22.8,0.8,1.6,,,,,14.4,90,1, ,Calm,,,,,,,
,2021-07-16,10.8,19.7,0.6,1.9,,,,,15.2,61,1,W,19,,,,,,,
,2021-07-17,8.0,17.5,0,5.0,,,,,14.0,53,1,SW,37,,,,,,,
,2021-07-18,3.9,17.3,0,3.4,,,,,9.1,66,0,SW,4,,,,,,,
,2021-07-19,2.2,17.3,0,1.9,,,,,10.2,78,4, ,Calm,,,,,,,
,2021-07-20,0.5,15.8,0,1.8,,,,,9.6,71,6, ,Calm,,,,,,,
,2021-07-21,4.0,15.0,1.6,2.2,,,,,7.5,76,0,WSW,19,,,,,,,
,2021-07-22,-1.5,13.9,0,2.4,,,,,6.3,78,7,NE,7,,,,,,,
,2021-07-23,5.2,21.4,0.6,1.6,,,,,12.8,68,5,N,19,,,,,,,
,2021-07-24,8.9,18.8,0,2.3,,,,,10.5,81,1,SW,19,,,,,,,
,2021-07-25,8.4,17.0,0,2.6,,,,,11.2,68,0,S,9,,,,,,,
,2021-07-26,1.8,20.4,0,2.8,,,,,11.6,57,6,SW,4,,,,,,,
,2021-07-27,2.2,23.2,0,2.4,,,,,11.4,59,0,N,9,,,,,,,
,2021-07-28,8.0,24.8,0,3.8,,,,,16.9,45,7,N,9,,,,,,,
,2021-07-29,5.4,18.2,0.8,1.8,,,,,12.0,73,0,S,7,,,,,,,
,2021-07-30,1.0,21.5,0,2.2,,,,,9.8,64,0,NNE,9,,,,,,,
,2021-07-31,8.5,31.2,0,3.2,,,,,14.2,53,1,NE,9,,,,,,,
