"Daily Weather Observations for Girilambone, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2020.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Girilambone (Okeh) AWS {station 051164}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,13.0,28.3,0,,,,,,19.1,65,,,,,26.8,32,,,,
,2020-11-2,14.6,29.7,0,,,,,,19.4,49,,,,,27.6,23,,,,
,2020-11-3,13.9,30.6,0,,,,,,19.0,53,,,,,28.5,15,,,,
,2020-11-4,12.1,33.8,0,,,,,,21.4,46,,,,,32.3,14,,,,
,2020-11-5,15.8,23.1,2.4,,,,,,17.5,58,,,,,21.6,25,,,,
,2020-11-6,11.8,26.5,0,,,,,,16.5,50,,,,,25.1,25,,,,
,2020-11-7,15.3,28.5,0,,,,,,20.5,32,,,,,27.2,18,,,,
,2020-11-8,13.9,29.7,0,,,,,,19.5,52,,,,,29.1,27,,,,
,2020-11-9,15.6,30.5,0,,,,,,21.4,46,,,,,28.9,29,,,,
,2020-11-10,16.9,32.5,0,,,,,,22.8,41,,,,,31.2,19,,,,
,2020-11-11,17.0,36.0,0,,,,,,25.6,30,,,,,34.3,14,,,,
,2020-11-12,22.4,33.2,0,,,,,,26.1,41,,,,,31.6,30,,,,
,2020-11-13,17.3,33.5,0.4,,,,,,25.1,41,,,,,31.9,18,,,,
,2020-11-14,14.9,32.9,0,,,,,,22.1,36,,,,,30.5,16,,,,
,2020-11-15,15.7,37.9,0,,,,,,26.4,23,,,,,36.1,9,,,,
,2020-11-16,19.7,39.6,0,,,,,,30.5,16,,,,,34.3,20,,,,
,2020-11-17,18.8,31.8,0,,,,,,22.4,24,,,,,29.6,7,,,,
,2020-11-18,15.8,35.4,0,,,,,,21.9,50,,,,,33.9,18,,,,
,2020-11-19,20.6,37.9,0,,,,,,27.3,47,,,,,35.8,23,,,,
,2020-11-20,24.1,38.9,0,,,,,,29.7,30,,,,,37.7,12,,,,
,2020-11-21,22.7,41.5,0,,,,,,34.3,20,,,,,40.3,11,,,,
,2020-11-22,25.6,39.8,0,,,,,,31.2,27,,,,,38.0,14,,,,
,2020-11-23,26.1,31.3,0,,,,,,27.3,49,,,,,27.3,46,,,,
,2020-11-24,19.4,32.7,0,,,,,,23.5,59,,,,,31.3,23,,,,
,2020-11-25,18.2,34.9,0,,,,,,23.3,45,,,,,33.0,20,,,,
,2020-11-26,21.2,38.0,0,,,,,,27.3,43,,,,,35.6,19,,,,
,2020-11-27,23.9,40.7,0,,,,,,31.7,28,,,,,39.5,13,,,,
,2020-11-28,26.8,42.7,0,,,,,,33.5,28,,,,,40.7,16,,,,
,2020-11-29,29.9,41.6,0.6,,,,,,36.5,15,,,,,40.8,15,,,,
,2020-11-30,21.8,40.7,0,,,,,,25.3,33,,,,,37.5,13,,,,
