"Daily Weather Observations for Burrinjuck Dam, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2021.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Burrinjuck Dam {station 073007}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,,17.0,0,,,,,,,,,,,,,,,,,
,2020-09-2,3.0,19.5,0,0.6,,,,,5.5,93,0, ,Calm,,,,,,,
,2020-09-3,6.0,21.0,0,2.8,,,,,15.5,64,8, ,,,,,,,,
,2020-09-4,7.5,19.6,0.4,1.8,,,,,9.5,93,0, ,Calm,,,,,,,
,2020-09-5,5.4,16.3,0,1.8,,,,,8.2,82,3,SW,6,,,,,,,
,2020-09-6,2.6,18.5,0,2.0,,,,,4.4,92,0, ,Calm,,,,,,,
,2020-09-7,4.4,22.4,0,2.0,,,,,8.0,88,0, ,Calm,,,,,,,
,2020-09-8,7.5,22.6,0,2.2,,,,,9.3,97,5, ,Calm,,,,,,,
,2020-09-9,9.5,15.7,3.2,0.9,,,,,14.0,100,8, ,Calm,,,,,,,
,2020-09-10,8.4,16.1,0,2.4,,,,,11.3,78,3,SE,28,,,,,,,
,2020-09-11,9.0,19.7,0,2.2,,,,,11.3,71,1, ,Calm,,,,,,,
,2020-09-12,4.2,19.5,0,2.2,,,,,7.7,87,2, ,Calm,,,,,,,
,2020-09-13,6.5,15.5,0,2.2,,,,,9.4,92,8, ,Calm,,,,,,,
,2020-09-14,7.5,19.5,3.0,0.6,,,,,9.5,100,8, ,Calm,,,,,,,
,2020-09-15,4.5,21.5,0,2.8,,,,,7.5,86,0, ,Calm,,,,,,,
,2020-09-16,6.0,22.5,0,2.3,,,,,9.5,87,0, ,Calm,,,,,,,
,2020-09-17,9.5,24.5,0,2.9,,,,,12.5,88,4, ,Calm,,,,,,,
,2020-09-18,12.5,19.0,0,3.1,,,,,13.0,83,7,E,20,,,,,,,
,2020-09-19,12.5,23.0,0.4,2.7,,,,,15.5,84,5, ,Calm,,,,,,,
,2020-09-20,14.0,18.5,12.0,1.6,,,,,14.0,100,8, ,Calm,,,,,,,
,2020-09-21,11.0,25.0,11.8,1.6,,,,,13.5,100,8, ,Calm,,,,,,,
,2020-09-22,9.0,18.6,10.6,4.2,,,,,10.0,100,0, ,Calm,,,,,,,
,2020-09-23,6.6,15.0,0,3.7,,,,,11.1,81,6,NE,6,,,,,,,
,2020-09-24,8.0,13.5,6.2,1.8,,,,,9.0,87,8, ,Calm,,,,,,,
,2020-09-25,6.5,10.0,4.0,1.6,,,,,7.5,100,8, ,Calm,,,,,,,
,2020-09-26,4.0,9.0,27.0,1.8,,,,,4.0,92,8,W,24,,,,,,,
,2020-09-27,4.0,14.0,1.8,0.0,,,,,6.5,93,7, ,Calm,,,,,,,
,2020-09-28,1.5,16.5,0,2.5,,,,,7.5,86,0, ,Calm,,,,,,,
,2020-09-29,6.0,20.0,0,3.0,,,,,11.0,82,, ,Calm,,,,,,,
,2020-09-30,7.0,15.5,0,2.0,,,,,10.5,81,8, ,Calm,,,,,,,
