"Daily Weather Observations for Burrinjuck Dam, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2021.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Burrinjuck Dam {station 073007}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,15.3,33.8,0,3.2,,,,,19.2,78,0, ,Calm,,,,,,,
,2020-12-2,13.9,25.0,0,7.0,,,,,16.2,52,4,NE,6,,,,,,,
,2020-12-3,15.0,27.0,0,4.7,,,,,16.5,85,1, ,Calm,,,,,,,
,2020-12-4,9.0,30.5,0,5.2,,,,,14.0,73,0, ,Calm,,,,,,,
,2020-12-5,11.5,27.0,0,7.3,,,,,16.0,69,0, ,Calm,,,,,,,
,2020-12-6,12.0,20.0,22.0,5.2,,,,,13.0,77,6,W,26,,,,,,,
,2020-12-7,11.5,20.5,0,4.8,,,,,18.5,54,6,NNE,15,,,,,,,
,2020-12-8,9.0,20.5,4.0,5.2,,,,,12.0,71,2,NNE,11,,,,,,,
,2020-12-9,8.0,26.0,0,4.8,,,,,14.5,73,0,NNE,4,,,,,,,
,2020-12-10,11.0,30.5,0,4.8,,,,,20.5,65,1, ,Calm,,,,,,,
,2020-12-11,11.5,24.0,0,5.8,,,,,16.0,55,1,,,,,,,,,
,2020-12-12,9.5,23.0,0,5.6,,,,,16.5,61,1, ,,,,,,,,
,2020-12-13,14.0,27.0,0,5.8,,,,,17.0,75,8, ,,,,,,,,
,2020-12-14,16.5,27.5,0,4.6,,,,,18.5,76,7,E,22,,,,,,,
,2020-12-15,18.0,29.5,0,5.2,,,,,20.0,73,8,,,,,,,,,
,2020-12-16,19.5,29.5,21.8,4.0,,,,,20.0,100,8, ,Calm,,,,,,,
,2020-12-17,19.0,30.5,13.2,3.8,,,,,20.0,95,8, ,Calm,,,,,,,
,2020-12-18,18.5,27.0,2.6,4.0,,,,,21.0,69,3, ,Calm,,,,,,,
,2020-12-19,13.0,27.5,0,6.5,,,,,14.5,84,6, ,Calm,,,,,,,
,2020-12-20,14.5,27.0,0,4.0,,,,,17.0,75,2, ,Calm,,,,,,,
,2020-12-21,,,0,7.4,,,,,18.5,76,8, ,Calm,,,,,,,
,2020-12-22,,22.0,,,,,,,,,,,,,,,,,,
,2020-12-23,14.0,25.5,2.4,5.0,,,,,16.0,79,6,,,,,,,,,
,2020-12-24,12.5,27.6,0,4.0,,,,,18.0,81,0, ,Calm,,,,,,,
,2020-12-25,16.4,26.2,0,6.2,,,,,17.0,78,8,NE,6,,,,,,,
,2020-12-26,15.3,29.7,0,5.9,,,,,16.7,74,8,NE,6,,,,,,,
,2020-12-27,14.8,33.7,0,4.8,,,,,18.2,84,1, ,Calm,,,,,,,
,2020-12-28,18.0,33.0,0,6.4,,,,,20.2,75,3, ,Calm,,,,,,,
,2020-12-29,15.4,27.2,0,8.0,,,,,16.5,72,8, ,Calm,,,,,,,
,2020-12-30,16.4,28.8,0,6.2,,,,,18.2,73,7, ,Calm,,,,,,,
,2020-12-31,17.7,,0,6.2,,,,,18.6,77,8, ,Calm,,,,,,,
