"Daily Weather Observations for Burrinjuck Dam, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2021.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Burrinjuck Dam {station 073007}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,6.5,11.9,0.8,0.6,,,,,8.0,93,7, ,Calm,,,,,,,
,2021-08-2,2.2,12.7,0,0.1,,,,,2.6,94,8, ,Calm,,,,,,,
,2021-08-3,,9.9,10.0,1.7,,,,,8.2,89,8,NE,9,,,,,,,
,2021-08-4,4.6,11.0,14.4,1.0,,,,,5.2,89,8,NE,9,,,,,,,
,2021-08-5,5.0,12.5,7.4,1.4,,,,,8.5,87,0, ,Calm,,,,,,,
,2021-08-6,8.0,14.0,0,0.8,,,,,10.0,87,1, ,,,,,,,,
,2021-08-7,6.5,14.0,0,1.8,,,,,7.5,86,5,,,,,,,,,
,2021-08-8,2.0,13.4,0,1.0,,,,,3.0,91,1, ,Calm,,,,,,,
,2021-08-9,2.3,16.0,0,0.8,,,,,5.3,95,3, ,Calm,,,,,,,
,2021-08-10,2.8,16.9,0,1.4,,,,,4.8,95,8, ,Calm,,,,,,,
,2021-08-11,4.4,17.9,0,1.2,,,,,5.3,100,0, ,Calm,,,,,,,
,2021-08-12,4.2,14.4,10.6,1.6,,,,,8.2,90,6,NNE,4,,,,,,,
,2021-08-13,1.6,14.9,0,2.0,,,,,2.6,96,4, ,Calm,,,,,,,
,2021-08-14,1.6,15.9,0,1.2,,,,,2.1,94,0, ,Calm,,,,,,,
,2021-08-15,2.0,15.5,0,1.6,,,,,2.4,94,8, ,Calm,,,,,,,
,2021-08-16,2.0,11.0,0,2.4,,,,,8.0,73,7,W,11,,,,,,,
,2021-08-17,6.5,14.4,0,1.0,,,,,7.0,86,, ,,,,,,,,
,2021-08-18,1.7,15.6,0,1.8,,,,,4.5,94,0,,,,,,,,,
,2021-08-19,2.0,15.5,0,1.3,,,,,3.5,95,6, ,Calm,,,,,,,
,2021-08-20,3.0,18.0,0,1.4,,,,,4.5,92,5, ,Calm,,,,,,,
,2021-08-21,4.0,19.0,2.0,1.8,,,,,10.0,93,4,W,4,,,,,,,
,2021-08-22,5.0,22.2,0,2.6,,,,,6.5,93,3, ,Calm,,,,,,,
,2021-08-23,6.2,19.8,0.6,1.1,,,,,14.2,87,5,,,,,,,,,
,2021-08-24,5.8,10.2,35.6,3.4,,,,,6.5,97,8,,,,,,,,,
,2021-08-25,4.6,14.0,1.5,0.8,,,,,5.2,99,6, ,Calm,,,,,,,
,2021-08-26,3.0,16.0,0,2.0,,,,,3.0,100,7, ,Calm,,,,,,,
,2021-08-27,3.0,,0,2.2,,,,,6.0,100,4, ,Calm,,,,,,,
,2021-08-28,,15.5,,,,,,,,,,,,,,,,,,
,2021-08-29,6.0,11.3,1.8,0.6,,,,,7.5,86,3, ,Calm,,,,,,,
,2021-08-30,4.5,14.6,4.2,0.4,,,,,5.5,99,8,,,,,,,,,
,2021-08-31,3.0,17.6,0,2.4,,,,,4.6,97,, ,Calm,,,,,,,
