"Daily Weather Observations for Byron Bay, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2022.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Byron Bay (Cape Byron AWS) {station 058216}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,17.2,27.9,26.0,,,W,43,07:48,22.4,,,W,26,1014.3,26.6,,,ENE,19,1013.7
,2020-11-2,17.5,21.7,0,,,S,74,11:59,20.2,,,SSW,33,1022.1,20.9,78,,SSW,57,1021.1
,2020-11-3,15.7,21.6,0,,,S,65,00:39,19.4,70,,SW,31,1023.2,20.7,74,,SSW,46,1021.2
,2020-11-4,16.1,25.6,0,,,SW,35,01:19,20.1,69,,SSW,24,1019.0,23.7,57,,E,24,1014.8
,2020-11-5,18.9,24.6,0,,,N,63,15:01,22.3,76,,N,22,1009.7,24.1,82,,NNE,35,1003.7
,2020-11-6,15.9,22.3,0,,,S,61,00:58,19.1,61,,SSW,31,1014.2,21.9,59,,SSE,30,1013.5
,2020-11-7,15.9,23.3,0,,,ESE,43,20:00,20.0,73,,SSW,20,1019.4,22.7,62,,SE,26,1018.5
,2020-11-8,15.6,21.1,26.2,,,SSW,59,03:33,18.8,78,,SSE,35,1025.1,19.0,73,,S,39,1024.7
,2020-11-9,16.6,22.9,0.2,,,ESE,52,23:12,19.5,65,,SSW,19,1025.7,19.5,73,,S,33,1023.3
,2020-11-10,15.8,25.7,0.2,,,SW,31,06:15,19.4,82,,SSW,13,1023.8,23.7,60,,E,20,1020.6
,2020-11-11,18.1,27.6,0.2,,,NE,41,17:12,22.0,69,,ESE,9,1021.3,27.2,54,,NE,22,1017.9
,2020-11-12,18.3,23.8,0,,,N,56,18:05,22.6,70,,N,17,1018.3,23.5,68,,NNE,30,1013.6
,2020-11-13,20.8,24.4,0,,,N,57,23:22,22.9,72,,NNW,26,1012.4,24.3,72,,N,22,1009.1
,2020-11-14,20.7,25.5,0.2,,,N,65,14:28,23.5,77,,N,22,1010.6,24.5,84,,N,31,1007.5
,2020-11-15,21.1,25.5,0,,,SW,46,01:55,23.9,91,,SSW,28,1016.3,23.6,95,,S,28,1015.9
,2020-11-16,22.2,28.4,0,,,N,54,13:52,25.5,95,,NNE,6,1019.4,25.8,92,,N,35,1014.2
,2020-11-17,21.8,27.6,0,,,S,61,15:06,23.3,100,,N,19,1014.3,21.4,100,,S,43,1015.7
,2020-11-18,20.4,24.2,0,,,S,52,01:22,22.6,81,,SSE,28,1023.0,23.7,73,,SSE,24,1021.7
,2020-11-19,18.3,28.7,0,,,ENE,35,20:14,24.1,69,,E,20,1023.7,26.4,65,,ENE,19,1021.7
,2020-11-20,19.8,27.7,0,,,NE,43,16:43,23.3,75,,N,7,1023.3,25.5,70,,NE,31,1019.6
,2020-11-21,19.4,29.5,0,,,NE,39,11:24,24.0,77,,N,11,1021.5,28.3,68,,NE,28,1019.8
,2020-11-22,19.1,26.6,0,,,N,46,17:25,23.9,83,,N,15,1020.0,25.5,75,,NNE,24,1016.7
,2020-11-23,20.0,25.0,0,,,N,63,12:15,23.7,84,,NNW,17,1013.1,24.6,86,,N,41,1007.1
,2020-11-24,20.6,23.3,0,,,S,57,12:22,23.1,95,,S,43,1008.7,22.3,96,,S,37,1007.9
,2020-11-25,19.2,24.3,1.0,,,S,46,10:47,20.6,94,,SSW,22,1013.5,19.8,100,,SSE,17,1012.3
,2020-11-26,19.5,30.4,0,,,NE,39,15:54,24.3,77,,ESE,11,1015.1,29.4,66,,NE,26,1013.1
,2020-11-27,19.6,30.6,0,,,NE,35,22:55,25.4,84,,ENE,9,1018.7,29.5,65,,ENE,17,1017.7
,2020-11-28,20.2,25.2,0,,,N,52,18:24,23.3,85,,N,17,1017.5,24.9,81,,NNE,28,1013.8
,2020-11-29,20.4,24.7,0,,,NNE,67,12:14,22.2,91,,N,30,1012.5,24.3,88,,N,41,1007.2
,2020-11-30,20.5,24.0,0,,,S,74,02:47,21.7,90,,SSW,46,1014.6,22.4,93,,S,46,1014.0
