"Daily Weather Observations for Byron Bay, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2022.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Byron Bay (Cape Byron AWS) {station 058216}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,16.3,22.5,54.0,,,ESE,65,21:38,16.6,100,,SW,26,1021.0,19.9,,,S,26,1020.0
,2021-04-2,16.6,23.6,9.4,,,ESE,59,01:43,22.4,,,SE,44,1023.0,23.2,,,ESE,39,1022.2
,2021-04-3,21.1,23.9,0,,,ESE,61,07:32,22.0,,,ESE,44,1022.3,22.2,,,ESE,44,1020.5
,2021-04-4,20.1,22.8,,,,,,,22.7,,,ESE,17,1020.9,21.2,,,E,19,1017.2
,2021-04-5,20.0,23.4,7.8,,,E,72,19:20,22.6,,,E,24,1017.9,21.0,,,SE,33,1015.5
,2021-04-6,19.3,22.7,25.4,,,ESE,67,19:39,21.1,,,ESE,41,1017.3,21.1,,,ESE,43,1014.9
,2021-04-7,19.6,23.6,33.6,,,ESE,57,00:06,22.4,,,SE,37,1014.1,22.5,,,SSE,31,1010.5
,2021-04-8,19.0,22.1,20.0,,,SSW,57,13:49,19.6,,,SW,28,1009.2,21.1,,,SW,26,1006.8
,2021-04-9,18.0,26.2,7.4,,,WSW,39,03:35,21.4,,,SW,17,1008.7,24.9,,,N,13,1005.4
,2021-04-10,19.1,29.6,0,,,W,37,22:04,25.2,,,NNW,9,1007.6,26.8,,,E,17,1005.2
,2021-04-11,19.2,25.9,0,,,WSW,46,21:38,22.1,,,WSW,24,1010.6,23.8,,,ESE,20,1007.8
,2021-04-12,14.0,19.4,0.4,,,ESE,46,01:06,16.5,,,SW,26,1018.5,19.4,,,SSE,17,1017.1
,2021-04-13,13.7,21.5,0,,,WSW,39,05:12,17.0,,,SW,22,1022.2,20.6,,,S,20,1019.7
,2021-04-14,17.0,24.1,0,,,N,35,19:11,21.4,,,NNW,7,1020.4,23.2,,,NE,17,1016.9
,2021-04-15,17.1,25.5,0,,,NNW,30,01:19,22.3,,,E,15,1017.1,24.9,,,NE,17,1014.5
,2021-04-16,18.6,23.9,0,,,SSW,48,11:41,21.2,,,S,28,1017.7,23.2,,,SSE,28,1017.3
,2021-04-17,18.1,21.0,0,,,SW,59,18:55,19.1,,,WSW,24,1019.8,19.2,,,SW,22,1017.1
,2021-04-18,13.8,20.8,2.2,,,SSW,63,17:46,17.2,,,SW,31,1018.5,19.8,,,S,43,1016.4
,2021-04-19,15.5,,0.8,,,,,,18.4,,,SW,26,1018.9,21.2,70,,S,22,1016.5
,2021-04-20,16.0,25.3,0.2,,,NNE,37,16:49,21.0,66,,N,7,1018.2,24.4,53,,NNE,17,1014.1
,2021-04-21,16.5,27.2,0,,,SW,46,20:50,23.3,55,,NW,11,1013.7,26.6,31,,W,17,1010.3
,2021-04-22,15.6,23.7,0,,,W,56,23:30,17.9,75,,W,19,1015.3,19.6,62,,W,13,1011.7
,2021-04-23,13.6,19.7,0,,,WSW,46,05:47,16.3,41,,SW,30,1018.3,19.4,59,,SSE,17,1016.7
,2021-04-24,15.0,23.9,0,,,WSW,31,03:30,17.8,62,,WSW,17,1022.8,22.1,59,,ENE,9,1020.1
,2021-04-25,16.6,24.3,0,,,WSW,28,07:42,19.0,74,,WSW,11,1022.2,23.1,61,,E,9,1020.3
,2021-04-26,15.4,22.2,2.6,,,SE,46,20:48,16.7,87,,WSW,22,1024.1,20.7,62,,SSE,19,1021.9
,2021-04-27,15.2,21.6,0.6,,,SSE,48,22:35,18.1,82,,WSW,19,1025.9,20.5,68,,S,35,1023.0
,2021-04-28,14.9,19.9,5.4,,,SSW,46,11:07,15.8,96,,WSW,26,1024.9,18.3,90,,WSW,13,1022.1
,2021-04-29,15.2,22.2,2.8,,,E,43,20:30,16.9,93,,SW,17,1023.9,21.5,69,,E,28,1021.9
,2021-04-30,15.7,21.1,3.4,,,E,61,19:49,17.4,96,,SW,15,1026.4,19.7,87,,S,11,1024.3
