"Daily Weather Observations for Cabramurra, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2023.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Temperature, humidity, wind and rainfall observations are from Cabramurra SMHEA AWS {station 072161}"
"Cloud observations are from Tumbarumba Post Office {station 072043}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,2.2,7.1,30.0,,,WSW,81,01:15,2.6,100,5,W,28,,5.7,84,,W,22,
,2020-10-2,2.0,14.6,0,,,WNW,33,12:45,7.0,59,0,WSW,9,,12.8,66,,W,17,
,2020-10-3,7.0,18.0,0,,,NNW,46,11:38,14.4,33,0,NNW,17,,17.4,29,,NW,22,
,2020-10-4,11.2,19.5,0,,,N,63,21:54,12.7,57,2,NNW,22,,18.0,47,,NNW,24,
,2020-10-5,11.4,15.8,0,,,N,69,02:27,12.4,60,6,NNW,41,,13.9,71,,W,28,
,2020-10-6,9.5,11.1,5.2,,,WNW,43,23:58,10.4,100,8,N,20,,10.2,100,,WNW,20,
,2020-10-7,8.8,10.8,12.6,,,N,52,14:05,9.1,100,8,N,17,,10.2,100,,NNE,31,
,2020-10-8,7.1,8.1,31.4,,,WNW,78,22:43,7.1,100,8,WNW,35,,6.4,99,,NW,20,
,2020-10-9,2.0,3.9,12.6,,,WNW,76,00:24,2.5,100,8,W,37,,2.7,100,,W,30,
,2020-10-10,2.0,8.4,8.0,,,W,57,11:17,2.5,100,2,W,13,,6.6,89,,WSW,28,
,2020-10-11,2.4,12.3,0,,,WNW,52,06:38,7.2,59,2,W,24,,11.5,65,,WNW,19,
,2020-10-12,4.9,14.5,0,,,WSW,35,12:28,8.0,70,6,WNW,11,,13.3,41,,W,19,
,2020-10-13,7.9,16.4,0,,,W,41,09:23,13.1,45,0,WSW,20,,15.9,45,,W,20,
,2020-10-14,6.7,16.8,0,,,W,41,13:28,11.1,75,0,N,11,,15.3,51,,W,22,
,2020-10-15,10.3,18.9,0,,,WSW,59,17:01,12.1,76,4,NNW,11,,16.8,49,,WNW,31,
,2020-10-16,7.9,14.7,8.2,,,WSW,54,00:16,9.1,100,1,NW,11,,13.2,73,,W,17,
,2020-10-17,7.9,10.9,11.0,,,NW,70,18:53,8.7,99,6,NNW,35,,9.6,100,,WNW,31,
,2020-10-18,5.5,11.9,24.6,,,NW,52,23:12,6.0,100,7,W,11,,10.6,76,,W,17,
,2020-10-19,4.8,12.6,0,,,W,31,13:16,6.7,97,3,NW,9,,11.5,65,,WSW,19,
,2020-10-20,4.4,13.2,0,,,WNW,28,12:48,7.7,87,1,NNW,15,,11.3,71,,WNW,20,
,2020-10-21,7.6,16.0,0,,,WNW,43,13:56,10.0,75,5,N,22,,14.5,57,,WNW,24,
,2020-10-22,8.7,16.2,0,,,N,33,10:00,11.5,54,2,N,11,,14.6,53,,WNW,11,
,2020-10-23,8.4,15.4,9.2,,,NNW,56,12:49,12.2,91,3,N,22,,13.6,87,,NNW,13,
,2020-10-24,10.3,11.6,22.2,,,NNW,61,02:17,11.4,100,8,NW,28,,10.5,100,,WNW,22,
,2020-10-25,0.5,7.2,25.2,,,ESE,89,22:33,1.2,93,8,ESE,43,,6.0,92,,ESE,39,
,2020-10-26,0.9,4.4,1.6,,,ESE,100,04:14,0.9,99,8,ESE,65,,3.2,96,,ESE,56,
,2020-10-27,0.7,8.7,0,,,ESE,83,23:17,3.3,93,8,ESE,48,,8.1,75,,E,30,
,2020-10-28,3.3,11.8,0.4,,,ESE,67,23:57,6.6,87,2,E,31,,7.6,83,,WNW,17,
,2020-10-29,5.9,13.7,9.8,,,WNW,31,14:05,8.9,75,0,W,9,,13.1,58,,W,17,
,2020-10-30,7.0,14.9,0.2,,,E,56,18:58,9.8,74,7,NE,13,,12.4,61,,E,30,
,2020-10-31,5.8,9.6,8.0,,,E,54,13:29,5.8,99,8,NE,15,,8.6,92,,E,22,
