"Daily Weather Observations for Cabramurra, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2023.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Temperature, humidity, wind and rainfall observations are from Cabramurra SMHEA AWS {station 072161}"
"Cloud observations are from Tumbarumba Post Office {station 072043}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,7.1,14.0,0,,,N,24,23:50,10.1,76,0,N,11,,12.9,61,,W,13,
,2021-05-2,8.2,13.3,0,,,N,33,22:42,10.5,76,7,NW,17,,12.3,67,,NW,11,
,2021-05-3,7.6,9.6,0.4,,,W,63,17:08,7.9,99,7,NNW,20,,8.1,100,,W,13,
,2021-05-4,4.9,7.0,37.2,,,ESE,54,20:49,5.2,100,8, ,Calm,,5.6,95,,ESE,24,
,2021-05-5,5.1,9.5,7.0,,,ESE,89,11:03,6.9,99,4,SE,28,,7.4,99,,SE,43,
,2021-05-6,6.8,10.9,0.6,,,ESE,94,00:08,8.4,100,3,ESE,48,,9.4,99,,ESE,37,
,2021-05-7,7.5,15.9,0.4,,,ESE,65,00:03,10.9,81,4,ESE,15,,14.0,70,,W,15,
,2021-05-8,7.1,11.9,0.2,,,W,37,13:43,7.5,100,7,W,13,,9.8,72,,WNW,20,
,2021-05-9,5.1,12.3,0,,,NW,31,12:00,7.8,91,0,W,9,,11.1,75,,WNW,13,
,2021-05-10,6.4,7.4,0,,,WNW,59,09:27,6.8,100,8,WNW,31,,6.7,100,,WNW,24,
,2021-05-11,3.4,8.2,21.6,,,SE,76,19:35,3.9,99,8,NE,13,,7.4,84,,SSE,17,
,2021-05-12,2.3,9.7,3.2,,,ESE,69,01:51,5.4,99,7,ESE,22,,9.0,76,,E,17,
,2021-05-13,4.7,6.6,0,,,W,67,19:38,5.6,100,1,WNW,15,,5.0,100,,W,28,
,2021-05-14,-1.4,0.8,5.6,,,WNW,76,00:03,-1.0,100,1,W,24,,0.0,100,,W,31,
,2021-05-15,-1.3,0.7,1.8,,,W,94,06:40,-1.1,100,7,W,41,,-0.1,99,,WSW,24,
,2021-05-16,-4.1,0.6,4.2,,,WSW,43,18:46,-1.2,94,0,W,9,,-1.7,99,,W,17,
,2021-05-17,-2.1,4.2,2.0,,,WNW,44,00:52,0.6,100,8,SW,13,,1.8,100,,WSW,13,
,2021-05-18,-0.6,7.9,8.4,,,NW,17,14:27,3.9,75,0,NNE,4,,7.1,56,,NW,9,
,2021-05-19,1.3,7.8,0,,,WNW,19,13:34,6.3,16,0, ,Calm,,4.1,94,,WNW,11,
,2021-05-20,1.1,7.9,0,,,SSW,39,10:01,3.9,93,1,SW,15,,6.7,78,,WSW,19,
,2021-05-21,2.3,10.8,0,,,ESE,30,19:16,7.8,54,0,NNE,6,,10.1,63,,WNW,11,
,2021-05-22,3.1,9.2,0,,,E,30,21:55,6.7,52,,W,9,,8.6,66,,WNW,9,
,2021-05-23,3.8,11.7,0,,,ESE,41,08:45,6.5,45,,ESE,31,,10.6,30,,E,17,
,2021-05-24,3.6,11.0,0,,,E,46,00:35,6.6,93,0,NNE,19,,9.0,68,,NW,15,
,2021-05-25,5.2,10.9,0,,,NW,102,23:48,5.8,100,7,NNW,19,,9.2,77,,NNW,30,
,2021-05-26,1.2,2.8,19.2,,,WNW,78,00:13,1.8,100,7,W,26,,1.7,100,,W,30,
,2021-05-27,-1.0,2.0,2.2,,,SW,54,23:09,0.1,100,5,WSW,15,,1.2,100,,WSW,24,
,2021-05-28,-0.4,5.3,4.4,,,SE,61,20:56,-0.2,88,1,SW,17,,3.4,71,,W,15,
,2021-05-29,-1.9,8.6,0,,,SE,48,21:39,5.3,13,0,ESE,20,,7.2,28,,SE,20,
,2021-05-30,-0.6,9.3,0,,,SE,33,00:05,5.5,37,0,SSE,17,,8.4,34,,NNW,7,
,2021-05-31,3.2,10.0,0,,,WNW,20,23:29,7.7,21,0,N,9,,8.9,35,,NW,11,
