"Daily Weather Observations for Cabramurra, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2023.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Temperature, humidity, wind and rainfall observations are from Cabramurra SMHEA AWS {station 072161}"
"Cloud observations are from Tumbarumba Post Office {station 072043}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,1.8,4.2,5.4,,,N,52,03:44,4.2,100,8,WNW,24,,2.2,100,,W,9,
,2021-08-2,-1.5,5.4,4.8,,,NNE,57,21:59,3.7,26,0, ,Calm,,5.1,42,,NNW,15,
,2021-08-3,-0.1,0.2,5.0,,,WNW,83,13:59,0.1,100,8,WNW,31,,-0.5,100,,WNW,39,
,2021-08-4,-2.7,1.3,7.4,,,WSW,61,00:45,-2.2,100,8,WSW,17,,-0.8,100,,WSW,19,
,2021-08-5,-2.2,1.6,27.0,,,W,67,01:35,0.8,100,8,WSW,19,,1.1,100,,W,20,
,2021-08-6,0.4,2.3,1.4,,,W,48,00:06,0.7,100,8,W,13,,1.9,100,,WSW,15,
,2021-08-7,-0.7,1.8,0,,,SW,35,05:41,-0.2,100,7,W,19,,0.9,99,,WSW,13,
,2021-08-8,-0.3,7.0,0,,,SE,57,01:12,1.1,93,0,E,22,,5.5,78,,NW,13,
,2021-08-9,1.1,5.3,1.2,,,WNW,33,23:56,3.0,99,4,NNW,11,,5.0,90,,NNW,7,
,2021-08-10,1.8,6.2,0,,,WNW,48,14:10,2.3,97,0,NW,20,,5.8,62,,WNW,26,
,2021-08-11,2.3,7.9,0,,,W,96,20:20,4.9,100,1,N,31,,7.0,97,,NNW,33,
,2021-08-12,-1.1,3.6,20.6,,,W,74,00:49,-0.7,100,3, ,Calm,,2.7,98,,W,22,
,2021-08-13,-0.8,5.3,0,,,W,46,15:28,1.2,99,7,WSW,22,,4.6,76,,W,24,
,2021-08-14,-0.5,5.4,0,,,WNW,30,14:10,3.0,61,0,WSW,7,,5.0,70,,W,17,
,2021-08-15,-0.3,4.6,0,,,W,69,19:49,1.2,99,1,WSW,22,,2.2,99,,W,37,
,2021-08-16,-0.2,2.0,0.4,,,W,76,11:24,0.3,100,7,W,35,,0.9,100,,W,43,
,2021-08-17,-1.1,4.9,1.6,,,WSW,37,00:35,-0.3,100,8,W,13,,3.5,89,,WNW,17,
,2021-08-18,-0.5,7.5,0,,,WNW,26,12:38,3.6,69,0,NNW,2,,6.3,71,,WNW,17,
,2021-08-19,1.3,8.4,0,,,WNW,24,14:57,4.5,34,6, ,Calm,,6.9,63,,W,17,
,2021-08-20,2.1,7.6,0,,,WNW,57,19:05,3.6,99,0,WNW,15,,5.1,91,,WNW,26,
,2021-08-21,2.3,7.3,12.4,,,NW,61,05:00,4.0,100,3,WNW,24,,5.5,100,,W,19,
,2021-08-22,3.6,11.8,0.2,,,NNW,70,23:08,6.7,82,0,NW,22,,11.2,54,,NW,26,
,2021-08-23,4.9,7.3,0.6,,,WNW,80,04:59,7.2,80,7,NNW,31,,3.8,100,,WSW,28,
,2021-08-24,-1.6,2.2,15.4,,,ESE,78,03:21,-0.4,97,8,SE,26,,1.7,80,,S,26,
,2021-08-25,-2.2,5.4,4.6,,,SE,69,06:19,2.0,74,2,S,28,,4.2,88,,SW,17,
,2021-08-26,-1.1,6.6,0.2,,,SSE,46,01:03,2.2,75,0,ESE,26,,3.2,99,,WSW,7,
,2021-08-27,0.2,2.6,2.4,,,ESE,30,01:23,0.6,100,8,WNW,13,,1.8,94,,W,11,
,2021-08-28,0.3,6.5,0.8,,,SW,24,01:12,1.1,100,5,S,13,,5.2,86,,NW,13,
,2021-08-29,-0.7,2.3,3.2,,,WNW,54,08:33,2.3,99,8,NW,17,,-0.1,100,,N,15,
,2021-08-30,-1.1,5.2,13.0,,,WSW,28,12:59,1.4,99,4,SSW,7,,3.3,83,,WSW,11,
,2021-08-31,0.3,10.6,0,,,WNW,33,10:39,4.4,80,0,WNW,15,,7.6,73,,WNW,19,
