"Daily Weather Observations for Canterbury, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2025.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Canterbury Racecourse AWS {station 066194}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,8.7,17.7,0,,,SE,46,11:16,14.3,56,,WSW,4,,17.1,47,,ENE,15,
,2020-09-2,5.2,24.1,0,,,NNW,33,11:25,13.9,64,,WNW,6,,23.5,25,,NNW,15,
,2020-09-3,9.1,30.3,0,,,W,44,13:56,23.8,33,,NNW,19,,29.5,24,,WNW,19,
,2020-09-4,12.1,18.9,0,,,N,17,00:19,18.5,61,,S,9,,17.4,81,,ENE,2,
,2020-09-5,9.6,21.5,10.6,,,W,35,10:23,16.6,50,,W,17,,19.3,35,,ESE,17,
,2020-09-6,7.4,20.0,0,,,E,30,14:24,15.3,71,, ,Calm,,18.9,47,,ENE,15,
,2020-09-7,6.6,22.0,0,,,ENE,39,13:09,17.6,64,,NW,7,,20.1,47,,NE,22,
,2020-09-8,6.5,23.9,0,,,ENE,33,15:18,16.8,67,,WNW,4,,22.3,51,,ENE,20,
,2020-09-9,12.1,15.9,0.6,,,SSE,57,04:55,14.6,92,,SSE,17,,14.4,79,,S,9,
,2020-09-10,12.3,17.7,6.0,,,SE,43,10:00,15.4,63,,SE,22,,16.7,47,,SE,22,
,2020-09-11,10.0,19.9,0.6,,,NNW,44,04:53,16.0,68,, ,Calm,,18.9,51,,ENE,20,
,2020-09-12,6.9,23.1,0,,,ENE,31,16:53,16.2,70,,NNW,11,,21.5,45,,ENE,19,
,2020-09-13,8.4,25.5,0,,,WSW,43,15:28,17.3,65,,W,7,,24.0,29,,WSW,15,
,2020-09-14,7.7,20.2,0,,,SE,35,11:55,19.0,54,,SE,13,,19.3,62,,ESE,19,
,2020-09-15,12.3,22.6,0,,,NNE,37,18:32,18.0,76,,NNE,11,,21.5,56,,ENE,20,
,2020-09-16,9.5,27.8,0,,,N,33,13:41,18.3,74,,WNW,9,,24.5,49,,ENE,19,
,2020-09-17,10.5,30.9,0,,,SSE,61,16:59,21.1,54,,WNW,11,,29.6,25,,NNW,15,
,2020-09-18,13.8,17.5,0.2,,,S,24,00:04,16.7,79,,S,9,,16.9,78,,ESE,11,
,2020-09-19,15.1,22.3,2.4,,,ENE,41,20:17,17.3,92,,W,4,,20.9,72,,NE,19,
,2020-09-20,16.0,23.1,4.2,,,N,41,20:34,16.4,91,,NNE,6,,20.7,66,,N,17,
,2020-09-21,11.2,28.7,10.0,,,N,33,11:04,23.0,67,,NNE,11,,27.8,46,,N,17,
,2020-09-22,19.5,,0,,,,,12:34,21.8,31,,WSW,22,,25.6,20,,WNW,22,
,2020-09-23,8.8,23.2,0,,,WNW,44,15:28,20.0,31,,W,17,,22.7,25,,W,20,
,2020-09-24,9.1,21.1,0,,,SW,52,11:31,16.7,40,,WSW,20,,20.6,25,,NW,17,
,2020-09-25,7.5,23.5,0.4,,,NNW,65,14:28,19.2,38,,N,20,,23.0,21,,NW,28,
,2020-09-26,9.7,17.6,0.8,,,NW,57,03:38,13.4,32,,W,26,,16.9,30,,SW,28,
,2020-09-27,8.9,17.7,0,,,SE,44,15:31,15.4,40,,WSW,15,,15.0,49,,SE,26,
,2020-09-28,5.3,20.3,0,,,SE,37,13:55,15.3,49,,WNW,7,,18.1,43,,ENE,19,
,2020-09-29,8.9,19.8,0,,,ESE,31,12:58,15.9,55,,E,6,,18.0,51,,ENE,15,
,2020-09-30,8.2,21.0,0,,,N,35,13:11,16.6,62,,N,17,,19.8,49,,N,15,
