"Daily Weather Observations for Canterbury, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2025.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Canterbury Racecourse AWS {station 066194}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,12.9,25.4,1.0,,,SE,41,16:27,19.9,56,,WNW,13,,25.0,18,,WSW,19,
,2020-10-2,7.6,27.1,0,,,NE,28,16:08,18.0,64,,WNW,6,,25.1,37,,NE,13,
,2020-10-3,9.0,28.6,0,,,ENE,37,14:28,20.9,51,,W,2,,25.1,38,,ENE,24,
,2020-10-4,12.2,30.0,0,,,ENE,41,16:44,19.0,74,,N,9,,27.6,44,,ENE,22,
,2020-10-5,11.8,33.0,0,,,SSE,50,22:29,24.0,43,,N,17,,32.2,22,,NNW,19,
,2020-10-6,15.5,19.7,0,,,S,46,23:24,16.6,80,,SSW,15,,18.4,72,,SE,22,
,2020-10-7,16.6,21.0,0,,,SE,28,16:32,18.2,84,,S,4,,18.8,88,,SE,11,
,2020-10-8,13.6,28.7,0.4,,,WNW,46,15:08,20.0,78,,N,11,,25.7,49,,WSW,24,
,2020-10-9,8.6,23.1,0,,,WSW,56,15:12,17.6,45,,WSW,15,,22.6,27,,W,24,
,2020-10-10,11.3,26.0,0,,,WSW,35,17:09,17.5,43,,WSW,15,,24.5,21,,E,20,
,2020-10-11,9.5,28.0,0,,,SSE,37,20:06,18.4,41,,NW,7,,25.0,28,,ENE,22,
,2020-10-12,15.9,24.4,0,,,SSE,39,23:02,18.8,78,,WSW,7,,23.9,49,,E,20,
,2020-10-13,11.6,29.3,0,,,SSE,48,18:21,18.5,68,,WNW,9,,28.0,35,,E,20,
,2020-10-14,15.7,21.7,0,,,S,33,23:12,18.7,67,,SE,20,,19.6,66,,SE,22,
,2020-10-15,12.8,27.3,0,,,ENE,44,14:32,20.3,67,,N,17,,25.3,49,,ENE,20,
,2020-10-16,14.9,19.1,0,,,S,56,07:06,17.8,77,,SSE,24,,18.2,64,,SE,24,
,2020-10-17,15.0,26.5,0.2,,,ENE,35,12:46,19.1,75,,NNE,13,,25.7,59,,ENE,24,
,2020-10-18,16.7,25.4,2.8,,,SE,44,16:09,19.8,84,, ,Calm,,22.4,52,,SE,22,
,2020-10-19,15.1,20.0,4.2,,,SSE,37,14:22,16.7,83,,SSE,19,,18.9,62,,SE,24,
,2020-10-20,16.2,22.1,0,,,E,31,15:30,17.7,72,,NE,7,,21.3,54,,NE,13,
,2020-10-21,11.0,23.4,0.6,,,NNE,41,16:26,19.1,68,,N,13,,22.9,56,,NE,19,
,2020-10-22,12.8,23.9,0,,,ENE,43,16:13,17.9,83,,SSW,9,,21.3,69,,SE,22,
,2020-10-23,15.0,27.0,0,,,NE,46,23:11,21.0,75,,NNW,7,,24.1,59,,ENE,26,
,2020-10-24,18.5,25.7,7.4,,,S,56,22:42,21.5,82,,N,13,,21.9,91,,NNW,2,
,2020-10-25,13.8,16.4,16.2,,,SSE,54,22:36,14.2,80,,SSE,24,,13.5,78,,S,20,
,2020-10-26,12.6,15.7,20.2,,,SSE,65,03:02,15.4,80,,SSE,31,,13.8,97,,SSE,24,
,2020-10-27,13.4,19.6,10.8,,,S,43,11:49,15.0,85,,SSW,15,,17.8,65,,SSE,20,
,2020-10-28,12.8,20.0,0,,,SE,35,13:37,15.7,74,,WSW,13,,19.4,68,,SE,20,
,2020-10-29,14.7,20.5,6.8,,,SE,35,12:53,16.1,91,,W,9,,19.6,65,,ESE,20,
,2020-10-30,9.9,22.2,0,,,E,37,15:39,17.9,71,,WSW,7,,20.3,59,,SE,20,
,2020-10-31,16.8,23.3,1.4,,,SSE,46,14:59,18.1,94,,E,11,,18.6,76,,S,26,
