"Daily Weather Observations for Canterbury, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2025.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Canterbury Racecourse AWS {station 066194}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,13.6,19.4,19.0,,,S,57,14:06,16.8,86,,SW,11,,17.0,84,,S,28,
,2020-11-2,12.5,21.2,2.4,,,SSE,43,08:38,18.8,62,,SSE,22,,20.5,55,,SSE,19,
,2020-11-3,11.1,21.8,0,,,SE,31,11:34,18.2,63,,N,4,,21.2,55,,ESE,17,
,2020-11-4,10.8,25.4,0,,,E,33,14:02,18.7,66,,N,11,,24.7,52,,E,22,
,2020-11-5,15.2,15.5,2.6,,,SSE,52,06:01,15.2,92,,SSE,24,,14.6,82,,SSW,17,
,2020-11-6,12.5,19.8,14.8,,,SSW,41,23:22,15.4,64,,SSW,20,,19.0,54,,SE,20,
,2020-11-7,10.8,20.8,0,,,SSE,52,11:01,17.5,71,,S,9,,18.3,57,,SSE,31,
,2020-11-8,14.7,20.0,0,,,SE,41,12:03,17.7,50,,SSE,17,,18.6,56,,SE,20,
,2020-11-9,11.6,21.3,0,,,NNE,31,15:34,16.6,69,,SSE,2,,20.3,54,,ESE,15,
,2020-11-10,9.4,22.1,0,,,ENE,35,17:04,17.3,65,,W,6,,21.2,52,,NE,20,
,2020-11-11,11.5,24.3,0,,,NE,43,19:20,19.8,73,,NNE,11,,23.7,65,,ENE,22,
,2020-11-12,15.1,31.4,0,,,NW,43,13:07,22.2,70,,N,6,,30.2,28,,N,20,
,2020-11-13,19.1,29.1,2.0,,,W,61,14:33,22.2,71,,NNE,13,,28.0,35,,NW,11,
,2020-11-14,14.0,26.2,2.8,,,SE,31,16:06,20.9,57,,SW,11,,24.3,55,,E,19,
,2020-11-15,13.4,29.0,0,,,ENE,37,13:05,21.7,66,,NNW,6,,26.7,53,,ENE,20,
,2020-11-16,15.9,38.4,0,,,W,50,14:00,25.4,60,,NNW,6,,37.8,13,,W,30,
,2020-11-17,18.2,22.8,0,,,S,48,23:18,20.8,64,,SE,22,,20.7,63,,ESE,19,
,2020-11-18,16.1,23.7,0,,,ENE,39,15:25,19.5,67,,ENE,19,,22.9,47,,ENE,22,
,2020-11-19,12.9,25.0,0,,,NE,44,16:41,21.0,65,,NE,13,,24.4,56,,ENE,26,
,2020-11-20,16.6,32.0,0,,,SSE,57,20:13,23.9,63,,NE,7,,31.4,48,,ENE,20,
,2020-11-21,18.3,23.3,0,,,S,37,23:15,20.4,67,,S,15,,22.2,59,,SE,22,
,2020-11-22,16.3,27.3,0,,,NNE,22,15:21,22.1,65,,N,9,,24.9,66,,ENE,11,
,2020-11-23,19.1,26.0,1.6,,,WNW,44,15:49,22.1,86,,NW,11,,23.9,59,,NNW,13,
,2020-11-24,17.8,22.6,1.2,,,ESE,46,13:44,20.4,67,,S,19,,21.4,59,,SE,30,
,2020-11-25,16.6,24.4,0.8,,,ENE,39,16:50,20.0,71,,NNW,7,,23.4,57,,NNE,13,
,2020-11-26,14.6,33.2,0,,,SSE,50,21:22,22.7,60,,NNW,9,,30.1,41,,ENE,24,
,2020-11-27,18.5,28.9,0,,,SSE,43,23:09,20.4,66,,SW,6,,26.3,58,,ENE,19,
,2020-11-28,18.2,40.7,0,,,NW,44,13:54,28.9,55,,NW,6,,40.0,15,,NW,26,
,2020-11-29,25.1,40.3,0,,,WNW,81,13:28,32.0,30,,NW,19,,38.3,17,,W,41,
,2020-11-30,18.6,23.1,0,,,SSE,37,23:29,20.1,61,,SE,15,,21.7,60,,E,20,
