"Daily Weather Observations for Canterbury, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2025.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Canterbury Racecourse AWS {station 066194}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,17.1,30.8,0,,,S,44,22:56,22.3,86,,NNW,9,,29.8,59,,ENE,22,
,2021-03-2,17.2,23.2,0,,,S,46,23:20,21.1,73,,SSW,9,,21.7,53,,SE,26,
,2021-03-3,17.6,22.4,0,,,SSE,43,12:22,18.6,65,,S,15,,21.6,54,,SSE,19,
,2021-03-4,14.3,28.8,0,,,WNW,31,12:01,19.8,63,,W,7,,27.4,37,,NW,11,
,2021-03-5,13.6,24.4,0,,,SE,52,12:47,21.5,60,,WSW,9,,22.5,50,,SSE,26,
,2021-03-6,17.6,23.2,0,,,ESE,37,13:50,19.4,55,,S,17,,22.7,47,,SE,24,
,2021-03-7,14.4,25.8,0,,,E,35,14:23,19.1,63,,WNW,7,,25.3,51,,ENE,19,
,2021-03-8,16.8,31.1,0,,,NNW,41,16:07,20.7,77,,WNW,7,,29.5,44,,WNW,9,
,2021-03-9,16.1,27.9,0.2,,,SE,43,12:30,23.6,61,,WNW,11,,25.6,61,,SE,28,
,2021-03-10,18.2,25.7,0,,,ENE,33,13:40,22.5,65,,ESE,19,,24.2,60,,ESE,20,
,2021-03-11,17.1,26.3,1.4,,,E,37,14:16,21.5,85,,NNE,6,,24.2,64,,ENE,20,
,2021-03-12,20.3,27.7,1.0,,,ENE,41,18:42,22.0,81,,NW,2,,26.0,63,,NNE,13,
,2021-03-13,17.7,30.7,35.2,,,ENE,33,14:58,21.6,90,,NW,7,,28.7,62,,E,17,
,2021-03-14,18.9,19.1,17.8,,,,,,19.0,95,,S,19,,16.8,79,,S,22,
,2021-03-15,11.6,22.1,12.8,,,SE,33,09:58,15.6,67,,WNW,11,,21.5,55,,SE,20,
,2021-03-16,14.0,21.6,0,,,ESE,39,20:37,17.2,72,, ,Calm,,20.0,79,,SSW,13,
,2021-03-17,16.0,22.7,5.4,,,ESE,48,00:28,19.3,78,,SSW,11,,20.3,74,,SE,20,
,2021-03-18,17.1,21.7,9.6,,,E,54,21:58,21.2,70,,ESE,22,,19.0,96,,SE,9,
,2021-03-19,17.1,23.8,65.0,,,ESE,48,13:19,21.4,76,,ESE,13,,20.4,90,,ESE,7,
,2021-03-20,18.5,22.1,56.8,,,E,57,17:44,19.7,100,,SE,17,,19.6,99,,ENE,24,
,2021-03-21,19.2,20.6,100.4,,,ENE,46,04:18,19.7,89,,E,24,,19.6,79,,ENE,15,
,2021-03-22,17.5,20.3,25.0,,,NNE,33,12:55,18.3,94,,NE,9,,19.2,94,,NE,11,
,2021-03-23,17.6,21.0,44.8,,,ENE,46,09:30,18.9,94,,NE,20,,19.6,100,,NNE,9,
,2021-03-24,14.7,29.1,26.2,,,WNW,39,12:27,20.7,78,,NW,15,,27.5,36,,WNW,19,
,2021-03-25,14.5,27.7,0.2,,,W,39,17:41,20.6,68,,NNW,2,,24.2,54,,WSW,15,
,2021-03-26,13.0,23.5,0,,,SE,31,14:11,18.2,64,,W,11,,22.2,61,,SE,19,
,2021-03-27,14.8,27.2,0,,,ENE,30,15:55,19.3,77,,WNW,9,,25.6,31,,WSW,13,
,2021-03-28,13.4,24.5,0,,,SE,31,14:45,18.7,73,,WNW,6,,23.2,56,,SSE,19,
,2021-03-29,13.2,25.8,0,,,SE,33,16:38,18.3,75,,W,7,,22.3,61,,SE,19,
,2021-03-30,15.8,22.0,0,,,SSW,37,00:30,16.9,67,,SSW,11,,21.2,47,,SSE,20,
,2021-03-31,14.3,23.2,1.4,,,S,37,10:30,16.0,74,,WNW,7,,22.8,33,,SSE,15,
