"Daily Weather Observations for Casino, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2026.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Casino Airport AWS {station 058208}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,20.0,28.7,1.8,,,S,46,12:40,24.9,82,,S,15,1015.6,26.9,70,,SSE,20,1013.4
,2021-01-2,19.9,27.9,6.4,,,ESE,35,14:20,24.5,80,,S,9,1013.1,27.1,68,,ESE,19,1009.7
,2021-01-3,19.1,30.2,5.4,,,ENE,35,14:34,23.8,80,,NW,2,1010.5,28.9,63,,E,22,1007.5
,2021-01-4,21.3,29.9,2.2,,,E,24,16:11,25.4,77,,NNE,6,1009.8,28.5,61,,ENE,9,1008.0
,2021-01-5,21.1,35.4,0,,,SSW,39,18:18,27.4,66,,N,17,1008.9,35.1,40,,NNW,7,1006.1
,2021-01-6,21.9,33.5,0,,,SSW,59,14:42,27.4,71,,ENE,7,1010.1,29.3,64,,SE,31,1007.7
,2021-01-7,19.9,22.4,38.0,,,S,41,12:13,20.4,91,,SSW,11,1014.4,22.0,86,,S,19,1014.6
,2021-01-8,18.2,22.6,6.4,,,S,35,10:54,19.0,90,,SSW,17,1018.4,19.6,90,,S,15,1017.2
,2021-01-9,17.7,26.3,3.0,,,SSE,46,11:04,20.3,77,,SSW,17,1018.2,25.1,60,,SSE,15,1016.7
,2021-01-10,17.6,28.2,4.2,,,ESE,39,13:35,22.9,78,,S,17,1018.4,27.6,48,,ESE,28,1016.7
,2021-01-11,16.7,28.7,0,,,ESE,39,13:35,22.0,82,,SSW,11,1018.4,28.0,50,,ESE,26,1016.1
,2021-01-12,16.7,29.7,0,,,ESE,31,17:30,22.5,76,,WNW,4,1017.0,28.9,47,,E,13,1014.6
,2021-01-13,16.8,29.9,0,,,ESE,35,16:13,23.0,76,,WSW,4,1016.9,28.9,50,,ESE,20,1015.1
,2021-01-14,16.9,31.7,0,,,E,30,15:51,23.2,78,,NW,11,1014.5,30.8,49,,SE,7,1010.6
,2021-01-15,17.7,35.1,0,,,SW,39,20:38,25.9,70,,NNW,20,1009.1,34.2,39,,N,11,1004.7
,2021-01-16,20.8,30.7,3.0,,,ESE,39,14:09,26.5,74,,WSW,7,1007.1,28.8,48,,E,28,1007.2
,2021-01-17,16.1,31.4,0,,,E,35,16:03,22.8,63,, ,Calm,1014.3,30.2,44,,E,11,1011.7
,2021-01-18,18.7,29.7,0,,,SE,28,13:06,24.6,68,,W,6,1014.9,22.3,91,,SE,15,1014.1
,2021-01-19,19.3,31.8,57.2,,,ESE,37,14:35,24.3,71,,NNW,13,1013.3,31.1,38,,SSE,15,1012.1
,2021-01-20,20.2,25.2,0.6,,,S,30,09:36,21.9,86,,S,15,1020.2,24.5,66,,SSE,17,1019.2
,2021-01-21,18.4,26.3,1.8,,,ESE,30,13:07,21.8,83,,SSW,9,1019.6,25.4,57,,ESE,17,1016.6
,2021-01-22,16.4,29.6,0.4,,,,,13:00,21.3,77,,N,6,1015.2,28.0,48,,N,13,1011.6
,2021-01-23,16.5,31.0,0,,,E,30,15:58,23.8,69,,N,9,1015.1,30.2,41,,ENE,15,1013.3
,2021-01-24,15.7,30.2,0,,,ENE,35,18:16,21.3,83,,NW,6,1016.5,29.1,49,,ESE,9,1013.0
,2021-01-25,18.0,31.4,0,,,ENE,35,15:13,24.6,74,,N,6,1013.1,30.3,50,,ENE,20,1009.1
,2021-01-26,17.1,32.6,0,,,E,28,17:16,24.4,67,,NNW,9,1009.3,31.7,44,,NNE,7,1005.4
,2021-01-27,18.8,34.0,0,,,ENE,30,15:14,25.6,73,,NNW,4,1009.4,31.8,51,,E,20,1007.5
,2021-01-28,22.4,30.5,0.2,,,ESE,43,14:24,26.2,76,,E,20,1014.0,29.0,56,,ESE,28,1012.8
,2021-01-29,19.5,30.6,0.2,,,SE,37,13:12,24.8,75,,ESE,13,1013.9,28.7,48,,ESE,19,1011.9
,2021-01-30,17.0,31.3,0,,,SE,35,14:45,23.1,85,,WSW,6,1013.6,29.3,55,,SE,13,1011.1
,2021-01-31,18.8,30.6,0,,,ESE,39,15:10,23.9,95,,SSW,7,1013.9,29.0,62,,ESE,20,1012.0
