"Daily Weather Observations for Casino, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2026.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Casino Airport AWS {station 058208}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,22.1,,6.8,,,,,,23.6,95,,WNW,4,1010.3,25.4,90,,SW,9,1009.0
,2021-03-2,18.9,31.6,,,,ESE,37,15:12,24.3,80,,NW,7,1008.9,28.0,68,,SE,20,1007.9
,2021-03-3,20.1,25.8,10.4,,,ESE,28,19:28,21.3,92,,SSW,9,1013.0,25.3,65,,ESE,15,1011.4
,2021-03-4,18.0,26.8,23.8,,,SE,28,23:49,20.0,87,,S,7,1014.2,25.5,61,,SE,13,1011.8
,2021-03-5,15.7,31.1,0.6,,,ESE,37,17:01,20.5,84,,NW,9,1008.2,30.2,42,,W,9,1004.2
,2021-03-6,20.0,26.8,2.0,,,SE,39,11:41,21.7,84,,S,9,1010.3,25.1,65,,ENE,19,1009.8
,2021-03-7,18.5,28.2,2.2,,,E,33,15:38,21.2,84,,SSW,7,1016.1,27.4,55,,SE,11,1012.7
,2021-03-8,19.0,27.2,0.2,,,SW,35,19:29,23.5,79,,N,7,1016.6,21.5,90,,NE,9,1013.2
,2021-03-9,18.3,32.8,29.4,,,SSE,37,18:18,21.2,94,,NNW,7,1014.5,32.3,51,,NW,13,1011.4
,2021-03-10,18.4,29.1,4.2,,,ESE,35,16:22,21.5,87,,NW,9,1019.0,27.1,64,,SE,19,1017.6
,2021-03-11,19.6,25.1,21.4,,,E,31,12:52,21.1,95,,S,9,1020.9,22.2,90,,SE,17,1019.6
,2021-03-12,19.2,29.1,0.2,,,E,30,14:53,21.3,90,,WNW,2,1020.0,27.4,62,,NE,7,1016.8
,2021-03-13,18.3,30.5,0,,,E,26,13:46,20.9,98,,NNW,4,1017.8,29.9,57,,E,19,1013.9
,2021-03-14,18.1,32.3,0,,,SW,35,20:01,23.4,80,,NE,6,1013.7,32.0,50,,N,15,1009.5
,2021-03-15,18.2,22.0,17.4,,,SSW,35,04:51,18.5,96,,SSW,13,1017.6,20.9,93,,WSW,6,1017.6
,2021-03-16,18.0,23.6,9.4,,,SSE,35,14:12,20.5,73,,SSW,17,1021.9,22.1,74,,SSE,7,1020.4
,2021-03-17,17.8,22.1,1.6,,,E,30,15:50,18.9,97,,NNE,4,1020.2,20.7,93,,E,15,1018.3
,2021-03-18,18.8,27.3,19.8,,,SE,31,11:41,21.3,91,,SW,6,1017.7,26.1,69,,SSE,13,1015.6
,2021-03-19,19.3,28.6,1.8,,,SSW,24,23:04,21.0,96,,W,7,1016.9,27.4,65,,SSW,6,1014.5
,2021-03-20,20.1,28.6,2.0,,,E,33,15:22,21.7,89,,S,9,1018.3,26.9,67,,SE,15,1015.7
,2021-03-21,19.8,24.1,0,,,ENE,33,13:47,21.9,98,,SSW,6,1019.0,23.7,87,,E,22,1017.2
,2021-03-22,19.9,21.9,18.0,,,E,35,11:26,20.9,98,,SE,9,1019.3,21.5,94,,E,15,1016.3
,2021-03-23,19.6,26.7,48.8,,,E,31,00:04,20.5,98,,SSE,6,1011.0,22.7,97,,ESE,9,1005.3
,2021-03-24,20.2,30.2,33.4,,,NW,52,12:39,26.6,72,,NNW,11,1002.8,29.5,46,,WNW,19,1000.6
,2021-03-25,16.4,31.6,0,,,NNW,39,12:03,22.1,72,,NW,13,1006.7,29.6,31,,NNW,9,1004.2
,2021-03-26,15.4,28.0,0,,,E,28,15:25,20.9,69,,NW,11,1013.7,27.8,39,,ESE,9,1011.1
,2021-03-27,16.2,30.2,0,,,NNW,30,13:10,19.2,85,,NW,11,1015.2,29.8,35,,NW,11,1011.2
,2021-03-28,15.4,29.3,0,,,SE,26,15:55,20.6,72,,NW,11,1016.7,28.4,37,,SSE,7,1014.3
,2021-03-29,16.4,28.7,0,,,ESE,33,15:43,19.9,84,,SW,7,1018.5,25.8,63,,SE,19,1015.6
,2021-03-30,18.2,26.6,1.4,,,S,37,09:03,21.6,78,,S,11,1020.3,26.3,54,,SE,17,1018.2
,2021-03-31,14.6,25.9,0,,,S,43,15:09,19.7,72,,SSW,15,1021.4,22.3,59,,SSE,19,1019.2
