"Daily Weather Observations for Cessnock, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2027.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cessnock Airport AWS {station 061260}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,10.8,25.9,1.2,,,NW,48,05:26,18.2,70,,NNW,13,1007.7,19.7,55,,NE,4,1001.6
,2021-10-2,8.7,23.9,7.4,,,WNW,43,15:22,18.3,78,,NNW,15,1005.2,22.6,38,,NW,20,1001.1
,2021-10-3,12.8,25.6,0.4,,,NW,43,14:46,17.6,77,,NW,19,1005.2,24.9,33,,WNW,19,1001.6
,2021-10-4,11.3,26.9,0,,,NW,56,15:51,20.2,63,,N,11,999.9,26.0,40,,NW,28,998.8
,2021-10-5,12.1,22.6,0,,,W,44,13:25,17.0,42,,NW,20,1009.0,20.4,24,,WSW,24,1008.3
,2021-10-6,7.6,25.0,0,,,N,33,12:36,15.0,44,,NW,15,1016.7,24.1,21,,NNW,13,1012.4
,2021-10-7,4.4,29.3,0,,,WNW,48,12:36,18.6,40,,NE,9,1011.4,27.9,17,,NW,20,1007.9
,2021-10-8,14.6,23.3,0,,,ESE,31,10:44,17.5,68,,ESE,9,1019.1,22.0,49,,ESE,19,1016.1
,2021-10-9,7.0,31.2,0,,,NW,43,15:19,16.2,80,,NNE,2,1017.5,30.0,22,,NNW,17,1012.4
,2021-10-10,9.8,33.9,0,,,WNW,59,15:28,20.5,65,,NE,2,1009.6,32.9,28,,W,24,1003.7
,2021-10-11,13.0,14.8,33.8,,,SSW,24,07:23,13.0,89,,SSW,11,1014.5,14.1,79,,S,11,1015.6
,2021-10-12,11.6,15.7,6.6,,,NE,30,13:32,13.0,96,, ,Calm,1017.6,13.5,93,,SSE,13,1015.2
,2021-10-13,12.6,19.4,18.4,,,E,30,14:06,15.2,97,,ESE,7,1015.7,17.7,87,,ESE,15,1012.1
,2021-10-14,11.3,27.1,3.4,,,NE,31,14:16,18.0,83,, ,Calm,1009.0,25.9,53,,NNE,19,1002.9
,2021-10-15,9.2,22.1,2.4,,,NW,61,11:03,17.7,55,,WSW,20,1003.4,20.6,34,,NW,20,999.9
,2021-10-16,10.9,21.6,0.2,,,NW,59,08:22,15.3,63,,NW,30,1005.1,20.7,41,,W,26,1004.7
,2021-10-17,9.5,24.3,0,,,N,30,13:30,16.2,59,,NNW,17,1015.1,23.2,35,,N,15,1011.8
,2021-10-18,8.2,26.4,0,,,N,30,11:53,16.6,69,,WNW,11,1017.4,25.4,30,,NNW,11,1012.4
,2021-10-19,8.1,27.3,0,,,SE,41,15:35,18.2,63,,N,7,1016.1,26.8,30,,NE,7,1011.5
,2021-10-20,7.5,21.6,0.8,,,E,30,15:32,15.1,69,,S,7,1017.4,19.8,49,,E,11,1015.4
,2021-10-21,7.7,22.4,0,,,SE,33,10:46,16.5,91,, ,Calm,1017.1,20.7,66,,SE,15,1014.3
,2021-10-22,12.3,24.8,0,,,ESE,31,13:18,19.7,76,,ESE,13,1017.0,24.6,58,,E,13,1014.2
,2021-10-23,10.5,32.5,0,,,ESE,35,16:19,17.8,98,,NE,9,1014.5,30.6,33,,NNE,13,1009.0
,2021-10-24,16.6,24.7,6.0,,,ESE,33,15:09,20.1,85,,SW,9,1014.5,20.8,59,,E,20,1013.0
,2021-10-25,8.0,25.2,0.2,,,SE,39,16:06,17.5,75,,NNW,9,1016.5,22.9,25,,NW,13,1012.5
,2021-10-26,9.3,,0,,,,,,17.2,66,,SE,9,1020.2,23.1,38,,ENE,9,1016.2
