"Daily Weather Observations for Cobar, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2029.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Cobar MO {station 048027}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,18.0,29.3,20.0,,,E,54,04:00,22.8,73,8,NE,28,1013.6,26.8,57,8,ENE,20,1012.1
,2021-01-2,18.3,34.2,0,,,SW,52,16:49,23.1,63,,ENE,19,1010.3,32.3,35,7,NNW,11,1004.9
,2021-01-3,19.5,32.2,11.4,,,NE,30,02:06,21.1,85,8,N,11,1007.2,30.0,42,1,WSW,11,1004.6
,2021-01-4,21.0,32.3,0,,,WSW,59,13:00,27.3,57,,NNW,20,1004.9,21.0,95,8,SSE,13,1004.2
,2021-01-5,17.8,30.7,15.4,,,W,37,14:32,23.5,67,,WNW,11,1009.4,30.2,26,,W,22,1008.5
,2021-01-6,18.8,30.1,0.2,,,SW,35,11:10,22.1,55,5,SSW,15,1013.3,28.5,33,,SSE,13,1010.9
,2021-01-7,19.4,31.4,0,,,ESE,46,16:25,23.2,66,,ESE,19,1014.9,30.6,31,,ESE,20,1013.3
,2021-01-8,18.0,29.8,0,,,SSE,46,12:48,21.2,52,,E,20,1019.4,28.0,26,,ESE,20,1016.4
,2021-01-9,16.8,30.1,0,,,E,39,01:33,21.4,49,,ENE,24,1018.4,27.9,30,4,E,19,1015.9
,2021-01-10,17.8,33.0,0,,,ENE,33,07:35,23.6,51,,ENE,20,1017.7,30.3,28,1,E,20,1014.4
,2021-01-11,18.8,35.0,0,,,ENE,31,07:30,25.8,44,,ENE,19,1015.0,33.4,19,,NNW,13,1011.5
,2021-01-12,21.9,37.9,0,,,N,31,08:48,27.2,35,,N,13,1013.3,36.1,14,,NNE,13,1010.6
,2021-01-13,24.6,39.1,0.2,,,N,28,08:33,29.7,31,,NE,19,1013.9,37.3,12,,WSW,13,1010.6
,2021-01-14,27.5,38.9,0,,,WSW,46,15:44,29.2,26,8,E,7,1010.9,37.9,15,,WSW,22,1008.0
,2021-01-15,19.1,31.2,0,,,SW,44,12:17,24.0,25,,SSW,13,1009.9,29.7,15,,W,13,1007.3
,2021-01-16,15.3,27.7,0,,,S,44,07:46,17.3,33,,S,22,1013.8,26.3,15,,SW,20,1012.4
,2021-01-17,14.8,29.9,0,,,SSW,31,11:28,19.8,35,1,S,11,1015.6,28.0,20,,S,13,1014.1
,2021-01-18,17.6,32.7,0,,,SW,35,14:40,24.6,21,,SE,11,1015.2,31.0,12,,SW,11,1012.4
,2021-01-19,17.5,34.3,0,,,WSW,39,15:00,24.3,26,,S,15,1015.9,33.0,11,,S,15,1013.8
,2021-01-20,18.6,36.2,0,,,ESE,26,06:52,23.6,47,,E,19,1017.0,34.0,12,,S,11,1013.5
,2021-01-21,20.9,38.9,0,,,NE,48,17:03,25.2,48,,ENE,22,1013.5,37.7,11,1,NW,17,1008.3
,2021-01-22,20.2,37.6,0,,,NE,46,07:25,25.4,52,,NNE,26,1010.7,35.6,17,1,SW,17,1007.5
,2021-01-23,23.1,40.2,0,,,NNE,43,12:43,29.8,37,,N,22,1011.5,38.0,14,2,N,11,1008.9
,2021-01-24,24.2,40.2,0,,,N,37,08:28,31.3,24,,N,20,1011.5,38.6,13,1,W,7,1008.0
,2021-01-25,25.2,39.4,0,,,NNE,46,12:00,29.6,24,,NNE,22,1008.1,37.7,10,,NNE,22,1003.7
,2021-01-26,28.9,37.2,0,,,W,52,15:45,31.0,27,8,N,22,1002.0,35.2,27,5,NW,20,1000.4
,2021-01-27,22.2,37.4,11.6,,,SE,41,20:49,25.5,76,1,SE,11,1007.0,36.0,34,1,SSW,11,1005.3
,2021-01-28,23.7,35.8,0,,,ENE,50,08:06,27.1,55,1,ENE,35,1009.9,35.5,32,7,ENE,22,1007.1
,2021-01-29,20.5,29.8,7.8,,,E,44,00:37,22.9,70,7,E,9,1011.3,29.3,44,8,ENE,9,1008.3
,2021-01-30,21.2,35.2,0.2,,,SW,35,16:38,24.9,63,5,ENE,11,1009.5,33.8,33,1,SW,13,1007.8
,2021-01-31,23.6,37.5,0,,,SW,31,16:17,27.9,49,1,ESE,17,1011.1,36.5,25,2,SW,17,1008.7
