"Daily Weather Observations for Cobar, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2029.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Cobar MO {station 048027}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,25.1,34.9,0,,,WSW,50,14:29,28.0,46,,NE,24,1010.3,33.5,30,4,NNW,9,1007.2
,2021-02-2,15.9,29.0,12.4,,,SW,35,14:48,18.6,90,3,SW,9,1011.3,27.8,39,1,SW,22,1009.5
,2021-02-3,15.9,31.7,0,,,SW,30,13:21,21.1,46,,ESE,13,1010.5,30.3,20,,NW,19,1007.3
,2021-02-4,19.5,35.8,0,,,NW,69,16:15,25.8,42,1,NE,28,1005.3,32.6,28,8,N,26,1002.8
,2021-02-5,20.7,34.6,2.6,,,NW,72,16:26,26.0,53,8,NE,30,1004.3,32.0,40,8,N,24,1001.1
,2021-02-6,18.7,29.0,33.6,,,WNW,44,02:11,21.3,69,6,WNW,4,1004.5,27.1,34,,W,19,1003.3
,2021-02-7,18.2,29.2,0,,,WSW,35,14:23,19.6,57,,SSW,17,1008.7,27.6,32,,WSW,17,1007.1
,2021-02-8,17.6,31.1,0,,,SE,30,07:59,22.3,47,,SE,20,1010.8,29.1,27,,SSW,13,1009.1
,2021-02-9,19.6,32.6,0,,,E,35,08:25,23.2,56,,E,22,1011.8,31.6,33,2,ENE,9,1009.2
,2021-02-10,21.5,32.2,0,,,E,39,07:36,23.5,47,,ENE,26,1012.2,31.2,31,,ESE,17,1009.2
,2021-02-11,19.9,34.7,0,,,NE,39,08:05,23.8,44,,ENE,24,1011.1,34.2,23,,NE,15,1007.2
,2021-02-12,23.7,33.5,0,,,N,43,09:21,27.5,48,5,N,19,1005.3,23.9,93,8,W,20,1005.5
,2021-02-13,20.2,28.5,18.0,,,SW,39,13:18,20.4,60,8,SSW,17,1008.9,27.2,37,,SW,19,1009.0
,2021-02-14,16.5,30.2,0,,,ESE,41,17:01,21.2,67,,ESE,17,1012.7,29.1,32,2,SSW,11,1011.3
,2021-02-15,17.9,29.7,0,,,E,39,07:07,20.3,54,,E,26,1016.3,28.7,30,,ESE,22,1013.9
,2021-02-16,18.6,31.6,0,,,ESE,46,10:52,22.2,58,,E,31,1017.3,30.0,36,,E,19,1015.4
,2021-02-17,18.6,30.0,0,,,E,35,00:57,21.3,61,,E,19,1019.4,28.4,38,,ESE,20,1017.4
,2021-02-18,17.1,30.8,0,,,E,46,00:04,20.4,54,,E,19,1019.3,28.9,29,,ENE,9,1016.1
,2021-02-19,19.7,33.8,0,,,E,41,07:54,22.9,57,,ENE,28,1016.4,32.7,31,1,SSE,9,1013.1
,2021-02-20,20.9,35.8,0,,,SE,33,12:35,25.3,56,,ENE,19,1013.3,34.7,20,2,SSW,13,1010.0
,2021-02-21,22.1,37.6,0,,,WSW,54,15:32,27.3,43,,NNE,15,1010.1,36.3,19,1,SSW,17,1006.7
,2021-02-22,21.7,33.9,1.4,,,SSW,46,16:06,25.3,35,,SSW,15,1008.1,33.0,24,,SW,22,1006.7
,2021-02-23,16.9,26.5,0,,,SW,41,13:53,18.0,37,,S,20,1013.7,24.5,22,,S,17,1012.2
,2021-02-24,12.6,30.7,0,,,SSE,26,12:39,17.2,41,,S,11,1013.5,28.7,22,,ESE,11,1009.9
,2021-02-25,15.3,33.1,0,,,WNW,33,14:37,21.0,45,,SE,6,1008.9,31.7,13,,WNW,15,1007.6
,2021-02-26,16.7,33.6,0,,,SSE,26,09:34,20.4,30,,SSE,11,1010.7,32.1,14,1,S,13,1008.3
,2021-02-27,20.3,33.8,0,,,N,31,14:59,25.0,26,,SSE,9,1010.3,29.4,41,4,NNE,15,1008.0
,2021-02-28,19.4,35.3,0,,,NE,43,16:07,24.6,69,5,NE,13,1010.6,33.2,29,5,NNE,9,1007.0
