"Daily Weather Observations for Coffs Harbour, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2030.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,17.4,25.2,0.4,,,SSE,48,14:33,21.0,70,,SW,28,1022.3,23.5,65,7,S,31,1021.4
,2021-04-2,18.1,25.5,4.6,,,SW,30,00:43,20.1,83,8,SW,19,1025.1,24.7,58,1,SE,19,1024.3
,2021-04-3,18.0,25.8,0,,,ESE,28,10:30,21.7,78,2,SW,15,1025.1,23.9,60,8,ESE,15,1022.7
,2021-04-4,17.1,23.8,0.4,,,SW,19,06:18,22.8,68,8,W,9,1022.1,23.3,75,,E,6,1018.5
,2021-04-5,18.8,24.3,3.0,,,E,35,20:56,21.6,87,,SW,9,1019.3,23.5,76,8,SSE,11,1017.4
,2021-04-6,19.4,23.6,27.6,,,E,39,21:07,20.3,93,,WSW,11,1019.7,23.5,77,5,ESE,15,1017.3
,2021-04-7,19.2,25.0,16.0,,,SSE,39,12:23,22.4,88,8,SSW,13,1016.6,22.2,82,8,SSE,15,1012.9
,2021-04-8,18.7,23.7,51.0,,,S,48,10:15,19.1,95,8,SW,24,1011.7,19.2,93,8,SW,22,1008.9
,2021-04-9,14.6,26.2,17.6,,,NNE,30,15:42,23.2,73,,N,6,1008.0,25.4,69,,NE,20,1004.3
,2021-04-10,15.9,26.9,0,,,S,37,04:29,24.7,74,,SSW,13,1007.3,24.9,71,,NNE,20,1003.9
,2021-04-11,11.3,23.6,0,,,SW,41,20:36,21.0,52,,SSW,17,1010.8,22.9,49,,ENE,13,1008.1
,2021-04-12,11.3,20.2,0,,,WSW,35,01:19,17.2,36,,SW,19,1019.5,19.6,38,,SSE,13,1017.7
,2021-04-13,7.9,22.6,0,,,WSW,22,09:54,18.6,60,,W,9,1022.7,22.0,45,,E,13,1019.6
,2021-04-14,11.9,26.6,0,,,NE,37,15:07,21.1,52,,NW,20,1019.0,25.1,52,,NE,24,1014.9
,2021-04-15,11.1,26.4,0,,,NE,26,16:16,22.4,58,,WSW,9,1016.4,25.4,50,,NE,13,1013.7
,2021-04-16,13.3,24.8,0,,,S,41,17:03,22.1,60,7,SSW,15,1018.7,23.3,46,7,SSE,26,1018.3
,2021-04-17,16.9,18.4,8.8,,,WSW,56,15:16,16.9,93,7,SW,20,1021.4,14.8,91,8,SW,33,1019.6
,2021-04-18,13.9,21.6,10.2,,,SW,48,11:30,18.3,65,1,SW,31,1019.6,19.9,63,8,SSW,22,1017.7
,2021-04-19,12.1,22.6,0,,,WSW,26,00:07,20.1,58,,SW,19,1019.2,21.9,54,,ESE,11,1016.3
,2021-04-20,10.6,23.4,0,,,N,20,02:12,19.8,63,,WNW,2,1017.6,23.0,52,,NE,13,1013.6
,2021-04-21,8.3,25.2,0,,,SSE,35,15:59,22.1,48,,WNW,13,1012.9,24.1,34,,E,15,1010.5
,2021-04-22,8.1,22.8,0,,,W,26,21:13,19.1,57,,NW,11,1014.8,20.5,48,,SE,11,1010.6
,2021-04-23,8.3,21.8,0,,,SW,35,09:53,17.8,40,,SW,20,1019.1,20.4,43,,SSE,15,1016.7
,2021-04-24,7.6,23.0,0,,,E,24,13:49,19.0,61,,WNW,6,1022.7,22.4,52,,ENE,15,1019.8
,2021-04-25,10.0,22.6,0,,,S,28,11:24,18.8,69,,SSW,9,1022.9,21.9,61,,SSE,17,1021.1
,2021-04-26,11.0,22.7,0,,,S,28,10:06,20.1,65,,SW,17,1024.6,22.1,56,,SSE,19,1022.8
,2021-04-27,11.5,23.3,0,,,S,33,15:50,19.9,71,,WSW,11,1026.8,22.3,57,,SSE,24,1024.0
,2021-04-28,15.6,23.6,1.6,,,S,41,11:39,20.1,65,1,SW,22,1025.7,20.9,74,4,SE,22,1023.0
,2021-04-29,12.9,22.4,0.2,,,WSW,19,03:01,18.6,80,2,SW,9,1024.7,21.3,69,6,ESE,11,1022.9
,2021-04-30,11.8,23.1,1.2,,,E,37,16:06,18.4,80,8,SW,13,1027.8,21.4,73,4,SSW,15,1026.0
