"Daily Weather Observations for Coffs Harbour, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2030.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,16.2,22.7,24.2,,,ENE,28,18:00,18.1,93,5,SW,13,1030.3,21.7,72,8,SSE,7,1027.5
,2021-05-2,15.3,22.8,8.6,,,SW,19,00:24,17.5,94,8,NNW,9,1028.3,21.8,70,2,SSE,7,1024.8
,2021-05-3,13.5,22.6,1.8,,,S,22,11:07,19.6,78,,SW,13,1023.1,21.4,78,2,ESE,13,1019.6
,2021-05-4,12.1,23.4,0,,,WNW,46,20:10,18.6,83,8,NNE,6,1017.1,21.4,69,8,N,15,1013.6
,2021-05-5,12.4,18.1,3.2,,,WSW,39,21:08,17.3,85,8,WSW,9,1013.8,16.0,89,8,WSW,11,1011.1
,2021-05-6,14.4,23.2,23.4,,,SW,41,01:33,17.5,88,,SW,22,1009.0,21.7,74,,S,19,1006.9
,2021-05-7,12.3,24.4,0,,,NNE,24,15:24,21.0,69,,NNW,6,1009.2,23.7,64,,NE,15,1008.0
,2021-05-8,14.3,25.0,0,,,NE,30,13:21,21.6,76,, ,Calm,1014.8,22.8,78,,NE,19,1013.4
,2021-05-9,16.4,23.6,0,,,SSE,57,15:52,20.5,88,,SSW,9,1019.1,21.8,81,,SSE,13,1015.5
,2021-05-10,13.6,22.8,46.8,,,E,20,14:04,18.1,90,,SW,9,1017.4,21.9,71,,NE,15,1014.4
,2021-05-11,12.7,24.3,0.1,,,S,20,12:42,18.2,84,,WSW,6,1017.1,22.4,72,,SSE,11,1014.3
,2021-05-12,14.7,22.5,0.4,,,SW,39,18:23,18.5,89,,W,7,1018.8,20.7,82,8,SE,6,1016.0
,2021-05-13,13.3,21.5,23.4,,,S,24,10:42,19.0,83,,SW,9,1013.7,21.1,68,,SSE,13,1010.0
,2021-05-14,7.5,22.0,0,,,E,20,12:11,17.2,70,,W,7,1013.5,21.7,48,,NNE,11,1011.8
,2021-05-15,7.9,19.6,0,,,WSW,30,23:26,15.4,61,,SSW,7,1015.7,19.2,57,,ENE,13,1011.7
,2021-05-16,9.9,20.4,0,,,SW,41,09:07,16.1,50,,SW,28,1020.1,19.3,48,,S,15,1018.9
,2021-05-17,4.7,19.6,0,,,S,35,13:34,14.0,62,,WSW,11,1022.1,18.5,43,,S,22,1021.8
,2021-05-18,10.3,20.7,0,,,SSW,30,10:26,15.0,69,3,SW,15,1028.1,19.8,60,,S,15,1026.6
,2021-05-19,10.5,21.4,0,,,SE,19,10:49,17.9,67,3,W,9,1029.5,20.9,57,,ENE,11,1026.6
,2021-05-20,8.5,,0,,,ESE,19,12:35,17.9,71,,NNW,7,1028.2,20.2,64,,E,11,1025.1
,2021-05-21,7.8,22.0,0,,,SW,39,12:30,17.7,68,,WSW,17,1027.9,20.5,63,1,S,22,1025.0
,2021-05-22,14.8,21.5,4.2,,,SSE,44,17:28,15.6,91,7,WSW,17,1025.7,20.1,68,1,S,22,1023.1
,2021-05-23,13.9,21.8,6.6,,,S,37,13:20,18.3,76,1,WSW,19,1025.7,19.9,70,1,S,22,1024.4
,2021-05-24,13.8,21.7,0.9,,,SSE,41,13:52,18.7,74,8,WSW,19,1029.2,18.7,77,8,SW,11,1027.2
,2021-05-25,13.5,21.3,0.4,,,SW,22,09:29,17.5,80,8,WSW,11,1027.2,20.1,66,8,E,9,1023.4
,2021-05-26,11.6,,0,,,SSW,28,23:51,17.9,70,,SW,6,1020.1,22.5,61,,NNE,11,1016.0
,2021-05-27,11.6,20.3,0,,,SW,35,02:32,15.9,62,,SW,20,1022.9,19.2,51,,S,15,1020.3
,2021-05-28,5.8,19.6,0,,,SSW,56,18:54,14.8,63,,WSW,13,1022.3,18.7,41,,SSW,28,1020.5
,2021-05-29,11.3,19.5,0,,,SSW,63,15:20,15.5,57,1,SW,28,1024.9,18.2,53,4,SSW,33,1022.9
,2021-05-30,13.4,20.1,0,,,SSW,57,09:38,16.5,61,1,SSW,35,1024.6,18.3,58,8,SW,30,1023.1
,2021-05-31,13.1,21.0,0,,,SW,33,08:11,17.4,57,,WSW,22,1025.0,19.7,55,,S,20,1022.2
