"Daily Weather Observations for Coffs Harbour, New South Wales for August 2021"
"Prepared at 16:00 UTC on Saturday 16 October 2021   IDCJDW2030.202108"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day. Prior to February 2015, observations were recorded against Coffs Harbour MO (site number 059040)."
"Observations were drawn from Coffs Harbour Airport {station 059151}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-08-1,12.8,29.1,0,,,N,50,13:19,23.7,46,,NNW,22,1012.3,28.3,43,,N,28,1008.0
,2021-08-2,14.1,18.6,0,,,S,43,04:17,17.8,68,8,SW,24,1019.6,17.8,76,8,SSW,9,1018.0
,2021-08-3,15.4,22.6,15.0,,,N,54,09:24,17.3,88,8,NNW,28,1014.3,20.9,70,8,N,11,1009.0
,2021-08-4,4.6,19.5,1.4,,,WSW,33,17:47,14.9,53,,WNW,9,1015.7,19.4,29,,W,13,1012.8
,2021-08-5,5.8,21.2,0,,,SW,33,12:06,16.3,40,,W,19,1017.4,19.2,39,,SE,15,1015.7
,2021-08-6,5.9,18.1,0,,,WSW,28,02:00,14.9,58,,WSW,11,1023.3,17.2,52,,SE,11,1021.1
,2021-08-7,6.0,20.8,0,,,ENE,30,13:32,15.5,75,,SSE,6,1025.7,19.7,64,,NNE,22,1021.4
,2021-08-8,9.9,19.5,0,,,SW,35,09:06,16.3,57,,SW,22,1029.7,17.9,66,8,SSW,22,1027.8
,2021-08-9,11.3,19.2,8.0,,,SW,26,00:45,15.0,78,8,SW,13,1032.3,18.2,52,,NE,13,1028.5
,2021-08-10,9.3,21.8,0,,,NE,44,15:32,17.2,61,,NW,20,1030.4,19.6,60,,NNE,30,1027.2
,2021-08-11,10.1,22.5,0,,,NNE,48,15:46,17.4,61,,N,11,1029.7,19.9,67,,NNE,33,1025.0
,2021-08-12,14.9,26.3,0,,,NNW,46,04:17,19.1,61,6,NW,26,1025.1,23.3,61,,ENE,20,1022.5
,2021-08-13,14.4,20.5,1.3,,,NNE,20,14:54,16.9,91,7,SSW,7,1027.4,20.3,62,8,NNE,15,1024.0
,2021-08-14,12.2,21.2,0,,,SSE,31,12:26,17.1,77,8,SW,9,1028.2,19.9,64,,S,17,1025.4
,2021-08-15,10.2,22.5,0.1,,,NNE,35,14:37,18.9,75,,N,7,1025.9,20.7,78,,NE,28,1021.4
,2021-08-16,7.4,21.9,0.1,,,NE,30,14:13,16.3,75,3,WNW,7,1023.2,21.4,57,,NE,19,1018.1
,2021-08-17,5.7,19.1,0,,,SSW,35,10:21,16.7,44,,SW,17,1021.8,18.0,52,,SSE,19,1019.3
,2021-08-18,9.9,19.4,0,,,S,35,09:28,16.7,55,8,SW,20,1025.1,18.2,64,,SE,19,1022.8
,2021-08-19,8.7,20.5,0,,,NE,37,13:45,17.0,73,,NNW,9,1026.0,18.7,69,7,NE,26,1021.9
,2021-08-20,12.2,24.9,0,,,NE,35,12:58,19.6,58,,N,15,1022.9,19.8,69,5,NE,24,1018.9
,2021-08-21,9.9,24.5,1.4,,,S,35,13:45,21.1,54,3,NW,13,1020.7,20.8,61,8,SSW,17,1019.6
,2021-08-22,9.7,23.9,0,,,NE,37,14:51,21.0,65,,NNE,9,1023.1,21.6,74,,NE,24,1019.0
,2021-08-23,15.8,22.9,0,,,NNE,52,19:03,19.8,76,8,NW,9,1020.0,21.7,63,,NNE,33,1014.3
,2021-08-24,16.9,21.1,2.0,,,NNW,57,08:40,17.2,83,8,NNW,33,1007.9,18.8,32,,WNW,33,1007.7
,2021-08-25,4.5,21.5,0,,,W,39,11:19,15.5,47,,SW,9,1013.6,18.6,48,,NE,19,1011.9
,2021-08-26,3.1,19.0,0,,,S,26,10:30,15.7,49,,WSW,11,1018.3,17.7,49,,ESE,13,1015.4
,2021-08-27,5.2,20.5,0,,,SE,22,11:01,17.0,55,,W,6,1018.1,19.4,44,,E,13,1014.7
,2021-08-28,3.4,20.8,0,,,E,28,12:44,16.7,43,,NNW,13,1018.7,20.0,34,,NE,15,1014.8
,2021-08-29,3.3,23.5,0,,,NNE,44,15:13,18.5,44,,NW,17,1017.4,21.0,57,,NNE,30,1011.4
,2021-08-30,5.2,21.6,0,,,WSW,41,00:10,18.6,42,,WSW,9,1019.3,20.3,46,3,NE,17,1017.6
,2021-08-31,7.9,21.7,0,,,E,20,12:08,19.1,60,,WSW,4,1023.7,21.5,57,,E,13,1021.3
