"Daily Weather Observations for Cooma, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2033.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Cooma, but some from Cooma Airport."
"Temperature, humidity, cloud and rainfall observations are from Cooma Visitors Centre {station 070278}"
"Wind and pressure observations are from Cooma Airport AWS {station 070217}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,12.4,18.5,0,,,E,37,15:15,14.0,84,8,E,13,1021.1,17.0,69,8,E,24,1017.8
,2021-01-2,12.1,23.5,0,,,ENE,43,15:25,15.0,66,7,NNE,24,1013.6,21.5,55,8,ENE,30,1009.5
,2021-01-3,14.5,23.3,0.4,,,E,35,16:22,17.0,85,8,NNE,17,1007.0,,,,N,17,1004.1
,2021-01-4,12.2,24.0,1.6,,,NNE,44,13:24,17.0,96,7,NNE,15,1005.4,18.0,74,8,N,22,1004.9
,2021-01-5,13.8,23.1,5.0,,,SW,54,14:22,14.9,90,8,SSW,20,1007.3,21.0,59,4,S,20,1005.6
,2021-01-6,,18.0,,,,S,35,13:02,,,,SSW,20,1013.5,17.5,58,8,SSE,13,1014.4
,2021-01-7,7.6,19.8,,,,S,37,11:29,13.0,78,7,S,13,1020.9,18.0,63,7,S,20,1019.9
,2021-01-8,7.5,22.8,,,,NE,33,16:58,13.0,67,8,SE,9,1023.1,22.0,38,3,NE,20,1020.3
,2021-01-9,4.5,28.0,,,,SE,43,16:03,12.9,81,,NE,11,1020.6,27.0,28,3,NE,19,1017.7
,2021-01-10,8.6,31.5,0,,,S,43,10:26,19.1,64,1,ENE,9,1018.9,29.5,20,3,WSW,11,1016.4
,2021-01-11,9.5,33.3,0,,,NNE,35,15:07,19.8,53,1,NE,13,1015.9,32.0,16,6,N,4,1012.2
,2021-01-12,10.9,32.0,0,,,NE,54,15:32,21.9,43,3,N,7,1013.5,30.0,27,6,W,19,1011.3
,2021-01-13,11.0,33.5,1.0,,,NW,44,10:09,19.5,72,,NE,15,1014.7,33.0,21,4,NNW,22,1011.4
,2021-01-14,13.2,30.8,,,,NNW,52,10:34,24.0,39,,NW,22,1008.6,30.5,18,,WNW,24,1006.1
,2021-01-15,9.2,25.5,,,,W,59,15:14,16.0,70,1,N,15,1004.3,25.0,25,3,W,30,1000.5
,2021-01-16,6.5,22.2,,,,SW,59,11:32,11.0,43,3,SW,35,1005.5,20.1,27,4,WSW,26,1005.3
,2021-01-17,3.6,26.5,0,,,S,41,17:02,14.0,58,1,SSW,20,1011.0,23.5,31,1,SW,11,1010.0
,2021-01-18,5.0,30.8,0,,,WSW,44,16:24,15.0,60,0,NE,9,1012.2,28.5,18,0,SSW,17,1008.4
,2021-01-19,8.8,23.8,,,,SSW,46,09:01,13.0,57,1,SSW,22,1015.4,22.0,21,,SSE,24,1015.3
,2021-01-20,9.5,26.3,,,,E,33,17:28,12.1,70,1,ENE,4,1020.4,25.0,20,,ESE,11,1017.2
,2021-01-21,5.3,29.8,,,,W,39,15:54,14.0,74,,NE,17,1015.7,29.0,21,4,NNE,6,1010.5
,2021-01-22,9.0,31.8,,,,WSW,59,12:30,17.0,76,,WNW,20,1008.9,31.0,16,6,W,26,1007.6
,2021-01-23,7.9,34.0,0,,,WSW,41,11:08,19.0,55,1,NE,19,1010.9,,,,W,22,1009.4
,2021-01-24,10.1,36.0,0,,,W,54,10:42,22.3,60,0,NE,13,1011.8,36.0,12,4,W,19,1009.5
,2021-01-25,11.2,35.8,,,,WNW,54,09:09,21.0,51,1,NW,22,1008.0,34.0,22,6,NW,24,1004.1
,2021-01-26,20.0,27.0,0,,,NNW,57,12:24,24.9,36,7,NNW,20,999.9,24.5,54,8,NNW,30,1000.5
,2021-01-27,,18.7,0,,,SSW,31,01:33,,,8,SSW,15,1011.5,17.0,80,8,ESE,15,1013.6
,2021-01-28,13.4,16.5,,,,NE,41,11:06,14.5,80,8,ENE,20,1019.8,15.0,83,8,ENE,26,1019.4
,2021-01-29,12.2,19.1,2.6,,,NNE,43,17:14,13.0,100,8,NNE,19,1016.2,18.0,85,8,NNE,26,1012.2
,2021-01-30,12.6,27.2,4.0,,,WNW,39,09:25,19.1,81,7,NNE,19,1008.4,24.0,51,7,W,20,1008.5
,2021-01-31,15.7,27.8,0,,,E,43,14:29,20.0,66,7,S,9,1014.4,27.0,39,5,ESE,13,1012.4
