"Daily Weather Observations for Coonamble, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2035.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Coonamble Airport AWS {station 051161}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,1.1,23.0,0,,,SE,52,08:15,10.3,72,,SSE,7,1022.9,22.5,33,,N,9,1018.6
,2020-09-2,4.9,27.2,0,,,N,48,13:47,16.4,72,,NNE,26,1021.1,26.6,31,,NNE,24,1017.2
,2020-09-3,10.3,28.9,0,,,N,46,10:00,19.8,54,,NNE,22,1020.6,28.8,30,,NNW,26,1016.6
,2020-09-4,15.0,27.8,0,,,N,37,14:20,20.2,49,,N,17,1019.2,26.8,32,,N,24,1014.3
,2020-09-5,9.7,21.9,0.2,,,SSE,37,10:09,17.1,67,,SSW,17,1019.6,21.0,37,,SSW,22,1018.5
,2020-09-6,6.7,25.3,0,,,SSE,26,10:30,17.0,55,,S,13,1024.6,24.8,30,,NE,9,1021.6
,2020-09-7,10.0,26.1,0,,,NE,37,11:42,18.2,61,,ENE,22,1029.1,25.2,42,,NNE,19,1025.5
,2020-09-8,9.5,26.6,0,,,NNE,35,08:41,18.4,61,,NNE,24,1030.0,25.8,38,,NNE,15,1025.1
,2020-09-9,12.2,25.4,0,,,S,44,19:41,19.2,59,,NNE,15,1025.3,24.9,35,,ESE,4,1021.1
,2020-09-10,11.8,18.4,5.0,,,ESE,44,13:42,14.7,86,,E,20,1024.2,16.5,63,,ESE,28,1022.6
,2020-09-11,6.4,22.7,0,,,ENE,43,09:35,16.6,57,,E,24,1028.5,22.4,35,,E,20,1024.8
,2020-09-12,7.2,23.8,0,,,NNE,31,09:22,16.7,56,,ENE,17,1028.8,23.3,31,,WNW,6,1024.1
,2020-09-13,7.2,24.1,0,,,N,39,10:38,17.2,57,,NNE,19,1026.1,23.2,30,,NW,17,1022.4
,2020-09-14,8.3,26.7,0,,,SW,28,13:04,19.7,52,,NNW,7,1025.9,25.6,33,,SSW,17,1022.7
,2020-09-15,7.1,27.3,0,,,S,28,00:36,18.3,57,,ESE,4,1026.9,25.7,26,,SE,17,1023.2
,2020-09-16,9.4,27.9,0,,,NNE,46,07:54,20.2,53,,NNE,33,1025.7,27.3,31,,NNW,19,1020.5
,2020-09-17,11.0,29.6,0,,,NNE,35,11:03,21.0,53,,NNE,22,1024.5,29.4,28,,NNE,15,1020.1
,2020-09-18,13.5,29.0,0,,,NE,35,09:11,22.2,52,,ENE,24,1026.4,28.6,26,,ENE,20,1021.5
,2020-09-19,13.6,23.3,0,,,NNE,54,09:55,20.0,56,,NNE,26,1023.5,19.0,79,,N,17,1019.7
,2020-09-20,14.2,25.4,13.0,,,N,69,05:45,17.8,96,,NNE,28,1015.9,24.2,62,,N,20,1011.4
,2020-09-21,13.8,27.6,0,,,N,61,19:00,22.2,69,,NNE,28,1011.6,26.7,59,,NNE,24,1008.1
,2020-09-22,13.9,25.9,0.6,,,W,39,14:11,20.5,53,,SW,15,1015.2,25.5,23,,WNW,20,1013.2
,2020-09-23,6.4,23.1,0,,,WSW,46,08:02,18.3,40,,WSW,13,1017.8,22.3,26,,W,24,1014.6
,2020-09-24,5.3,21.7,0,,,WSW,43,13:27,15.6,53,,SSW,15,1018.6,20.8,29,,WNW,22,1013.7
,2020-09-25,4.4,24.9,0,,,NW,70,13:15,18.5,36,,NNW,28,1010.5,21.9,25,,NW,48,1003.7
,2020-09-26,1.8,18.2,0,,,W,54,11:57,11.6,57,,SW,28,1019.1,17.4,32,,SW,28,1017.1
,2020-09-27,0.5,19.3,0,,,SSW,37,11:02,13.4,48,,SSW,20,1025.4,18.5,34,,SSW,20,1022.1
,2020-09-28,4.1,21.9,0,,,SSE,24,00:34,15.4,53,,ENE,13,1025.9,20.9,27,,ENE,13,1021.7
,2020-09-29,5.3,24.7,0,,,NE,50,08:40,18.1,54,,NNE,28,1024.6,23.9,32,,N,15,1018.9
,2020-09-30,12.2,18.0,3.6,,,NE,54,12:56,12.3,95,,E,15,1019.7,16.7,81,,NNE,31,1014.4
