"Daily Weather Observations for Coonamble, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2035.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Coonamble Airport AWS {station 051161}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,9.5,26.2,0,,,,,00:01,19.9,69,, ,Calm,1028.0,25.6,41,, ,Calm,1024.4
,2021-05-2,12.2,25.0,0,,,,,00:01,17.8,77,, ,Calm,1027.2,24.5,42,, ,Calm,1023.0
,2021-05-3,10.0,26.3,0,,,,,00:01,19.0,75,, ,Calm,1023.2,24.7,44,, ,Calm,1018.5
,2021-05-4,11.6,18.2,13.6,,,,,00:01,13.9,93,, ,Calm,1018.4,16.6,86,, ,Calm,1014.9
,2021-05-5,9.7,17.2,15.4,,,,,00:01,10.0,96,, ,Calm,1016.5,17.0,80,, ,Calm,1013.3
,2021-05-6,9.2,23.4,0.2,,,,,00:01,14.8,96,, ,Calm,1014.1,22.7,61,, ,Calm,1010.3
,2021-05-7,11.9,24.7,0,,,,,00:01,17.2,93,, ,Calm,1012.7,22.7,61,, ,Calm,1010.3
,2021-05-8,11.5,25.9,0,,,,,00:01,15.9,98,, ,Calm,1015.8,24.3,54,, ,Calm,1014.0
,2021-05-9,13.9,22.9,0.6,,,NW,20,13:46,15.7,88,,NE,9,1019.2,22.5,59,,WNW,11,1016.5
,2021-05-10,9.3,24.5,0,,,NNW,35,12:44,16.2,93,,NNW,13,1018.6,22.6,49,,NW,24,1014.3
,2021-05-11,12.0,19.5,0,,,SW,33,16:10,15.4,83,,SW,17,1017.6,17.6,56,,WSW,19,1016.8
,2021-05-12,4.8,18.1,0,,,SSW,30,13:30,9.1,97,,SSW,11,1020.5,16.5,57,,SW,17,1017.6
,2021-05-13,4.3,20.2,0,,,WSW,30,10:16,12.0,91,,SW,13,1017.4,19.7,49,,WSW,19,1013.5
,2021-05-14,5.0,17.3,0,,,SSW,37,09:12,12.0,83,,SSW,24,1018.4,16.9,45,,SSW,20,1016.7
,2021-05-15,6.1,18.2,0,,,WSW,48,14:48,13.2,72,,WSW,15,1019.7,17.0,44,,WSW,31,1017.2
,2021-05-16,1.0,16.3,0,,,SSW,31,12:20,7.1,72,,SSW,17,1024.5,15.8,35,,SSW,15,1021.9
,2021-05-17,-0.2,17.5,0,,,SW,33,12:36,8.8,74,,SSW,13,1026.6,17.0,49,,SSW,22,1024.3
,2021-05-18,2.6,19.9,0,,,SSE,22,08:59,11.4,71,,SSE,15,1028.1,19.3,38,,NNE,7,1025.5
,2021-05-19,1.7,21.7,0,,,NW,26,14:00,13.2,73,,ENE,13,1028.8,21.0,40,,NNW,11,1025.7
,2021-05-20,3.1,22.3,0,,,N,22,07:01,13.6,76,,NE,13,1028.8,21.7,37,,SW,13,1025.6
,2021-05-21,5.4,22.8,0,,,NE,28,13:29,12.4,68,,SE,11,1028.2,22.1,33,,ESE,13,1024.5
,2021-05-22,5.7,23.3,0,,,ENE,33,10:06,15.3,82,,E,15,1025.9,21.0,43,,SE,13,1022.1
,2021-05-23,7.5,23.0,0,,,NE,22,10:25,16.3,77,,NE,13,1026.1,21.7,48,,SSE,6,1023.3
,2021-05-24,6.2,23.0,0,,,NNE,26,09:59,16.9,75,,NE,11,1028.9,22.2,42,,N,11,1024.8
,2021-05-25,7.4,23.0,0,,,N,43,12:14,14.3,77,,NE,17,1026.2,22.7,46,,N,20,1020.8
,2021-05-26,11.1,19.8,2.0,,,SE,39,09:06,14.7,85,,SSE,17,1020.4,19.2,46,,SW,26,1019.4
,2021-05-27,5.2,17.4,0,,,S,57,10:45,9.5,85,,S,20,1027.4,17.0,43,,SSW,26,1024.8
,2021-05-28,3.4,17.4,0,,,SSW,46,12:49,8.7,88,,SSW,17,1027.1,16.7,52,,S,30,1024.5
,2021-05-29,1.1,18.3,0,,,S,35,01:30,7.6,77,,S,7,1029.2,18.0,39,,S,15,1026.0
,2021-05-30,-0.1,19.3,0,,,SE,19,13:54,10.0,75,,SSE,7,1027.9,18.8,42,,SE,7,1024.4
,2021-05-31,1.3,21.0,0,,,E,20,09:46,10.8,82,,ESE,11,1025.2,20.1,40,,ENE,7,1021.9
