"Daily Weather Observations for Cootamundra, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2036.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cootamundra Airport {station 073142}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,17.0,31.2,0,,,,,,21.5,70,2,ENE,24,,,,,,,
,2021-02-2,15.5,26.5,24.0,,,,,,18.9,85,6,WNW,9,,,,,,,
,2021-02-3,14.6,27.0,0,,,,,,17.8,68,1,ESE,24,,,,,,,
,2021-02-4,16.0,31.5,0,,,,,,21.4,66,1,ENE,24,,,,,,,
,2021-02-5,18.8,31.3,2.4,,,,,,22.0,75,8,SSE,24,,,,,,,
,2021-02-6,16.0,26.6,34.4,,,,,,17.2,89,7,NNW,24,,,,,,,
,2021-02-7,12.5,26.6,0,,,,,,20.5,61,5,WSW,17,,,,,,,
,2021-02-8,15.2,28.6,0,,,,,,20.3,64,3,ESE,33,,,,,,,
,2021-02-9,16.8,27.9,0,,,,,,20.4,61,1, ,,,,,,,,
,2021-02-10,14.5,,0,,,,,,18.5,66,1,E,9,,,,,,,
,2021-02-11,,30.2,0,,,,,,,,,,,,,,,,,
,2021-02-12,14.0,22.4,0,,,,,,22.9,60,8,NNE,9,,,,,,,
,2021-02-13,18.5,27.5,16.8,,,,,,20.6,76,2,W,9,,,,,,,
,2021-02-14,14.8,26.1,0,,,,,,18.2,64,0, ,,,,,,,,
,2021-02-15,13.0,26.1,0,,,,,,18.5,60,0,ESE,24,,,,,,,
,2021-02-16,14.7,28.1,0,,,,,,20.4,64,2,ENE,33,,,,,,,
,2021-02-17,15.9,26.2,0,,,,,,18.6,71,3,SSE,17,,,,,,,
,2021-02-18,13.0,27.2,0,,,,,,18.0,70,7,SSE,33,,,,,,,
,2021-02-19,16.1,30.1,0,,,,,,20.4,72,1,SSE,17,,,,,,,
,2021-02-20,17.7,31.8,0,,,,,,22.3,73,1,ESE,9,,,,,,,
,2021-02-21,13.4,33.1,0,,,,,,21.1,76,4,WNW,9,,,,,,,
,2021-02-22,15.0,28.6,0,,,,,,21.6,77,1,ESE,9,,,,,,,
,2021-02-23,9.9,25.7,0,,,,,,15.2,66,6,SSW,4,,,,,,,
,2021-02-24,12.4,25.1,0,,,,,,16.4,57,2,ESE,33,,,,,,,
,2021-02-25,14.9,27.0,6.8,,,,,,16.0,96,8,SSW,4,,,,,,,
,2021-02-26,7.0,27.0,1.4,,,,,,15.5,62,1,E,9,,,,,,,
,2021-02-27,13.9,30.1,0,,,,,,18.0,76,4,SSW,17,,,,,,,
,2021-02-28,8.3,29.6,0,,,,,,15.6,68,0,SSW,17,,,,,,,
