"Daily Weather Observations for Cootamundra, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2036.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cootamundra Airport {station 073142}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,7.9,24.9,0,,,,,,12.5,88,0,S,9,,,,,,,
,2021-04-2,8.2,28.0,0,,,,,,12.0,94,1,E,9,,,,,,,
,2021-04-3,9.5,28.0,0,,,,,,13.9,85,0,NNE,4,,,,,,,
,2021-04-4,6.1,27.4,0,,,,,,16.1,73,2,SSE,4,,,,,,,
,2021-04-5,8.6,28.5,0,,,,,,17.8,82,0,SSW,9,,,,,,,
,2021-04-6,16.0,27.9,0,,,,,,20.6,73,0,SSE,24,,,,,,,
,2021-04-7,14.8,25.6,0,,,,,,20.1,71,1,SSE,24,,,,,,,
,2021-04-8,10.3,26.5,0,,,,,,19.9,73,0,ESE,17,,,,,,,
,2021-04-9,,24.4,0,,,,,,18.6,67,7,WNW,17,,,,,,,
,2021-04-10,6.1,16.3,0,,,,,,13.6,60,6,WSW,24,,,,,,,
,2021-04-11,6.9,14.1,0,,,,,,8.2,68,6,WSW,33,,,,,,,
,2021-04-12,0.6,16.9,0,,,,,,8.9,74,1,NNE,9,,,,,,,
,2021-04-13,-0.3,20.6,0,,,,,,10.1,74,2,SSE,9,,,,,,,
,2021-04-14,6.5,22.9,0,,,,,,15.4,46,7,NNW,33,,,,,,,
,2021-04-15,2.7,19.9,0,,,,,,13.8,67,2,NNE,9,,,,,,,
,2021-04-16,2.1,20.8,0,,,,,,10.4,76,2,SSE,9,,,,,,,
,2021-04-17,1.3,20.1,0,,,,,,10.8,83,1,SSW,17,,,,,,,
,2021-04-18,-0.3,19.1,0,,,,,,8.0,74,0,SSW,9,,,,,,,
,2021-04-19,-0.4,19.5,0,,,,,,7.6,78,1,WSW,9,,,,,,,
,2021-04-20,0.4,21.0,0,,,,,,13.0,66,6,NNW,33,,,,,,,
,2021-04-21,7.3,16.4,1.1,,,,,,9.6,78,1,SSE,17,,,,,,,
,2021-04-22,-2.0,14.5,0,,,,,,8.6,73,6,WNW,9,,,,,,,
,2021-04-23,5.6,18.2,0,,,,,,12.9,60,7,WNW,17,,,,,,,
,2021-04-24,-0.5,18.0,0,,,,,,7.9,81,1,SSE,4,,,,,,,
,2021-04-25,-0.4,18.9,0,,,,,,8.0,80,1,NNE,4,,,,,,,
,2021-04-26,-0.4,20.1,0,,,,,,7.9,82,1,NNE,9,,,,,,,
,2021-04-27,-0.3,20.9,0,,,,,,8.1,80,0,WNW,4,,,,,,,
,2021-04-28,1.9,22.0,0,,,,,,10.8,89,7,SSW,17,,,,,,,
,2021-04-29,1.1,22.9,0,,,,,,9.1,85,0,SSW,9,,,,,,,
,2021-04-30,1.9,23.0,0,,,,,,9.1,85,0,ENE,9,,,,,,,
