"Daily Weather Observations for Cootamundra, New South Wales for October 2021"
"Prepared at 05:36 UTC on Tuesday 26 October 2021   IDCJDW2036.202110"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Cootamundra Airport {station 073142}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-10-1,9.1,20.5,7.2,,,,,,15.5,75,2,NNW,9,,,,,,,
,2021-10-2,11.9,19.0,9.0,,,,,,13.0,97,8,NNW,9,,,,,,,
,2021-10-3,10.5,18.9,6.6,,,,,,12.4,94,8,N,9,,,,,,,
,2021-10-4,10.1,17.9,0,,,,,,11.1,92,7,WSW,33,,,,,,,
,2021-10-5,4.9,15.8,0.6,,,,,,10.2,75,6,WNW,44,,,,,,,
,2021-10-6,0.7,20.0,0,,,,,,10.7,83,0,NNW,17,,,,,,,
,2021-10-7,6.6,19.2,0,,,,,,14.9,51,1,NNW,44,,,,,,,
,2021-10-8,0.1,19.6,0,,,,,,8.8,75,1,S,17,,,,,,,
,2021-10-9,1.7,25.3,0,,,,,,9.9,87,3,SSW,17,,,,,,,
,2021-10-10,9.9,22.0,0,,,,,,13.4,89,6,ENE,9,,,,,,,
,2021-10-11,3.3,17.0,0.4,,,,,,10.4,70,7,ESE,33,,,,,,,
,2021-10-12,10.1,17.1,0,,,,,,11.6,68,7,SSE,33,,,,,,,
,2021-10-13,9.8,19.0,0,,,,,,12.8,74,7,ESE,44,,,,,,,
,2021-10-14,10.9,19.5,15.8,,,,,,12.7,97,7,ESE,17,,,,,,,
,2021-10-15,6.5,15.2,11.0,,,,,,10.0,90,7,SSW,9,,,,,,,
,2021-10-16,8.1,16.8,6.8,,,,,,8.9,88,8,WNW,33,,,,,,,
,2021-10-17,1.9,18.9,0.1,,,,,,11.3,77,1,ENE,17,,,,,,,
,2021-10-18,2.2,22.7,0,,,,,,10.5,86,1,SSW,9,,,,,,,
,2021-10-19,10.5,19.6,0,,,,,,13.4,66,1,WSW,9,,,,,,,
,2021-10-20,2.5,21.5,0,,,,,,12.0,71,1,SSW,4,,,,,,,
,2021-10-21,7.8,21.7,,,,,,,16.9,72,5,ESE,9,,,,,,,
,2021-10-22,,24.5,0,,,,,,17.1,71,0,E,4,,,,,,,
,2021-10-23,8.1,25.5,0,,,,,,17.0,75,6,E,9,,,,,,,
,2021-10-24,6.5,19.4,0,,,,,,10.5,67,2,SW,24,,,,,,,
,2021-10-25,0.8,18.2,0,,,,,,8.2,77,1,WNW,4,,,,,,,
,2021-10-26,0.9,,0,,,,,,12.6,66,0,E,9,,,,,,,
