"Daily Weather Observations for Corowa, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2037.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Corowa Airport {station 074034}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,,,,,,,,,,,,,,,,,,,,
,2021-06-2,,,,,,,,,,,,,,,,,,,,
,2021-06-3,,,,,,,,,,,,,,,,,,,,
,2021-06-4,,,,,,,,,,,,,,,,,,,,
,2021-06-5,-2.0,12.5,3.2,,,,,,2.0,100,0, ,Calm,,,,,,,
,2021-06-6,1.8,,0.8,,,,,,6.8,100,8, ,Calm,,,,,,,
,2021-06-7,,,,,,,,,,,,,,,,,,,,
,2021-06-8,,,,,,,,,,,,,,,,,,,,
,2021-06-9,,,,,,,,,,,,,,,,,,,,
,2021-06-10,,,,,,,,,,,,,,,,,,,,
,2021-06-11,,17.0,,,,,,,,,,,,,,,,,,
,2021-06-12,2.0,13.0,40.0,,,,,,7.0,100,8, ,Calm,,,,,,,
,2021-06-13,7.0,11.5,0.2,,,,,,7.0,100,8, ,Calm,,,,,,,
,2021-06-14,5.5,,0,,,,,,8.2,97,7, ,Calm,,,,,,,
,2021-06-15,,,,,,,,,,,,,,,,,,,,
,2021-06-16,,,,,,,,,,,,,,,,,,,,
,2021-06-17,,,,,,,,,,,,,,,,,,,,
,2021-06-18,,16.2,,,,,,,,,,,,,,,,,,
,2021-06-19,2.0,16.5,13.2,,,,,,9.0,73,1,SW,4,,,,,,,
,2021-06-20,1.0,,0,,,,,,4.0,100,0, ,Calm,,,,,,,
,2021-06-21,,,,,,,,,,,,,,,,,,,,
,2021-06-22,,,,,,,,,,,,,,,,,,,,
,2021-06-23,,,,,,,,,,,,,,,,,,,,
,2021-06-24,,,,,,,,,,,,,,,,,,,,
,2021-06-25,,17.0,,,,,,,,,,,,,,,,,,
,2021-06-26,1.0,12.8,30.2,,,,,,9.0,100,8,NW,4,,,,,,,
,2021-06-27,3.8,,0.4,,,,,,8.0,100,8,NE,6,,,,,,,
