"Daily Weather Observations for Cowra, New South Wales for February 2021"
"Prepared at 13:00 UTC on Friday  8 October 2021   IDCJDW2038.202102"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Cowra Airport."
"Observations were drawn from Cowra Airport AWS {station 065111}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-02-1,17.7,32.6,0,,,SW,69,17:02,24.2,61,,E,11,1013.1,31.6,37,,NNW,17,1008.3
,2021-02-2,14.8,28.3,15.6,,,WSW,30,15:15,17.9,94,,N,6,1010.3,26.5,46,,NW,9,1008.6
,2021-02-3,14.4,29.4,0.2,,,SE,22,08:17,19.8,59,,ESE,11,1011.9,27.3,32,,SSE,7,1008.5
,2021-02-4,16.7,33.4,0,,,W,111,15:56,22.3,61,,SSW,2,1009.7,32.2,34,,NNW,17,1005.9
,2021-02-5,14.6,33.4,58.2,,,N,54,14:38,20.8,96,,SSW,7,1008.3,32.3,39,,N,31,1003.8
,2021-02-6,19.9,26.1,7.2,,,N,44,03:27,20.5,100,,NNW,9,1002.8,23.7,58,,N,20,1002.8
,2021-02-7,15.1,28.3,8.6,,,WSW,39,13:11,19.9,74,,NW,6,1007.1,27.0,39,,SSW,19,1005.9
,2021-02-8,14.8,29.2,0,,,ENE,26,21:54,21.4,67,,ESE,7,1011.7,28.2,36,,S,6,1009.3
,2021-02-9,16.7,28.5,0,,,SSE,28,16:40,21.5,62,,ESE,9,1015.2,27.7,44,,SE,9,1012.0
,2021-02-10,13.4,28.5,0,,,SE,24,15:05,18.4,64,,SW,4,1015.8,27.6,36,,SW,9,1011.8
,2021-02-11,15.3,31.6,0,,,N,30,13:48,19.7,68,,NW,6,1013.7,30.2,29,,NW,11,1009.1
,2021-02-12,16.4,32.2,0,,,N,50,12:25,24.0,51,,NNW,11,1006.7,27.6,59,,WNW,17,1004.3
,2021-02-13,20.4,29.1,4.6,,,SW,33,12:44,21.1,100,,NNW,9,1006.7,28.4,36,,SSW,17,1006.6
,2021-02-14,13.4,27.1,0.2,,,ESE,35,16:53,19.2,58,,ESE,17,1014.8,26.1,38,,SE,13,1012.8
,2021-02-15,12.1,26.2,0,,,ESE,37,10:34,18.3,68,,S,17,1018.5,25.7,40,,ESE,17,1016.9
,2021-02-16,14.4,29.8,0,,,E,37,16:56,20.6,68,,SSE,17,1020.7,28.5,42,,ESE,19,1017.9
,2021-02-17,14.5,28.2,0,,,ESE,39,16:40,21.1,61,,ESE,11,1022.6,25.9,37,,ESE,20,1020.1
,2021-02-18,17.0,28.9,0,,,ENE,43,08:15,21.2,50,,ENE,24,1022.5,28.1,36,,ENE,13,1019.3
,2021-02-19,14.8,32.0,0,,,NE,28,17:42,21.3,66,,SE,13,1019.2,30.2,39,,ENE,7,1014.9
,2021-02-20,15.6,33.0,0,,,SE,35,15:38,22.5,62,,ESE,6,1015.4,32.3,26,,E,9,1011.2
,2021-02-21,15.0,34.7,0,,,SW,39,14:16,21.5,67,,S,7,1011.2,33.4,26,,SSW,19,1006.6
,2021-02-22,17.1,32.9,1.2,,,SW,50,14:53,22.0,68,,E,6,1006.8,32.2,28,,WSW,30,1004.4
,2021-02-23,12.3,27.9,0.2,,,SSE,33,17:12,15.4,63,,WSW,15,1011.3,25.6,29,,SSE,7,1010.0
,2021-02-24,10.9,28.3,0,,,E,35,18:45,18.6,59,,SSE,11,1015.4,28.0,41,,SE,15,1011.4
,2021-02-25,14.8,31.1,11.0,,,WNW,39,14:48,17.1,98,,S,4,1010.3,29.4,35,,NW,20,1006.3
,2021-02-26,11.6,30.4,0.2,,,WSW,30,13:41,17.0,75,, ,Calm,1010.9,29.3,17,,SW,19,1008.7
,2021-02-27,15.5,33.0,0,,,SW,33,15:07,18.8,75,,ESE,4,1011.6,31.5,22,,W,11,1008.9
,2021-02-28,13.1,32.7,0,,,WSW,35,13:24,19.5,62,, ,Calm,1012.4,32.1,16,,SW,22,1008.9
