"Daily Weather Observations for Cowra, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2038.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations from Cowra Airport."
"Observations were drawn from Cowra Airport AWS {station 065111}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,7.7,25.4,0,,,SW,22,13:46,12.9,79,,SE,6,1025.2,24.2,47,,SW,11,1022.7
,2021-04-2,9.5,27.8,0,,,SE,28,11:53,14.4,79,,SE,4,1027.0,27.2,33,,E,15,1023.7
,2021-04-3,9.8,28.2,0,,,S,15,15:00,15.3,87,,SSE,4,1025.9,27.1,36,,W,9,1021.1
,2021-04-4,9.4,28.0,0,,,S,22,14:40,18.9,71,,ESE,6,1021.6,27.1,39,,SSW,11,1017.2
,2021-04-5,9.9,28.5,0,,,SSE,24,13:57,18.2,73,,SE,11,1019.8,28.5,40,,S,11,1016.3
,2021-04-6,11.6,29.1,0,,,E,28,15:25,20.6,65,,SE,9,1021.3,28.1,39,,ENE,7,1017.4
,2021-04-7,12.9,27.6,0,,,ENE,30,17:09,20.4,73,,SE,11,1019.2,26.6,48,,SE,9,1014.1
,2021-04-8,12.3,28.3,0,,,ESE,17,05:42,18.9,75,,SE,9,1014.4,27.6,32,,WNW,4,1008.7
,2021-04-9,12.4,27.5,0,,,W,46,15:49,20.7,63,,N,19,1007.3,25.6,38,,WSW,26,1004.8
,2021-04-10,8.8,18.3,0,,,W,39,10:49,14.6,64,,W,4,1010.1,16.6,55,,SW,17,1008.6
,2021-04-11,8.1,15.4,0,,,WSW,56,09:22,11.1,61,,SW,35,1014.3,14.1,44,,SW,30,1014.4
,2021-04-12,1.4,18.3,0,,,S,20,11:19,9.0,75,,S,6,1021.8,17.5,40,,SSW,13,1018.8
,2021-04-13,0.7,23.0,0,,,WNW,30,13:54,10.5,69,, ,Calm,1022.3,22.7,24,,NW,11,1017.4
,2021-04-14,5.6,24.8,0,,,NNW,41,11:26,16.3,49,,NNW,9,1017.5,22.3,25,,WNW,22,1014.4
,2021-04-15,3.5,21.4,0,,,SW,37,12:32,13.4,60,, ,Calm,1018.0,20.5,36,,WSW,20,1015.3
,2021-04-16,5.6,21.8,0,,,SW,19,12:04,11.6,77,,SE,6,1022.0,20.7,38,,S,6,1019.6
,2021-04-17,6.5,22.8,0,,,SW,22,16:04,12.4,78,,ESE,6,1023.1,20.5,45,,SW,4,1019.7
,2021-04-18,1.1,21.4,0,,,WNW,20,12:58,10.0,76,,SE,7,1023.1,20.6,34,,WNW,11,1018.8
,2021-04-19,0.4,21.5,0,,,WNW,28,13:57,8.7,68,,SE,6,1020.2,20.5,34,,NW,11,1015.9
,2021-04-20,1.5,21.9,0,,,NNW,39,15:35,11.2,71,, ,Calm,1017.7,21.0,34,,NW,22,1011.9
,2021-04-21,7.7,17.9,0,,,SW,35,04:26,10.5,75,,SW,15,1016.4,16.7,45,,W,9,1014.2
,2021-04-22,-1.6,15.7,0,,,W,35,12:36,7.1,74,,N,7,1016.2,14.2,42,,WSW,20,1014.7
,2021-04-23,1.8,18.7,0,,,SW,39,13:29,9.0,68,,N,9,1020.0,18.6,41,,W,19,1018.1
,2021-04-24,0.9,19.1,0,,,SW,30,13:32,8.7,74,,NW,2,1024.2,18.8,42,,SSW,19,1021.2
,2021-04-25,0.3,20.6,0,,,S,30,14:05,9.1,79,,ESE,9,1025.8,19.8,39,,SW,19,1022.6
,2021-04-26,0.0,21.4,0,,,WSW,17,01:39,9.0,75,,SE,7,1026.6,20.7,34,,SW,9,1023.4
,2021-04-27,1.0,23.8,0,,,NNW,20,13:26,9.7,72,,SE,9,1028.0,23.0,30,,N,11,1023.6
,2021-04-28,3.5,24.2,0,,,W,17,14:43,12.1,78,,SSE,7,1025.9,23.8,34,,W,7,1022.0
,2021-04-29,4.2,23.9,0,,,S,20,13:33,12.3,80,,S,6,1024.9,22.8,35,,SSE,6,1022.0
,2021-04-30,4.4,24.7,0,,,SE,17,08:23,12.7,73,,SSE,11,1028.4,23.8,34,,SSW,9,1024.9
