"Daily Weather Observations for Dubbo, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2041.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Dubbo Airport AWS {station 065070}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,11.1,25.9,0,,,E,30,09:52,16.1,77,,SE,13,1024.2,24.8,47,,SE,9,1021.9
,2021-04-2,12.7,27.2,0,,,E,30,10:12,17.5,82,,E,17,1026.0,26.6,33,,ENE,13,1023.5
,2021-04-3,13.7,27.0,0,,,E,33,03:03,18.1,80,,ESE,17,1025.2,26.3,45,,ENE,11,1020.7
,2021-04-4,12.7,28.2,,,,,,,20.4,70,,NNE,6,1021.4,27.7,43,1,S,7,1017.0
,2021-04-5,11.6,29.9,0,,,SE,24,13:00,20.8,70,,ESE,13,1018.8,29.8,32,,ENE,11,1015.6
,2021-04-6,14.8,28.1,0,,,E,44,10:31,22.3,63,,E,20,1020.2,26.0,49,3,E,20,1016.8
,2021-04-7,14.3,28.4,0,,,ESE,46,19:03,21.5,72,8,E,22,1018.3,27.0,43,7,SE,13,1013.1
,2021-04-8,13.3,27.2,1.0,,,ESE,31,09:06,20.4,75,,E,19,1013.9,26.4,41,,E,13,1008.8
,2021-04-9,11.8,29.6,0,,,WNW,39,11:52,19.3,77,3,WNW,4,1009.0,27.6,23,7,WSW,22,1005.3
,2021-04-10,13.0,22.2,0.8,,,SW,44,14:32,17.2,66,,WSW,13,1010.4,21.2,36,,SW,22,1008.4
,2021-04-11,8.0,17.4,0,,,SW,52,10:39,13.1,57,2,SW,28,1015.5,15.6,35,4,SSW,28,1015.1
,2021-04-12,0.7,19.7,0,,,WSW,28,16:10,11.2,64,,SSW,7,1021.7,19.1,31,,SSW,13,1018.4
,2021-04-13,1.4,24.0,0,,,N,28,11:03,12.4,66,,E,15,1022.2,23.5,19,,N,13,1018.0
,2021-04-14,3.7,26.5,0,,,NNW,39,11:41,17.0,50,1,NNE,6,1018.6,25.9,23,2,WNW,17,1015.3
,2021-04-15,7.0,24.7,0,,,SW,33,15:12,17.3,51,,SE,11,1017.7,23.8,31,,SW,20,1015.0
,2021-04-16,10.0,23.8,0,,,SE,50,10:23,14.8,60,8,SSE,15,1020.6,21.6,34,7,NNE,11,1018.7
,2021-04-17,11.9,22.4,0,,,SSE,20,00:24,15.3,77,7,ENE,9,1022.9,21.0,45,3,S,9,1019.6
,2021-04-18,5.8,21.8,0,,,ESE,19,08:43,9.2,,8,ESE,15,1023.0,21.7,31,,SE,6,1018.7
,2021-04-19,1.4,22.8,0,,,WNW,31,15:54,12.0,67,,E,7,1020.3,22.3,25,3,WNW,9,1016.2
,2021-04-20,1.7,23.9,0,,,NW,35,14:11,11.8,64,1,SE,9,1018.0,22.2,25,5,NW,20,1013.0
,2021-04-21,4.7,18.6,0,,,SW,37,11:59,11.9,67,,SSW,20,1016.8,18.0,37,,SW,17,1014.1
,2021-04-22,-0.9,18.5,0,,,WSW,43,13:50,9.1,73,,NNW,6,1017.0,17.7,30,1,WSW,26,1014.5
,2021-04-23,-0.4,20.8,0,,,WSW,39,12:22,9.3,67,8,NNE,6,1020.4,20.6,36,,SW,15,1017.9
,2021-04-24,2.0,21.2,0,,,SW,31,15:44,12.2,70,,SE,9,1023.9,20.4,32,,SW,19,1021.1
,2021-04-25,2.2,22.0,0,,,SSW,31,11:58,11.8,65,,SSE,11,1025.2,21.2,31,,SSW,15,1021.8
,2021-04-26,4.6,22.5,0,,,SE,24,08:40,12.6,65,,SE,15,1025.8,21.9,33,,SE,13,1022.4
,2021-04-27,5.9,24.6,0,,,E,28,09:57,13.6,61,,ESE,13,1027.5,24.0,29,,W,7,1023.0
,2021-04-28,8.3,24.5,0,,,E,30,09:19,15.8,77,,ESE,15,1025.5,24.1,35,7,SSE,9,1021.9
,2021-04-29,7.8,24.5,0,,,SE,24,04:28,13.8,79,1,SE,15,1024.3,23.0,34,,SE,11,1021.6
,2021-04-30,7.6,25.1,0,,,E,35,23:42,15.5,68,,ESE,13,1027.9,24.0,33,,SE,11,1024.7
