"Daily Weather Observations for Dubbo, New South Wales for May 2021"
"Prepared at 13:00 UTC on Tuesday 19 October 2021   IDCJDW2041.202105"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Dubbo Airport AWS {station 065070}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-05-1,9.3,25.4,0,,,E,33,00:19,17.3,76,,E,24,1029.0,24.4,38,1,ESE,4,1025.7
,2021-05-2,12.0,22.0,0,,,E,28,01:07,16.2,82,8,E,17,1028.1,21.0,55,4,SE,13,1024.6
,2021-05-3,8.6,25.7,0.2,,,SSW,39,23:28,15.3,82,,ESE,9,1023.9,23.9,40,,WNW,15,1019.3
,2021-05-4,11.0,16.6,16.2,,,S,33,00:23,13.5,99,8,NE,15,1017.7,15.8,79,8,SW,15,1015.1
,2021-05-5,10.0,20.6,4.0,,,SSW,28,16:41,13.8,84,7,SSE,13,1016.7,17.2,71,8,SW,17,1013.6
,2021-05-6,9.9,25.0,0,,,SSW,44,12:28,16.0,83,,SE,13,1014.6,23.8,48,8,SSE,19,1010.3
,2021-05-7,11.6,25.3,0,,,SSE,20,02:23,16.9,81,,SSE,7,1013.0,23.4,57,8,WSW,15,1010.1
,2021-05-8,9.2,25.0,0,,,WNW,28,13:41,13.1,,6,SE,4,1016.3,24.1,34,,WSW,15,1014.3
,2021-05-9,12.6,23.6,0.2,,,SE,28,10:20,14.9,77,8,SE,15,1020.2,21.9,47,8,S,7,1016.7
,2021-05-10,9.8,23.4,0,,,WNW,41,15:35,15.8,83,7,NNE,7,1018.5,22.1,43,,NW,19,1014.0
,2021-05-11,11.5,17.1,0,,,WSW,33,10:40,13.8,80,4,WSW,17,1017.4,13.6,69,8,WSW,13,1017.5
,2021-05-12,2.2,18.3,0,,,SE,19,09:13,9.1,98,5,ESE,9,1020.6,17.9,53,8,NW,9,1017.4
,2021-05-13,3.1,20.9,0,,,W,31,13:04,10.2,88,,NNE,9,1017.2,20.1,39,,WSW,19,1013.5
,2021-05-14,3.9,16.6,0,,,SW,37,08:36,10.9,79,,SW,24,1018.2,16.1,40,,SSW,19,1016.5
,2021-05-15,10.1,17.0,0,,,WSW,57,13:37,13.1,64,8,W,26,1018.7,14.1,41,5,SW,30,1017.2
,2021-05-16,-2.5,15.8,0,,,SW,30,15:06,7.0,76,,NE,6,1024.5,14.9,27,,SW,19,1021.9
,2021-05-17,-1.9,18.2,0,,,SSW,33,16:15,6.6,81,,N,4,1026.2,17.0,45,5,SW,20,1024.3
,2021-05-18,0.3,19.0,0,,,SE,24,08:16,7.3,86,,SSE,17,1029.2,18.4,34,,NE,6,1026.3
,2021-05-19,0.5,21.2,0,,,WNW,30,14:19,8.4,77,,SE,15,1029.6,20.9,30,,WNW,11,1026.1
,2021-05-20,2.3,21.2,0,,,WSW,30,13:50,8.9,76,,SE,13,1029.3,19.9,30,,SW,17,1026.4
,2021-05-21,5.8,22.1,0,,,ENE,37,20:58,12.0,64,,SSE,19,1029.8,20.9,34,,E,20,1025.9
,2021-05-22,7.7,22.4,0,,,E,35,09:55,12.3,79,,SE,17,1027.4,20.8,41,4,SSE,9,1023.1
,2021-05-23,5.9,22.0,0,,,E,28,23:41,11.6,78,,SE,17,1026.9,21.1,38,,E,9,1024.4
,2021-05-24,7.1,22.4,0,,,E,33,10:16,11.9,81,,SE,17,1029.9,21.8,34,,NNE,11,1025.8
,2021-05-25,8.4,23.0,0,,,N,41,11:52,13.7,84,,ENE,15,1026.3,21.9,39,,NNW,28,1020.6
,2021-05-26,11.9,18.9,0.4,,,WSW,39,13:30,14.7,72,3,SSE,11,1020.8,17.5,42,,SW,26,1019.9
,2021-05-27,3.6,17.0,0,,,SSE,39,10:16,9.8,73,,S,15,1027.8,15.7,45,,SSW,24,1025.2
,2021-05-28,0.6,16.4,0,,,S,43,11:12,10.2,86,,S,15,1026.6,15.6,44,,SSW,24,1024.8
,2021-05-29,-0.8,16.4,0,,,SSE,26,02:16,5.4,70,,SE,19,1029.9,15.5,32,,S,7,1026.9
,2021-05-30,0.3,18.9,0,,,SE,31,09:25,6.9,67,,SE,22,1028.8,18.1,38,,SSE,13,1025.2
,2021-05-31,1.7,20.3,0,,,NNE,28,12:25,7.7,82,,SE,19,1026.3,19.9,30,,NNW,6,1022.4
