"Daily Weather Observations for Dubbo, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2041.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Dubbo Airport AWS {station 065070}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,1.8,20.8,0,,,SSE,20,02:12,7.3,83,2,SE,13,1024.4,19.3,39,7,W,4,1022.3
,2021-06-2,6.4,23.9,0,,,NNW,39,11:55,12.8,67,1,SE,11,1021.8,21.4,34,3,NNW,17,1017.4
,2021-06-3,12.1,14.8,18.6,,,WSW,31,21:28,12.9,,8,NE,11,1014.5,14.5,90,8,WSW,15,1010.8
,2021-06-4,10.9,13.4,9.6,,,SW,35,11:58,11.8,87,8,WSW,13,1017.4,12.8,81,6,SW,17,1016.9
,2021-06-5,0.4,14.9,0,,,WNW,24,15:09,4.6,,8,N,2,1024.3,14.3,44,,WSW,17,1022.7
,2021-06-6,-1.6,17.4,0,,,SSW,28,11:26,4.9,93,,SSE,6,1027.9,16.8,48,,SSW,13,1024.2
,2021-06-7,0.0,18.9,0.2,,,NNW,24,14:58,7.1,97,,SE,11,1025.2,18.5,44,,NNW,19,1019.9
,2021-06-8,3.8,18.4,0,,,W,61,19:01,11.0,79,7,NNE,6,1014.2,12.8,73,8,N,17,1007.8
,2021-06-9,3.3,7.8,2.4,,,W,48,14:20,5.6,96,8,WNW,20,1009.4,5.4,95,8,WNW,24,1006.6
,2021-06-10,5.2,8.2,41.6,,,N,52,09:07,6.9,97,8,NNW,33,998.9,7.7,82,8,W,30,1002.0
,2021-06-11,0.9,10.7,3.0,,,NW,30,09:27,4.9,,8,NW,17,1015.7,8.5,84,6,WNW,7,1015.5
,2021-06-12,0.3,14.8,0,,,W,26,14:36,5.8,,8,SE,7,1020.8,12.8,67,8,W,17,1018.8
,2021-06-13,5.6,14.4,0,,,W,19,12:50,10.2,81,8,NW,6,1020.9,14.0,51,8,SW,13,1018.1
,2021-06-14,1.1,16.3,0,,,WSW,30,14:05,5.6,97,7,ESE,6,1019.2,15.8,45,7,W,13,1016.5
,2021-06-15,2.7,17.0,0,,,SSE,20,01:48,6.5,93,8,SE,11,1019.0,16.3,51,1,N,7,1016.1
,2021-06-16,2.5,20.6,0,,,SW,57,21:37,8.1,88,1,SE,11,1017.3,18.1,49,8,NNE,24,1011.1
,2021-06-17,3.9,14.9,8.0,,,WNW,39,13:55,6.3,,7,NW,7,1015.8,14.8,55,4,NW,26,1013.4
,2021-06-18,6.2,13.7,1.2,,,W,39,13:34,9.4,93,8,NNW,13,1012.5,12.4,90,8,WSW,19,1011.3
,2021-06-19,7.5,16.8,0.6,,,SSW,35,14:41,11.1,76,,SSW,17,1018.3,14.4,54,8,SSW,24,1018.3
,2021-06-20,3.5,17.7,0,,,SE,31,11:23,8.4,80,,SSE,17,1023.6,17.2,48,,SSE,13,1022.1
,2021-06-21,3.9,18.9,0,,,E,30,12:03,8.2,81,,SE,17,1027.2,17.9,47,4,SE,15,1024.6
,2021-06-22,4.0,18.6,0,,,E,39,09:47,10.2,84,,ESE,17,1030.5,17.7,49,,ENE,15,1027.7
,2021-06-23,7.3,17.3,0.2,,,N,50,12:21,11.4,78,1,E,15,1026.7,15.6,67,7,N,26,1022.0
,2021-06-24,11.4,15.9,2.4,,,N,57,08:24,14.5,81,8,N,37,1017.0,15.4,84,8,N,26,1012.9
,2021-06-25,5.8,16.0,5.8,,,NNW,31,14:04,8.1,,7,NE,9,1018.9,14.8,57,5,NNW,19,1017.5
,2021-06-26,1.9,16.7,0,,,W,39,13:33,7.1,,7,NNW,9,1023.3,15.2,48,1,W,24,1022.5
,2021-06-27,1.8,15.5,0,,,S,31,11:14,9.7,92,,SSW,19,1028.9,14.1,50,,SW,19,1028.0
,2021-06-28,1.6,18.5,0,,,E,37,12:42,7.3,87,,SE,19,1031.4,17.3,48,,ENE,24,1028.9
,2021-06-29,4.9,19.1,0.2,,,ENE,43,11:15,10.3,82,,SSE,13,1032.6,16.9,54,7,ENE,26,1029.4
,2021-06-30,8.7,20.9,0,,,E,35,23:46,11.9,83,8,E,19,1030.1,19.5,46,6,N,15,1025.4
