"Daily Weather Observations for Dubbo, New South Wales for September 2021"
"Prepared at 13:00 UTC on Thursday 21 October 2021   IDCJDW2041.202109"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Some cloud observations are from automated equipment; these are somewhat different to those made by a human observer and may not appear every day."
"Observations were drawn from Dubbo Airport AWS {station 065070}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-09-1,3.4,25.2,0,,,SE,31,15:03,13.0,66,,SSE,17,1028.4,24.6,26,,SSE,17,1025.0
,2021-09-2,7.9,27.3,0,,,E,39,07:20,17.6,56,,E,19,1027.6,26.2,41,,N,26,1022.7
,2021-09-3,10.7,24.1,0,,,N,43,09:43,18.7,56,,NNE,20,1026.0,23.2,41,1,N,24,1020.4
,2021-09-4,11.6,16.3,0,,,N,44,06:52,15.7,75,8,NNW,22,1021.3,15.0,93,3,N,26,1016.8
,2021-09-5,7.2,15.3,17.0,,,W,57,15:00,10.0,84,6,WSW,28,1020.7,11.7,66,8,WSW,35,1020.5
,2021-09-6,1.9,16.5,0.2,,,SSW,50,14:31,11.2,71,,SSW,19,1028.4,15.4,48,,SSW,26,1027.2
,2021-09-7,0.0,19.6,0,,,WSW,43,15:01,10.8,77,,S,4,1031.9,18.2,35,,WSW,26,1029.3
,2021-09-8,0.8,20.9,0,,,SE,24,08:55,11.2,73,,SSE,19,1032.4,19.7,43,,S,9,1028.9
,2021-09-9,0.4,21.4,0,,,WNW,30,13:57,9.2,,1,SE,6,1031.0,20.6,40,,WNW,17,1027.1
,2021-09-10,2.4,25.6,0,,,WNW,26,12:36,14.1,68,,WNW,4,1025.9,25.0,23,,WSW,17,1022.5
,2021-09-11,4.2,26.8,0,,,NNW,41,13:25,14.6,54,,ESE,9,1020.0,25.9,19,,NW,24,1014.3
,2021-09-12,7.9,27.5,0,,,WNW,44,12:47,18.1,48,,NNW,20,1010.3,25.3,28,,WSW,26,1006.8
,2021-09-13,6.4,16.3,0,,,W,39,11:56,12.6,60,1,SW,22,1015.8,15.5,40,1,WSW,24,1015.5
,2021-09-14,4.6,18.8,0,,,SSW,39,12:18,12.3,65,,SSE,20,1023.4,17.6,29,,S,19,1021.6
,2021-09-15,1.7,19.1,0,,,SW,33,14:09,10.7,67,,SE,9,1025.5,18.3,39,1,SE,9,1021.2
,2021-09-16,3.9,20.3,0,,,E,35,08:57,13.7,66,,E,26,1023.7,20.0,37,,SSW,6,1019.4
,2021-09-17,5.7,24.2,0,,,NNW,33,14:48,14.8,65,,ENE,15,1021.8,22.9,32,,NNW,24,1017.9
,2021-09-18,12.0,21.0,0,,,NNW,56,08:27,20.7,48,8,NNW,41,1016.0,14.8,92,8,W,17,1018.2
,2021-09-19,1.2,21.0,1.6,,,WNW,30,11:18,12.6,85,,E,9,1025.4,20.1,33,,WSW,13,1021.4
,2021-09-20,1.8,24.0,0.2,,,SSW,57,17:41,14.0,65,,NW,15,1018.9,23.3,20,,W,30,1012.7
,2021-09-21,4.0,12.7,0,,,SW,57,07:24,7.6,69,7,SW,28,1021.4,11.0,51,8,S,24,1022.3
,2021-09-22,-0.3,19.9,0,,,WSW,35,15:43,9.2,68,,NNE,2,1026.4,18.7,39,4,SW,17,1023.2
,2021-09-23,1.5,21.6,0,,,SW,30,13:53,12.9,72,,NW,7,1024.2,21.0,46,,WNW,17,1019.5
,2021-09-24,4.1,25.2,0,,,WNW,44,11:54,16.6,69,,NW,11,1018.1,23.4,30,2,WNW,28,1013.3
,2021-09-25,4.8,20.5,0,,,SSW,44,01:06,16.5,46,,SSW,17,1017.8,19.2,31,,WSW,22,1017.3
,2021-09-26,3.8,20.2,0,,,ESE,46,09:06,16.1,60,6,E,30,1022.3,17.6,42,4,E,26,1020.2
,2021-09-27,8.2,23.3,0,,,ENE,44,08:13,15.5,56,,E,26,1023.4,22.5,32,,NNW,17,1017.5
,2021-09-28,9.7,23.3,0,,,N,48,11:01,18.0,60,,NNE,17,1020.4,22.8,47,4,N,22,1015.7
,2021-09-29,12.3,18.7,0,,,N,54,10:06,18.3,68,7,NNE,28,1016.0,14.1,96,8,NNW,9,1014.3
,2021-09-30,9.2,23.8,17.8,,,NNW,30,12:38,14.1,92,8,NE,6,1012.2,22.8,58,6,N,17,1008.2
