"Daily Weather Observations for Dunedoo, New South Wales for December 2020"
"Prepared at 13:00 UTC on Sunday 10 October 2021   IDCJDW2042.202012"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Dunedoo Post Office {station 064009}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-12-1,15.9,42.5,0,,,,,,22.8,63,0,E,9,,,,,,,
,2020-12-2,19.0,34.4,1.8,,,,,,23.6,63,5,W,4,,,,,,,
,2020-12-3,15.9,27.0,0,,,,,,19.3,74,3,E,33,,,,,,,
,2020-12-4,16.5,35.3,0.6,,,,,,25.2,67,3,SW,4,,,,,,,
,2020-12-5,13.8,28.9,0,,,,,,25.2,38,6,E,17,,,,,,,
,2020-12-6,13.4,28.1,23.5,,,,,,20.6,54,1,WNW,17,,,,,,,
,2020-12-7,12.6,28.5,0,,,,,,17.4,71,6,SW,4,,,,,,,
,2020-12-8,10.4,24.0,0,,,,,,14.2,46,1,WSW,17,,,,,,,
,2020-12-9,8.7,30.8,0,,,,,,17.4,62,0,SE,9,,,,,,,
,2020-12-10,11.4,32.8,0,,,,,,19.5,68,3,NW,4,,,,,,,
,2020-12-11,11.6,23.8,0,,,,,,17.8,59,6,SE,69,,,,,,,
,2020-12-12,,25.6,0,,,,,,17.9,72,3,ENE,44,,,,,,,
,2020-12-13,8.3,27.5,0,,,,,,20.3,53,5,E,44,,,,,,,
,2020-12-14,14.0,28.2,0,,,,,,20.2,61,6,NNE,44,,,,,,,
,2020-12-15,16.8,29.5,0.4,,,,,,20.0,86,8,SE,33,,,,,,,
,2020-12-16,16.0,27.8,0.3,,,,,,24.0,77,6,E,4,,,,,,,
,2020-12-17,19.0,35.5,16.3,,,,,,23.5,81,6,N,4,,,,,,,
,2020-12-18,20.8,30.2,2.2,,,,,,22.2,93,6,E,9,,,,,,,
,2020-12-19,17.9,26.6,24.8,,,,,,22.0,79,7,ESE,24,,,,,,,
,2020-12-20,17.4,25.7,2.0,,,,,,18.8,91,8,ESE,17,,,,,,,
,2020-12-21,17.0,19.3,2.0,,,,,,18.4,96,8,E,9,,,,,,,
,2020-12-22,16.3,24.6,33.2,,,,,,17.5,94,8,W,9,,,,,,,
,2020-12-23,10.0,28.1,0,,,,,,16.1,66,6,SW,4,,,,,,,
,2020-12-24,14.4,30.2,0,,,,,,18.6,76,7,E,4,,,,,,,
,2020-12-25,13.4,,0,,,,,,23.8,61,3,ESE,24,,,,,,,
,2020-12-26,,30.2,,,,,,,,,,,,,,,,,,
,2020-12-27,15.4,32.8,1.3,,,,,,24.7,62,1,N,24,,,,,,,
,2020-12-28,20.5,33.0,1.5,,,,,,22.4,77,7,NNE,9,,,,,,,
,2020-12-29,16.5,26.6,23.7,,,,,,20.0,85,8,NE,9,,,,,,,
,2020-12-30,16.0,28.1,0.6,,,,,,20.3,77,7,E,9,,,,,,,
,2020-12-31,15.0,28.2,0,,,,,,20.2,80,8,E,17,,,,,,,
