"Daily Weather Observations for Evans Head, New South Wales for June 2021"
"Prepared at 13:00 UTC on Monday 18 October 2021   IDCJDW2043.202106"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Evans Head RAAF Bombing Range AWS {station 058212}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-06-1,12.3,20.7,0.8,,,WSW,24,04:40,14.2,85,,NW,4,1025.0,18.2,70,,E,11,1021.8
,2021-06-2,12.2,24.0,0,,,W,19,07:12,15.3,88,, ,Calm,1022.8,19.3,71,,E,11,1019.2
,2021-06-3,13.6,21.8,0,,,NNW,37,22:19,15.9,89,,NNW,7,1017.3,18.3,86,,N,9,1012.1
,2021-06-4,12.6,22.4,1.2,,,NW,31,00:56,17.9,63,,NW,15,1012.9,21.2,50,,WNW,11,1010.5
,2021-06-5,12.2,19.1,0,,,S,41,13:21,15.3,62,,SW,17,1020.0,17.6,58,,S,28,1019.2
,2021-06-6,9.8,19.5,0,,,W,20,03:55,16.6,65,,NW,2,1023.8,17.7,62,,SE,9,1021.5
,2021-06-7,10.0,21.8,0,,,W,22,02:45,14.9,63,,WNW,9,1024.9,18.4,59,,ENE,13,1021.7
,2021-06-8,9.0,23.4,0,,,N,33,22:57,16.6,76,,N,11,1018.9,19.7,65,,N,9,1013.9
,2021-06-9,13.7,17.0,2.6,,,WNW,52,13:42,13.8,90,,NW,19,1008.7,15.7,38,,WNW,22,1007.0
,2021-06-10,5.1,19.1,0.8,,,NNW,41,10:27,13.1,59,,N,17,1012.0,15.5,43,,NNW,15,1008.3
,2021-06-11,6.8,20.1,0,,,NNW,35,06:11,13.9,63,,NNW,19,1015.3,18.8,51,,NW,13,1013.6
,2021-06-12,6.1,19.7,0,,,WNW,24,10:08,14.3,67,,ESE,2,1020.2,18.7,49,,WNW,9,1016.5
,2021-06-13,7.8,18.9,0,,,NW,24,00:50,14.6,60,,WNW,9,1018.1,18.3,46,,WNW,6,1015.3
,2021-06-14,7.1,19.7,0,,,ENE,19,14:15,13.8,70,,WNW,9,1016.8,17.3,68,,E,13,1014.1
,2021-06-15,11.9,18.2,0,,,WSW,22,06:32,13.5,86,,NW,9,1018.1,17.3,79,,SSE,9,1015.1
,2021-06-16,10.4,24.1,7.8,,,NW,43,22:09,15.2,86,,W,7,1018.9,20.9,72,,N,9,1015.1
,2021-06-17,13.2,23.5,6.0,,,NW,44,11:58,18.9,74,,NNW,17,1013.4,21.4,32,,WNW,15,1009.5
,2021-06-18,8.9,20.6,0,,,WNW,39,17:17,14.8,54,,NNW,9,1012.9,19.1,40,,WNW,19,1007.7
,2021-06-19,8.1,20.1,0,,,WNW,44,13:21,14.6,61,,NW,15,1012.0,19.3,49,,NW,15,1009.2
,2021-06-20,12.7,19.2,0,,,SSE,57,12:01,16.3,64,,SW,19,1017.3,17.9,66,,S,35,1017.2
,2021-06-21,12.4,18.6,0,,,SSE,50,14:17,14.9,66,,SW,19,1022.7,17.0,74,,S,33,1021.5
,2021-06-22,11.7,18.9,3.4,,,S,43,14:10,15.4,77,,SW,20,1028.8,16.6,78,,S,22,1026.9
,2021-06-23,12.3,20.4,4.4,,,W,26,04:51,14.7,92,,W,11,1029.1,19.8,74,,NNW,6,1024.7
,2021-06-24,13.1,17.6,0,,,NW,28,10:27,15.1,92,,NW,11,1022.6,16.4,89,,N,7,1018.0
,2021-06-25,14.6,21.2,0.8,,,NNW,30,12:34,16.8,90,,NNW,15,1018.1,19.3,84,,NNW,6,1017.3
,2021-06-26,13.3,17.6,3.2,,,W,24,12:55,14.7,90,,WNW,11,1021.5,16.2,77,,NNW,4,1019.7
,2021-06-27,9.0,18.2,0,,,WSW,26,07:43,12.6,63,,WSW,17,1026.0,17.1,60,,SSE,13,1024.5
,2021-06-28,9.8,18.4,0,,,S,46,16:14,12.9,67,,SW,17,1028.3,17.3,68,,S,28,1026.5
,2021-06-29,12.4,17.0,7.0,,,SSE,39,11:34,14.1,96,,SW,13,1029.8,16.3,92,,SSW,15,1027.7
,2021-06-30,12.6,19.6,20.4,,,E,35,23:34,14.8,90,,WSW,9,1028.9,18.6,74,,SSE,11,1025.9
