"Daily Weather Observations for Forbes, New South Wales for September 2020"
"Prepared at 13:00 UTC on Wednesday 13 October 2021   IDCJDW2045.202009"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Forbes Airport AWS {station 065103}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-09-1,-0.4,18.7,0,,,N,19,13:41,8.9,86,,E,4,1023.9,18.2,50,,NNE,7,1019.4
,2020-09-2,3.3,21.5,0,,,N,39,11:28,12.4,80,,NNW,11,1020.4,21.0,49,,N,24,1016.4
,2020-09-3,11.6,24.9,0,,,N,43,01:12,17.1,66,,N,22,1017.2,23.6,50,,N,19,1014.5
,2020-09-4,8.9,20.5,2.0,,,WSW,17,05:11,13.3,85,,S,6,1018.8,19.8,62,,SW,2,1015.4
,2020-09-5,2.8,18.9,0,,,SW,26,13:50,12.4,87,, ,Calm,1020.0,16.8,58,,SSW,7,1019.5
,2020-09-6,1.2,20.2,0,,,NW,17,13:30,12.2,85,,ESE,2,1026.7,19.2,37,,NW,6,1024.5
,2020-09-7,4.6,22.9,0,,,N,35,10:49,15.9,78,,ENE,4,1029.2,22.6,56,,NNE,19,1025.9
,2020-09-8,6.4,24.8,0,,,N,44,08:52,18.2,68,,N,28,1028.7,24.0,57,,N,17,1024.4
,2020-09-9,11.6,19.0,0,,,SSW,22,02:06,16.6,88,,E,7,1025.3,17.7,88,,NNE,13,1023.2
,2020-09-10,8.4,19.6,0.8,,,ESE,37,09:21,14.4,71,,ESE,17,1026.5,19.4,51,,ESE,15,1024.2
,2020-09-11,3.9,20.6,0,,,NNE,28,10:17,12.6,68,,SE,9,1030.7,20.0,42,,SSW,2,1026.6
,2020-09-12,2.0,21.5,0,,,NNW,26,11:30,13.3,80,,NNE,7,1028.7,21.3,46,,NNW,9,1024.3
,2020-09-13,7.1,19.3,0,,,N,28,08:54,15.1,68,,N,19,1023.8,18.7,64,,N,15,1022.4
,2020-09-14,4.1,20.9,0.8,,,SSW,22,12:56,13.7,89,,S,9,1027.4,20.0,46,,SW,7,1024.8
,2020-09-15,0.9,23.0,0,,,SE,17,08:49,13.2,80,,SE,9,1028.6,22.5,44,,SSW,2,1025.1
,2020-09-16,4.0,25.3,0,,,N,39,09:06,18.1,71,,N,24,1024.3,25.0,39,,NW,13,1019.8
,2020-09-17,11.9,28.0,0,,,NNW,43,11:52,20.0,56,,N,24,1022.0,27.6,39,,N,19,1019.3
,2020-09-18,12.4,24.7,0,,,NE,28,10:24,18.4,69,,E,11,1027.9,23.6,54,,NE,11,1024.1
,2020-09-19,9.3,23.2,0,,,NNE,43,10:34,20.7,58,,NE,22,1023.2,21.4,58,,NNE,19,1018.3
,2020-09-20,14.0,23.1,7.0,,,NNE,44,03:46,16.2,91,,N,19,1013.1,22.3,63,,NW,17,1010.5
,2020-09-21,11.8,27.4,17.4,,,W,61,16:48,21.2,82,,N,22,1010.2,26.8,59,,N,26,1006.1
,2020-09-22,8.3,21.1,38.4,,,WNW,31,13:28,17.1,74,,N,9,1013.5,19.4,53,,W,19,1012.4
,2020-09-23,6.4,17.6,0,,,W,43,14:59,14.2,75,,WNW,13,1017.0,16.6,51,,W,24,1014.1
,2020-09-24,4.4,16.1,0,,,WNW,33,11:20,11.9,80,,WNW,9,1017.5,14.6,51,,W,11,1013.7
,2020-09-25,7.6,17.0,0,,,W,57,13:22,14.8,57,,NNW,26,1006.4,7.6,89,,W,24,1005.5
,2020-09-26,2.4,12.7,9.6,,,W,39,10:12,7.1,86,,W,22,1016.3,11.1,75,,W,19,1016.9
,2020-09-27,1.6,15.6,1.0,,,WSW,28,11:36,10.3,76,,S,11,1024.5,14.4,58,,SSW,9,1023.2
,2020-09-28,0.8,17.6,0.2,,,NE,19,10:21,11.6,74,,ENE,2,1027.7,16.9,46,,SSE,7,1024.6
,2020-09-29,2.5,21.0,0,,,NNE,33,11:48,14.7,68,,ENE,15,1025.0,20.0,42,,N,13,1020.4
,2020-09-30,9.5,18.9,0.6,,,N,57,14:58,13.0,89,,NNE,17,1017.4,17.7,72,,N,35,1012.0
