"Daily Weather Observations for Forbes, New South Wales for October 2020"
"Prepared at 13:00 UTC on Tuesday 12 October 2021   IDCJDW2045.202010"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Forbes Airport AWS {station 065103}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-10-1,8.5,20.3,0.2,,,NW,31,02:03,14.9,73,,SW,11,1019.3,19.7,49,,W,13,1017.8
,2020-10-2,3.4,24.7,0,,,NW,9,10:41,14.8,70,,E,2,1025.2,23.6,35,,SSE,2,1023.5
,2020-10-3,4.7,27.7,0,,,N,33,11:28,18.6,62,,E,2,1025.8,27.4,30,,N,13,1020.5
,2020-10-4,8.4,28.6,0,,,N,48,07:37,19.9,63,,N,31,1020.0,28.1,42,,N,26,1016.3
,2020-10-5,14.7,29.1,0,,,N,54,07:06,19.9,56,,N,33,1016.7,28.6,44,,NW,13,1015.1
,2020-10-6,14.5,25.3,0,,,SSW,26,16:12,17.8,90,,WSW,6,1019.2,24.5,59,,SSE,7,1017.3
,2020-10-7,16.5,21.5,0.6,,,N,26,21:34,17.9,93,,ESE,11,1016.7,20.3,83,,E,17,1013.9
,2020-10-8,15.8,23.1,2.2,,,WNW,43,12:23,16.0,88,,WNW,17,1012.5,22.4,46,,W,24,1010.9
,2020-10-9,7.7,20.6,0,,,WSW,35,11:00,13.6,75,,SW,19,1017.1,17.8,53,,W,9,1017.0
,2020-10-10,3.4,23.1,0.2,,,SSW,28,15:00,12.8,78,, ,Calm,1022.5,22.2,30,,WSW,13,1019.6
,2020-10-11,5.9,26.8,0,,,WNW,35,12:11,14.7,65,,N,2,1022.2,25.5,30,,WSW,7,1018.8
,2020-10-12,6.8,27.9,0,,,NNE,20,10:41,17.2,65,,E,4,1022.1,26.7,23,,NW,2,1019.3
,2020-10-13,6.8,29.5,0,,,SSE,20,13:37,16.8,68,, ,Calm,1023.6,28.4,26,,SSE,9,1020.9
,2020-10-14,8.0,29.6,0,,,N,33,10:09,18.1,68,,SSE,6,1023.8,28.2,30,,NNE,9,1020.0
,2020-10-15,10.3,30.4,0,,,N,39,07:58,20.9,54,,N,28,1019.9,29.9,26,,NW,17,1014.9
,2020-10-16,14.9,28.8,0,,,N,35,14:21,20.1,59,,ESE,17,1017.9,27.7,31,,NNE,17,1014.6
,2020-10-17,14.2,26.4,0,,,SW,41,15:49,22.0,50,,N,17,1011.8,25.1,41,,WSW,15,1010.1
,2020-10-18,14.4,23.6,3.6,,,SW,28,10:47,16.7,76,,WSW,9,1012.2,22.6,34,,SW,15,1011.3
,2020-10-19,4.9,24.5,0,,,WSW,22,13:57,13.2,69,, ,Calm,1016.3,22.8,27,,WSW,17,1014.6
,2020-10-20,4.5,27.4,0,,,NNW,24,12:02,15.8,68,, ,Calm,1017.1,24.6,29,,NNE,9,1013.8
,2020-10-21,8.6,28.4,0,,,N,31,09:23,18.7,63,,N,4,1015.5,26.3,40,,NNW,7,1011.3
,2020-10-22,9.3,29.8,0,,,N,20,11:25,20.2,69,,N,7,1014.3,27.9,36,,N,4,1010.5
,2020-10-23,15.0,31.0,0,,,NNW,54,14:35,23.3,55,,N,22,1011.4,29.1,37,,N,24,1006.7
,2020-10-24,17.3,25.0,20.6,,,SSW,35,22:06,19.0,99,,N,17,1005.1,23.2,70,,NW,9,1002.1
,2020-10-25,9.8,17.6,9.8,,,ESE,33,18:31,10.9,76,,SW,13,1011.8,17.1,65,,SSE,13,1011.3
,2020-10-26,10.9,18.0,13.0,,,ESE,50,07:45,14.0,71,,ESE,22,1016.0,15.6,80,,SE,15,1016.0
,2020-10-27,10.4,23.3,5.4,,,SE,46,21:58,14.9,68,,ESE,20,1018.4,21.1,51,,ESE,9,1014.6
,2020-10-28,9.8,23.2,18.2,,,NNW,80,14:10,15.4,76,,ESE,15,1016.4,20.8,61,,ESE,4,1012.4
,2020-10-29,7.6,24.3,23.0,,,S,20,13:47,14.7,91,,N,7,1012.7,22.6,48,,WSW,7,1009.2
,2020-10-30,11.6,25.6,0,,,NE,54,13:58,20.5,58,,ENE,17,1006.2,23.1,36,,ENE,24,1001.9
,2020-10-31,8.9,21.4,5.2,,,NNE,37,12:48,13.8,94,, ,Calm,1007.7,16.0,75,,N,20,1009.0
