"Daily Weather Observations for Forbes, New South Wales for March 2021"
"Prepared at 16:00 UTC on Thursday  7 October 2021   IDCJDW2045.202103"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Forbes Airport AWS {station 065103}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-03-1,13.9,35.9,0,,,WSW,52,15:28,24.0,55,,N,11,1009.5,34.6,17,,SW,30,1007.5
,2021-03-2,13.9,28.0,0,,,WSW,33,14:51,17.6,51,,SSW,13,1013.2,26.2,15,,SW,19,1011.2
,2021-03-3,9.6,28.2,0,,,WNW,26,14:08,15.7,43,,ESE,6,1013.9,27.4,19,,W,11,1011.9
,2021-03-4,8.8,29.4,0,,,W,33,14:16,16.1,42,,W,2,1014.8,27.1,17,,W,13,1011.0
,2021-03-5,11.4,28.7,0,,,WSW,44,13:29,18.0,61,,S,24,1009.6,27.1,27,,WSW,19,1007.2
,2021-03-6,6.4,29.9,0,,,S,20,12:05,16.2,50,,NE,4,1010.3,28.6,25,,SSE,4,1008.4
,2021-03-7,11.7,32.3,0,,,NNE,37,10:11,20.3,57,,NNE,13,1012.3,31.2,28,,NE,11,1008.5
,2021-03-8,15.7,34.6,0,,,SW,46,17:13,23.6,58,,N,17,1010.2,33.7,17,,WNW,20,1007.0
,2021-03-9,14.8,32.5,0,,,W,41,13:59,21.7,50,, ,Calm,1013.5,31.3,27,,WSW,26,1012.1
,2021-03-10,8.3,33.8,0,,,N,43,19:02,18.2,50,,ESE,2,1017.9,31.4,25,,SW,7,1014.4
,2021-03-11,17.8,29.4,0.4,,,NNE,44,10:34,21.2,81,,NE,9,1018.4,20.6,92,,SW,11,1016.2
,2021-03-12,18.1,31.3,3.8,,,WNW,24,10:01,21.3,86,,N,6,1016.7,29.8,44,,WNW,9,1013.4
,2021-03-13,17.9,35.5,0,,,SW,70,17:43,24.4,71,,N,11,1012.8,32.9,36,,NNW,26,1008.5
,2021-03-14,15.3,20.3,10.0,,,SSW,37,08:12,15.4,94,,SSW,19,1014.1,19.2,55,,S,17,1015.2
,2021-03-15,8.9,26.1,0,,,S,31,12:25,14.1,73,,SE,9,1021.2,24.8,32,,S,13,1019.2
,2021-03-16,11.9,27.8,0,,,SE,41,16:55,17.0,64,,ESE,7,1023.8,26.2,34,,E,13,1019.7
,2021-03-17,16.9,20.4,0,,,SE,35,07:26,17.6,67,,ESE,20,1022.2,16.4,94,,N,7,1021.3
,2021-03-18,15.7,21.4,18.8,,,ESE,28,23:31,16.1,94,,ESE,4,1021.1,17.6,100,,SSW,11,1019.8
,2021-03-19,16.0,29.0,31.2,,,ESE,43,16:25,20.0,75,,ESE,15,1022.1,27.5,40,,ESE,22,1019.9
,2021-03-20,17.7,26.8,0,,,SE,48,11:44,19.7,73,,SE,22,1020.6,24.5,59,,SE,24,1017.4
,2021-03-21,18.3,25.2,1.2,,,ENE,39,12:10,20.4,89,,ENE,6,1018.3,20.5,91,,ESE,17,1017.3
,2021-03-22,16.8,18.8,25.8,,,E,37,12:19,17.1,98,,ESE,13,1016.8,17.4,99,,ESE,15,1013.4
,2021-03-23,17.1,22.5,89.0,,,N,50,10:12,18.0,100,,NE,11,1001.3,22.1,87,,W,17,999.7
,2021-03-24,16.6,24.6,5.6,,,NW,48,11:42,18.2,90,,WNW,15,1003.1,23.9,55,,W,22,1001.7
,2021-03-25,16.7,22.7,0,,,WSW,31,10:01,17.4,88,,W,15,1006.8,21.8,61,,WSW,19,1007.3
,2021-03-26,10.1,23.5,1.8,,,W,20,14:51,14.9,93,, ,Calm,1015.0,22.9,47,,W,6,1012.3
,2021-03-27,11.1,25.1,0,,,WNW,31,14:46,16.8,79,,N,4,1014.3,24.6,42,,WNW,15,1012.1
,2021-03-28,11.2,24.5,0,,,SW,28,13:01,16.1,80,,SSE,2,1017.9,23.5,39,,SW,11,1016.2
,2021-03-29,11.0,24.3,0,,,SW,31,15:51,14.7,74,,S,11,1021.0,23.0,39,,S,19,1019.3
,2021-03-30,8.9,25.2,0,,,SW,20,14:08,13.8,84,, ,Calm,1022.6,23.9,38,,WSW,7,1020.3
,2021-03-31,10.4,26.2,0,,,SE,28,13:31,15.0,79,,ESE,6,1023.6,24.7,33,,SSE,6,1021.0
