"Daily Weather Observations for Glen Innes, New South Wales for January 2021"
"Prepared at 13:00 UTC on Saturday  9 October 2021   IDCJDW2047.202101"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Glen Innes, but some from Glen Innes Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Glen Innes Ag Research Stn {station 056013}"
"Wind and pressure observations are from Glen Innes Airport AWS {station 056243}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-01-1,12.5,24.5,2.0,20.6,,ESE,44,06:26,20.0,74,5,ESE,26,1015.0,,,,E,24,1012.6
,2021-01-2,15.5,25.0,0,5.2,,W,72,12:46,19.0,86,8,ESE,20,1011.7,,,,WSW,2,1009.0
,2021-01-3,15.0,24.5,27.8,4.2,,W,41,14:52,17.5,95,8,NE,9,1008.7,,,,WNW,17,1006.1
,2021-01-4,14.5,24.0,3.0,2.4,,NNW,28,10:14,18.0,95,8,N,9,1008.6,,,,NE,15,1006.9
,2021-01-5,16.5,27.5,0.4,3.6,,SW,37,17:53,20.5,87,6,NW,22,1008.8,,,,WNW,19,1007.9
,2021-01-6,14.5,25.5,1.4,8.8,,SW,43,12:31,22.0,85,2,WNW,4,1010.4,,,,SSE,20,1010.0
,2021-01-7,14.0,17.0,14.2,3.2,,ESE,48,18:41,15.5,95,8,ESE,20,1012.6,,,,SE,26,1012.4
,2021-01-8,11.0,20.0,13.0,0.4,,ESE,52,08:54,14.5,90,7,ESE,35,1014.7,,,,SE,33,1014.4
,2021-01-9,9.5,20.5,0,3.0,,E,48,11:42,16.5,76,1,E,31,1015.4,,,,ENE,22,1014.9
,2021-01-10,11.5,22.5,0.4,4.0,,ESE,48,06:54,16.0,85,7,E,28,1016.2,,,,E,26,1014.9
,2021-01-11,11.5,22.5,0,5.0,,E,41,08:14,17.0,80,2,E,26,1015.9,,,,ESE,22,1014.3
,2021-01-12,10.0,21.0,0,6.0,,E,33,13:42,17.5,76,1,SE,15,1014.6,,,,E,11,1012.6
,2021-01-13,10.5,25.5,0,5.8,,E,33,13:02,17.0,95,1,SE,20,1014.9,,,,ESE,17,1013.8
,2021-01-14,11.5,,0,7.8,,SSE,39,19:18,17.0,90,0,SE,6,1012.9,,,,SSW,13,1010.1
,2021-01-15,,29.0,,,,SW,69,17:30,,,,NW,11,1008.8,,,,WNW,24,1006.1
,2021-01-16,11.0,26.0,6.4,9.2,,WNW,33,10:22,18.0,72,5,SSE,6,1007.4,,,,W,22,1006.7
,2021-01-17,8.5,,0,5.0,,NW,31,12:31,17.0,82,5,E,7,1012.3,,,,WSW,19,1011.1
,2021-01-18,,23.0,0,,,WNW,31,13:43,19.0,82,8,E,7,1013.6,,,,WNW,20,1012.0
,2021-01-19,9.5,28.0,3.0,3.4,,E,35,18:07,18.5,73,0,W,13,1013.4,,,,SW,11,1012.0
,2021-01-20,14.0,23.5,0,5.0,,E,43,16:41,19.0,82,5,ESE,26,1017.7,,,,ESE,11,1015.3
,2021-01-21,12.5,25.0,3.2,3.0,,SSE,37,14:34,15.0,90,8,E,20,1016.7,,,,W,19,1013.1
,2021-01-22,13.5,24.0,0.4,4.4,,W,31,10:12,16.0,95,8,WNW,15,1013.6,,,,W,9,1010.8
,2021-01-23,9.0,28.5,0,4.0,,ENE,46,15:30,20.0,78,0,WSW,15,1013.4,,,,E,19,1012.0
,2021-01-24,10.0,28.0,0,6.8,,SE,31,14:47,17.0,80,1,ESE,13,1014.5,,,,N,7,1011.3
,2021-01-25,12.0,29.0,0,5.2,,ENE,33,18:26,18.0,90,1,ENE,6,1011.9,,,,WNW,9,1007.8
,2021-01-26,13.8,29.0,0,5.6,,WNW,28,14:04,18.0,90,1, ,Calm,1008.2,,,,NW,9,1005.1
,2021-01-27,14.0,32.0,0,5.8,,E,44,18:03,22.0,75,2,NW,4,1009.0,,,,ESE,24,1007.6
,2021-01-28,17.5,26.0,0.4,4.0,,E,52,13:57,19.0,95,6,E,30,1012.9,,,,E,35,1011.8
,2021-01-29,14.5,26.0,0,5.6,,ENE,46,14:35,20.0,74,5,E,31,1012.4,,,,E,28,1010.8
,2021-01-30,12.5,27.0,0,5.2,,NNW,30,12:52,17.2,88,5,ESE,11,1012.4,,,,E,11,1010.0
,2021-01-31,14.5,28.5,0,5.4,,SSW,54,14:35,21.0,78,0,E,13,1012.7,,,,ENE,24,1010.0
