"Daily Weather Observations for Glen Innes, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2047.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Glen Innes, but some from Glen Innes Airport."
"Temperature, humidity, cloud, evaporation and rainfall observations are from Glen Innes Ag Research Stn {station 056013}"
"Wind and pressure observations are from Glen Innes Airport AWS {station 056243}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,6.5,22.0,0,3.4,,SE,46,09:01,15.0,74,0,ESE,26,1020.0,,,,SSE,17,1020.5
,2021-04-2,8.5,21.0,0.2,3.0,,ESE,54,09:53,14.5,90,7,E,28,1023.4,,,,ESE,28,1023.0
,2021-04-3,11.2,18.0,0,3.2,,E,72,09:08,14.0,79,7,ESE,39,1022.6,,,,E,30,1021.4
,2021-04-4,11.0,18.7,0,2.4,,,,,15.5,90,8,E,28,1020.7,,,,ESE,19,1018.6
,2021-04-5,12.5,19.8,0,0.2,,ESE,46,23:13,18.0,86,7,E,22,1019.1,,,,E,19,1017.3
,2021-04-6,13.5,17.0,0.6,1.0,,E,50,12:30,16.2,93,8,ESE,31,1018.5,,,,E,24,1016.9
,2021-04-7,13.0,23.0,0.2,2.0,,E,52,15:01,17.0,80,8,ESE,31,1016.1,,,,E,28,1012.2
,2021-04-8,10.5,21.5,0.4,1.8,,SE,46,08:19,18.5,69,2,SE,30,1011.3,,,,S,9,1008.4
,2021-04-9,7.0,22.5,8.0,3.4,,W,39,12:51,18.0,72,1,WSW,20,1010.2,,,,WSW,26,1007.0
,2021-04-10,,21.5,0,4.0,,W,57,13:19,18.5,60,4,W,13,1009.9,,,,W,28,1008.1
,2021-04-11,4.5,16.8,0,3.8,,W,52,12:59,12.0,67,0,WSW,24,1011.8,,,,W,28,1009.9
,2021-04-12,-0.8,17.5,0,3.2,,S,31,05:58,12.8,40,0,ESE,15,1017.0,,,,W,15,1015.3
,2021-04-13,1.8,19.5,0,3.0,,NNW,22,14:06,15.0,60,0,ESE,11,1021.4,,,,N,9,1017.9
,2021-04-14,1.0,21.5,0,2.0,,W,33,11:42,17.0,54,0,WNW,13,1019.6,,,,WNW,17,1016.8
,2021-04-15,4.0,,0,4.6,,WSW,26,10:09,21.0,41,0,WNW,7,1017.7,,,,WSW,13,1014.8
,2021-04-16,,22.0,,,,ESE,31,21:54,,,,ESE,6,1019.0,,,,SW,13,1017.1
,2021-04-17,6.0,13.0,5.8,4.0,,SSW,30,12:56,12.5,94,8,ESE,9,1019.6,,,,SSW,15,1018.3
,2021-04-18,2.5,19.0,18.6,1.8,,ESE,26,09:11,11.5,83,0,SSE,11,1018.1,,,,ESE,9,1015.6
,2021-04-19,3.5,19.0,0.2,2.2,,NNW,26,12:13,12.0,83,1,ENE,2,1018.3,,,,NW,17,1015.5
,2021-04-20,2.0,18.5,0.2,3.4,,WNW,41,13:09,13.0,63,0,W,20,1017.7,,,,W,22,1014.4
,2021-04-21,5.8,18.0,0,3.1,,W,54,12:01,14.5,44,0,W,24,1013.7,,,,WNW,35,1012.0
,2021-04-22,0.5,15.5,0,3.0,,WNW,46,14:06,9.5,47,7,W,13,1014.4,,,,WNW,33,1011.2
,2021-04-23,0.0,15.5,0,3.6,,SE,24,08:38,12.0,51,0,SE,17,1017.0,,,,WNW,11,1015.3
,2021-04-24,0.5,19.0,0.1,8.9,,W,26,15:13,13.0,63,1,ESE,13,1021.6,,,,WNW,13,1018.8
,2021-04-25,1.5,20.0,0,12.4,,W,26,13:37,14.0,64,0,ESE,13,1021.7,,,,WSW,11,1019.1
,2021-04-26,5.5,19.0,0,2.2,,ESE,26,08:58,12.5,83,4,ESE,19,1023.4,,,,SE,9,1020.9
,2021-04-27,7.0,21.0,0,2.2,,S,28,13:17,13.0,78,0,SE,13,1026.0,,,,W,2,1021.8
,2021-04-28,3.2,20.0,0,1.7,,E,26,15:42,14.0,74,0,SE,13,1024.4,,,,ENE,11,1020.8
,2021-04-29,5.0,18.0,0,2.2,,E,26,12:34,12.0,83,7,SE,13,1023.4,,,,ESE,19,1021.2
,2021-04-30,6.5,,0,3.2,,ESE,35,10:41,13.0,78,6,ESE,20,1026.3,,,,E,20,1024.2
