"Daily Weather Observations for Gosford, New South Wales for April 2021"
"Prepared at 13:00 UTC on Wednesday 20 October 2021   IDCJDW2048.202104"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Gosford AWS {station 061425}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2021-04-1,15.1,23.6,4.8,,,SSE,19,13:48,17.6,91,,W,7,,22.0,76,,SE,9,
,2021-04-2,14.3,24.9,0.2,,,ESE,19,14:32,18.4,100,,W,6,,24.7,63,,E,6,
,2021-04-3,13.6,25.5,0,,,E,24,13:08,17.8,100,,SW,2,,24.4,67,,ENE,13,
,2021-04-4,13.8,27.9,0,,,NE,20,13:07,21.7,83,, ,Calm,,25.7,69,,E,13,
,2021-04-5,14.9,26.1,0,,,S,24,10:12,22.0,93,,SSW,4,,24.9,72,,SE,7,
,2021-04-6,17.0,24.6,0,,,ESE,22,16:05,21.0,100,, ,Calm,,23.7,86,,ESE,9,
,2021-04-7,17.5,24.6,0,,,NNE,22,20:00,20.5,100,, ,Calm,,22.9,89,,SSE,4,
,2021-04-8,17.5,24.6,34.6,,,E,19,13:35,21.0,100,,S,4,,23.4,77,,ENE,7,
,2021-04-9,14.6,28.2,0.2,,,W,44,12:19,22.6,78,,SW,4,,27.6,57,,NW,6,
,2021-04-10,16.1,24.3,0.2,,,W,33,14:21,17.7,98,,NW,7,,24.0,41,,WSW,15,
,2021-04-11,11.7,19.5,0,,,W,56,10:57,17.1,44,,W,22,,18.8,33,,WSW,19,
,2021-04-12,7.3,19.0,0,,,SW,24,10:11,14.9,51,,WSW,13,,18.3,51,,SSE,11,
,2021-04-13,7.6,22.2,0,,,N,30,22:22,15.9,68,,W,4,,20.2,57,,ENE,17,
,2021-04-14,9.0,27.4,0,,,WNW,30,13:17,21.2,49,,NW,6,,27.0,27,,NNW,9,
,2021-04-15,10.5,26.9,0,,,WNW,24,11:42,20.7,50,, ,Calm,,26.2,37,,NW,4,
,2021-04-16,12.6,21.4,0,,,SSE,31,11:46,18.7,50,,SW,11,,18.4,71,,SE,7,
,2021-04-17,14.2,17.0,0.2,,,WNW,9,14:53,15.9,84,, ,Calm,,16.2,83,,WNW,7,
,2021-04-18,9.4,20.7,1.2,,,WNW,17,08:25,14.7,88,,W,7,,20.1,57,,S,6,
,2021-04-19,9.0,23.7,0,,,NW,19,13:51,15.6,83,,W,7,,21.7,60,,E,9,
,2021-04-20,7.9,23.0,0,,,WNW,26,11:15,18.5,54,,NW,13,,21.6,48,,NNW,7,
,2021-04-21,9.9,19.9,0,,,SW,33,07:52,16.4,49,,SW,17,,19.0,51,,SSE,7,
,2021-04-22,8.4,21.3,0,,,W,30,12:55,14.9,62,,W,6,,20.7,35,,WSW,13,
,2021-04-23,6.4,21.4,0,,,W,20,10:51,16.1,51,,W,6,,20.9,42,,S,6,
,2021-04-24,7.4,22.4,0,,,E,20,15:02,15.6,69,,W,7,,20.3,57,,NE,11,
,2021-04-25,8.8,21.4,0,,,SE,17,16:03,16.1,67,,WNW,9,,20.5,60,,S,7,
,2021-04-26,10.4,21.9,0,,,ENE,17,12:40,16.6,83,,W,4,,20.6,64,,ENE,7,
,2021-04-27,10.7,22.5,0,,,E,17,15:29,16.9,88,,W,11,,20.6,64,,E,11,
,2021-04-28,10.6,21.4,0,,,NE,17,13:56,17.4,91,, ,Calm,,19.7,70,,E,7,
,2021-04-29,9.2,22.5,0,,,ESE,20,14:19,15.6,98,,S,2,,20.6,71,,E,9,
,2021-04-30,10.5,22.1,0,,,SSE,17,14:32,16.6,97,,WNW,4,,21.8,71,,E,9,
