"Daily Weather Observations for Goulburn, New South Wales for November 2020"
"Prepared at 13:00 UTC on Monday 11 October 2021   IDCJDW2049.202011"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Most observations from Goulburn Airport, but some from Goulburn TAFE."
"Temperature, humidity, wind, pressure and rainfall observations are from Goulburn Airport AWS {station 070330}"
"Cloud and evaporation observations are from Goulburn Tafe {station 070263}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2020-11-1,9.2,18.5,16.2,3.0,,S,50,09:30,12.6,84,7,S,31,1017.5,18.0,61,,SSE,26,1019.2
,2020-11-2,2.2,20.2,0.2,2.4,,SE,28,08:22,13.4,84,4,ESE,15,1027.4,19.6,53,,ESE,11,1025.2
,2020-11-3,5.8,22.6,0,2.4,,E,20,16:03,10.2,99,7, ,Calm,1026.0,21.5,38,,SSE,13,1021.8
,2020-11-4,4.5,25.4,0.2,3.6,,W,50,13:28,17.2,72,1,NNW,4,1016.5,24.7,33,,W,31,1012.0
,2020-11-5,9.1,11.6,26.6,4.8,,SE,41,06:46,9.1,99,8,SE,17,1009.6,9.9,95,,SSW,17,1011.3
,2020-11-6,5.4,18.8,13.6,3.2,,WNW,30,13:54,11.2,68,1,SSE,7,1018.2,18.2,54,,WSW,19,1015.3
,2020-11-7,6.4,19.3,0,3.0,,E,39,14:25,13.4,77,6,SE,4,1019.7,17.2,63,,E,20,1020.4
,2020-11-8,5.0,18.5,0,4.8,,ENE,30,09:41,12.3,60,6,ESE,20,1027.7,17.1,52,,E,13,1025.4
,2020-11-9,7.0,20.6,0,3.6,,NE,26,10:35,13.0,72,3,ENE,13,1026.9,19.7,42,,NNW,6,1023.1
,2020-11-10,4.4,24.8,0,3.4,,ENE,26,19:08,13.2,87,0,N,4,1023.2,22.6,27,,SSE,7,1018.8
,2020-11-11,5.7,26.9,0,5.4,,NW,31,14:49,15.9,83,0, ,Calm,1018.3,26.4,36,,NW,19,1014.1
,2020-11-12,12.5,25.9,0,4.8,,NW,57,10:00,19.9,58,7,NNW,20,1009.6,25.1,48,,WNW,26,1006.8
,2020-11-13,12.4,23.2,3.2,3.4,,WSW,50,15:50,17.6,85,6,NW,13,1005.0,20.1,53,,W,30,1002.9
,2020-11-14,5.9,21.0,0,3.6,,W,48,15:05,15.9,61,1,W,17,1009.3,20.3,48,,W,26,1009.1
,2020-11-15,4.3,28.3,0,5.2,,WNW,24,11:15,18.0,65,0,NNE,6,1015.9,27.7,37,,WNW,6,1014.7
,2020-11-16,13.7,30.1,0,5.2,,WNW,81,10:27,26.5,35,2,N,22,1010.6,24.3,43,,WNW,30,1012.0
,2020-11-17,4.3,23.6,0,5.4,,N,31,12:17,17.1,52,1,W,11,1018.9,23.0,22,,W,15,1017.8
,2020-11-18,11.8,23.5,0,6.6,,NNE,30,08:28,14.9,86,7,NNE,15,1023.9,22.7,49,,NNE,9,1020.7
,2020-11-19,6.3,28.8,0,4.0,,N,31,13:35,16.9,77,1,NNE,9,1022.3,28.0,32,,WNW,17,1017.9
,2020-11-20,10.4,31.8,0,4.0,,NW,52,09:50,25.9,54,1,NNW,17,1017.5,31.3,30,,W,26,1016.4
,2020-11-21,9.1,26.7,0,7.6,,ESE,31,16:08,18.0,69,1,E,13,1022.3,25.9,53,,ENE,11,1018.6
,2020-11-22,14.2,27.2,0,5.8,,W,39,12:52,21.3,72,7,NNW,6,1017.7,25.0,54,,W,19,1015.0
,2020-11-23,16.0,21.0,16.0,3.4,,W,65,10:51,17.9,98,8,W,17,1009.9,14.0,97,,NW,11,1006.8
,2020-11-24,10.1,23.3,7.2,2.8,,E,31,16:47,17.0,76,7,ESE,9,1011.8,22.5,45,,SW,6,1009.7
,2020-11-25,12.9,25.5,0,4.0,,NE,30,09:13,15.5,88,8,NE,11,1014.7,24.1,49,,WNW,9,1011.1
,2020-11-26,9.2,29.2,0,3.8,,W,43,11:32,23.1,55,0,W,19,1013.2,28.7,36,,WSW,15,1011.7
,2020-11-27,10.7,31.3,0,6.2,,W,48,14:55,17.2,63,0,NE,17,1018.0,30.0,42,,WNW,24,1013.5
,2020-11-28,11.9,33.8,0,5.8,,N,80,22:30,27.4,49,4,NNW,11,1011.4,32.9,31,,NNW,35,1007.8
,2020-11-29,19.2,29.6,2.0,8.0,,NW,89,08:37,29.5,32,1,NW,56,1000.8,24.9,36,,WNW,46,1003.9
,2020-11-30,10.9,22.4,0,7.2,,NE,39,11:45,13.5,80,8,E,20,1017.2,20.7,53,,NE,24,1014.3
